sample,time,C0 (A),C0 (A) uncertainty,C1 (B),C1 (B) uncertainty,C2 (A'),C2 (A') uncertainty,C3 (B'),C3 (B') uncertainty,C4,C4 uncertainty,C5,C5 uncertainty,C6,C6 uncertainty,C7,C7 uncertainty
3329,1685579241.3119562,10077.0,89.59228637431784,11338.0,107.45334905074957,0.0,0.0,21829.0,116.59473973268834,483.0,23.900255693657797,0.0,0.0,7.0,1.5275252316519468,0.0,0.0
3330,1685579242.5119576,9997.0,63.035263499444866,11302.0,125.21803207028752,0.0,0.0,21727.0,167.35889578985635,456.0,14.922019523732928,0.0,0.0,7.0,3.0,0.0,0.0
3331,1685579243.609961,10112.0,111.98015697236521,11525.0,105.9690730564557,0.0,0.0,21546.0,129.15279495405605,484.0,29.78441053825157,0.0,0.0,4.0,2.2110831935702664,0.0,0.0
3332,1685579244.7099626,10201.0,120.18920269493614,11211.0,120.34625969352857,0.0,0.0,21425.0,148.43816520318785,475.0,21.563858652847824,0.0,0.0,5.0,3.4156502553198664,0.0,0.0
3333,1685579245.8499641,10118.0,99.003928092666,11292.0,82.2840608299485,0.0,0.0,21435.0,133.53526375705658,444.0,12.927146286443543,0.0,0.0,11.0,3.7859388972001824,0.0,0.0
3334,1685579246.9099655,10299.0,79.92287949433921,11424.0,115.53931509807964,0.0,0.0,21648.0,191.8321025155997,492.0,24.62158041682585,0.0,0.0,6.0,2.2110831935702664,0.0,0.0
3335,1685579248.039967,10251.0,81.41048253552283,11395.0,83.08295720409677,0.0,0.0,21834.0,146.99357506745358,481.0,26.892791268706606,0.0,0.0,7.0,3.0,0.0,0.0
3336,1685579249.1099687,10138.0,97.12306054119634,11454.0,156.696451069505,0.0,0.0,21791.0,93.706990134141,492.0,16.384274303259343,0.0,0.0,7.0,1.5275252316519468,0.0,0.0
3337,1685579250.2099702,10181.0,131.49102208473735,11329.0,126.30166709553404,0.0,0.0,21668.0,171.566637523474,461.0,26.68541007950058,0.0,0.0,7.0,1.5275252316519468,0.0,0.0
3338,1685579251.3099718,10061.0,111.76811312315829,11455.0,71.48037803792342,0.0,0.0,21730.0,196.1801892818606,450.0,20.221001184137467,0.0,0.0,9.0,2.333333333333333,0.0,0.0
summary,,10143.5,28.83140648667699,11372.5,29.903269980982937,0.0,0.0,21663.3,47.64825984930265,471.8,5.577335086460797,0.0,0.0,7.0,0.6146362971528591,0.0,0.0
