sample,time,C0 (A),C0 (A) uncertainty,C1 (B),C1 (B) uncertainty,C2 (A'),C2 (A') uncertainty,C3 (B'),C3 (B') uncertainty,C4,C4 uncertainty,C5,C5 uncertainty,C6,C6 uncertainty,C7,C7 uncertainty
3251,1685579155.013788,10141.0,85.96446294189761,11453.0,65.25250101635099,0.0,0.0,21533.0,178.97268568757138,442.0,23.65492666561356,0.0,0.0,6.0,2.2110831935702664,0.0,0.0
3252,1685579156.1147897,10257.0,116.83844496663853,11287.0,80.63704690359967,0.0,0.0,21562.0,227.97075835875677,429.0,16.49579070887816,0.0,0.0,10.0,2.5819888974716108,0.0,0.0
3253,1685579157.214791,10117.0,149.21312125800316,11217.0,133.0501158711759,0.0,0.0,21619.0,130.78778400311108,438.0,26.280537792569362,0.0,0.0,9.0,2.333333333333333,0.0,0.0
3254,1685579158.313794,10236.0,105.81115253129039,11317.0,109.93988256214293,0.0,0.0,21764.0,152.28773934744567,471.0,20.51828452868319,0.0,0.0,6.0,1.632993161855452,0.0,0.0
3255,1685579159.4137952,9982.0,93.22374518687107,11559.0,96.43017047469002,0.0,0.0,21365.0,183.49235527521148,433.0,19.209372712298546,0.0,0.0,8.0,1.9999999999999998,0.0,0.0
3256,1685579160.613797,10052.0,99.1273031118179,11222.0,89.06676646700994,0.0,0.0,21834.0,71.23045540902976,450.0,22.997584414213783,0.0,0.0,5.0,2.6874192494328497,0.0,0.0
3257,1685579161.7137983,9966.0,147.0766995671155,11192.0,98.30564581955606,0.0,0.0,21741.0,97.3932464005818,423.0,10.85766498326822,0.0,0.0,17.0,3.6666666666666665,0.0,0.0
3258,1685579162.8738003,10396.0,96.06941934524913,11326.0,68.34877874223909,0.0,0.0,21743.0,197.90036774992498,467.0,17.32371528024838,0.0,0.0,10.0,2.5819888974716108,0.0,0.0
3259,1685579163.9138017,10240.0,114.27063392568441,11233.0,114.14464507807625,0.0,0.0,21795.0,131.66666666666666,445.0,18.811934746029948,0.0,0.0,10.0,1.4907119849998596,0.0,0.0
3260,1685579165.013803,10194.0,108.13777220646713,11444.0,110.45562205901719,0.0,0.0,21664.0,186.2566926463464,510.0,24.720661623652205,0.0,0.0,9.0,2.333333333333333,0.0,0.0
summary,,10158.1,42.37332756450559,11325.0,38.763671423411665,0.0,0.0,21662.0,45.6048243062069,450.8,8.175573374387879,0.0,0.0,9.0,1.0645812948447542,0.0,0.0
