Theta,HH,HH_unc,VV,VV_unc
0,398.8,8.952094727,2730.4,25.32113742
0.174532925,1231.8,23.63345087,1685,26.62705391
0.34906585,2070.2,10.24402265,635.6,14.95860956
0.523598776,2561.6,31.43978371,50.6,4.365775991
0.698131701,2494.8,18.42389752,176.8,3.555277767
0.872664626,1821.4,13.87299535,972.4,7.208328516
1.047197551,914,9.762171889,2049.8,6.102458521
1.221730476,189.4,1.691153453,2954,19.39329781
1.396263402,15.2,1.15758369,3153.6,25.03118056
1.570796327,426.2,5.834380858,2620.2,14.93787133
1.745329252,1259.6,13.20454467,1640.6,30.9088984
1.919862177,2116.2,34.18391435,646,4.254409477
2.094395102,2557.6,15.29575104,42.2,2.709243437
2.268928028,2453.4,19.04363411,180.2,4.211887938
2.443460953,1831.6,16.84517735,955.8,13.77461433
2.617993878,894.4,4.707440918,2084.4,13.41118936
2.792526803,199.4,5.192301994,2905.4,10.06280279
2.967059728,17.2,1.428285686,3207.4,7.884161338
3.141592654,425.8,10.48045801,2705,23.010867
3.316125579,1234.8,17.51684903,1679.4,4.760252094
3.490658504,2097.6,27.3378858,664.6,17.7949431
3.665191429,2603.8,31.74177059,56.2,3.541186242
3.839724354,2485,15.82087229,145.8,3.484250278
4.01425728,1831,18.45806057,913.2,8.697125962
4.188790205,941.4,21.50488317,2021.8,15.50612782
4.36332313,226.2,4.892851929,2901,24.13917977
4.537856055,9,1.483239697,3184.8,33.04148907
4.71238898,425,11.32695899,2695,19.56527536
4.886921906,1245.8,13.15066538,1759,8.988882022
5.061454831,2076.4,19.92887353,713.8,19.64026476
5.235987756,2528.4,11.67304588,64.4,2.839013913
5.410520681,2400,17.49857137,147.8,4.042276586
5.585053606,1804.4,28.20390044,876.4,11.40438512
5.759586532,907.4,12.61586303,1917.6,23.81722066
5.934119457,228.8,2.009975124,2799.8,22.81972831
6.108652382,12.8,1.356465997,3158.8,23.73899745
6.283185307,440.6,1.122497216,2753.8,14.32619978
