start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-18_12-37-03,2023-07-18_12-37-18,5,3,-0.0026495535714730067,-0.007533482142832781,4.010323660714286,-0.0024866071428846226,-5.007254464285722,0.00012231445310817435,0.0019770507812495453,45.00244348144531,-0.003549804687509095,47523.066666666666,4736.933333333333,0.0,24159.4,12.133333333333333,0.0,1385.6,0.0,56.49763023545442,18.364639936573717,0.0,30.54457580506058,0.4027681991198189,0.0,3.498253532518458,0.0,
2023-07-18_12-37-19,2023-07-18_12-37-34,5,3,-0.0026495535714730067,-0.007533482142832781,4.010323660714286,-0.0024866071428846226,-4.20870535714289,0.00012231445310817435,0.0019770507812495453,45.00244348144531,-0.003549804687509095,47654.26666666666,4604.533333333333,0.0,24149.6,8.466666666666667,0.0,1394.6,0.0,40.129429488981984,18.629009635511963,0.0,31.920456694031696,0.66332495807108,0.0,13.254097898805151,0.0,
2023-07-18_12-37-35,2023-07-18_12-37-50,5,3,-0.0026495535714730067,-0.007533482142832781,4.010323660714286,-0.0024866071428846226,-3.4302455357142776,0.00012231445310817435,0.0019770507812495453,45.00244348144531,-0.003549804687509095,47657.333333333336,4544.266666666667,0.0,24297.8,6.133333333333334,0.0,1416.3333333333335,0.0,65.61842559660973,8.12978064484727,0.0,43.676029530574034,0.8339997335464534,0.0,9.782069765079836,0.0,
2023-07-18_12-37-51,2023-07-18_12-38-07,5,3,-0.0026495535714730067,-0.007533482142832781,4.010323660714286,-0.0024866071428846226,-2.6342075892857224,0.00012231445310817435,0.0019770507812495453,45.00244348144531,-0.003549804687509095,47675.33333333333,4491.533333333334,0.0,24255.93333333333,5.866666666666666,0.0,1380.8666666666668,0.0,53.6322871246624,14.47472893624526,0.0,50.29903908956265,0.6289320754704403,0.0,8.956437783950602,0.0,
2023-07-18_12-38-07,2023-07-18_12-38-23,5,3,-0.0026495535714730067,-0.007533482142832781,4.010323660714286,-0.0024866071428846226,-1.8431919642857224,0.00012231445310817435,0.0019770507812495453,45.00244348144531,-0.003549804687509095,47702.86666666667,4467.599999999999,0.0,24314.066666666666,8.666666666666668,0.0,1389.3333333333333,0.0,60.737376374757865,16.59497916037657,0.0,27.075491172316887,0.6912147117775908,0.0,8.681397736923854,0.0,
2023-07-18_12-38-23,2023-07-18_12-38-39,5,3,-0.0026495535714730067,-0.007533482142832781,4.010323660714286,-0.0024866071428846226,-1.0546875,0.00012231445310817435,0.0019770507812495453,45.00244348144531,-0.003549804687509095,47561.13333333333,4515.2,0.0,24259.06666666667,10.866666666666665,0.0,1395.7333333333333,0.0,67.31498099729879,36.68432907932212,0.0,20.685851310605088,0.8856886837057613,0.0,9.898596982513343,0.0,
2023-07-18_12-38-39,2023-07-18_12-38-55,5,3,-0.0026495535714730067,-0.007533482142832781,4.010323660714286,-0.0024866071428846226,-0.2686941964285552,0.00012231445310817435,0.0019770507812495453,45.00244348144531,-0.003549804687509095,47670.933333333334,4536.133333333333,0.0,24210.000000000004,18.0,0.0,1372.2666666666669,0.0,58.86287265991843,11.993794691885928,0.0,36.536283335884136,1.0903618155864085,0.0,6.478511488846102,0.0,
2023-07-18_12-38-56,2023-07-18_12-39-12,5,3,-0.0026495535714730067,-0.007533482142832781,4.010323660714286,-0.0024866071428846226,0.5248325892857143,0.00012231445310817435,0.0019770507812495453,45.00244348144531,-0.003549804687509095,47702.8,4520.533333333334,0.0,24285.2,5.7333333333333325,0.0,1385.9999999999998,0.0,28.034225114630505,18.876675790214957,0.0,26.934818440903932,0.627162924074226,0.0,10.272941805214982,0.0,
2023-07-18_12-39-12,2023-07-18_12-39-28,5,3,-0.0026495535714730067,-0.007533482142832781,4.010323660714286,-0.0024866071428846226,1.3058035714285714,0.00012231445310817435,0.0019770507812495453,45.00244348144531,-0.003549804687509095,47656.4,4514.933333333333,0.0,24295.2,9.733333333333333,0.0,1413.5333333333333,0.0,89.50998702813907,16.006734693733005,0.0,25.242512641265296,0.32317865716108857,0.0,11.056722439815124,0.0,
2023-07-18_12-39-29,2023-07-18_12-39-44,5,3,-0.0026495535714730067,-0.007533482142832781,4.010323660714286,-0.0024866071428846226,2.099330357142857,0.00012231445310817435,0.0019770507812495453,45.00244348144531,-0.003549804687509095,47634.46666666667,4500.733333333334,0.0,24284.86666666667,13.866666666666665,0.0,1381.1333333333334,0.0,59.28617976485824,18.876911235098277,0.0,26.10504421243791,0.5228129047119373,0.0,8.360356185926268,0.0,
