start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-20_10-28-59,2023-07-20_10-29-15,5,3,-0.013472361809022004,-0.007537688442198487,4.005025125628141,0.0026030150753768855,-5.0075376884421985,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,49060.866666666676,24507.466666666667,0.0,15104.133333333331,1363.6666666666665,0.0,849.4,0.0,58.918738766014094,67.85225780244122,0.0,59.19136573671695,6.531122074770592,0.0,6.41473997048119,0.0,
2023-07-20_10-29-15,2023-07-20_10-29-30,5,3,-0.013472361809022004,-0.007537688442198487,4.005025125628141,0.0026030150753768855,-4.502512562814047,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,49020.73333333334,24670.199999999997,0.0,14962.733333333332,1383.6,0.0,843.2,0.0,64.74105686845388,76.1632457291574,0.0,47.97063916837279,12.64181773146391,0.0,11.80470715905782,0.0,
2023-07-20_10-29-31,2023-07-20_10-29-46,5,3,-0.013472361809022004,-0.007537688442198487,4.005025125628141,0.0026030150753768855,-4.005025125628151,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,49420.600000000006,25270.866666666665,0.0,15246.466666666669,1364.7333333333333,0.0,845.6666666666666,0.0,123.58125532080747,147.0448759921794,0.0,118.37776630582078,4.604828383821113,0.0,6.405726604635369,0.0,
2023-07-20_10-29-47,2023-07-20_10-30-02,5,3,-0.013472361809022004,-0.007537688442198487,4.005025125628141,0.0026030150753768855,-3.497487437185953,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,49856.73333333333,26136.6,0.0,15639.066666666666,1383.1333333333332,0.0,829.6666666666666,0.0,116.4222869080008,87.68703185509001,0.0,84.020262106497,6.667166647918045,0.0,10.79969135361438,0.0,
2023-07-20_10-30-03,2023-07-20_10-30-18,5,3,-0.013472361809022004,-0.007537688442198487,4.005025125628141,0.0026030150753768855,-3.0050251256281513,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,49483.0,25887.26666666667,0.0,15291.93333333333,1401.0666666666668,0.0,827.3333333333333,0.0,139.9376845440689,200.65842729485462,0.0,148.50119341084246,5.39691269770659,0.0,7.0158550599497325,0.0,
2023-07-20_10-30-19,2023-07-20_10-30-34,5,3,-0.013472361809022004,-0.007537688442198487,4.005025125628141,0.0026030150753768855,-2.5,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,49246.26666666666,25391.4,0.0,14976.533333333335,1388.5333333333333,0.0,826.1333333333332,0.0,129.31333178670232,141.96961333718954,0.0,135.6996929497875,10.003110627311,0.0,7.13800470097289,0.0,
2023-07-20_10-30-35,2023-07-20_10-30-50,5,3,-0.013472361809022004,-0.007537688442198487,4.005025125628141,0.0026030150753768855,-2.0050251256281513,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,48836.66666666667,25088.06666666667,0.0,14650.666666666666,1396.6666666666665,0.0,830.2666666666668,0.0,28.193970986719744,62.583579671064214,0.0,36.03717216677512,7.76316086827181,0.0,7.973149384723146,0.0,
2023-07-20_10-30-50,2023-07-20_10-31-06,5,3,-0.013472361809022004,-0.007537688442198487,4.005025125628141,0.0026030150753768855,-1.5050251256281513,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,48834.86666666667,25235.733333333334,0.0,14628.066666666666,1415.1333333333334,0.0,835.3333333333333,0.0,66.72868781699357,19.39169352526444,0.0,28.101087365280105,7.444311773278821,0.0,5.733914699206628,0.0,
2023-07-20_10-31-07,2023-07-20_10-31-22,5,3,-0.013472361809022004,-0.007537688442198487,4.005025125628141,0.0026030150753768855,-1.0025125628140472,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,48860.933333333334,25326.466666666667,0.0,14471.133333333335,1429.4666666666667,0.0,814.4,0.0,76.13353765296557,79.28910531858828,0.0,29.573749621356153,11.924577793597383,0.0,4.572137841802723,0.0,
2023-07-20_10-31-22,2023-07-20_10-31-38,5,3,-0.013472361809022004,-0.007537688442198487,4.005025125628141,0.0026030150753768855,-0.5,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,48911.33333333333,25301.93333333333,0.0,14522.6,1415.8666666666666,0.0,826.6666666666666,0.0,58.1623207545528,38.73806626275729,0.0,14.071010387791404,12.800434020419441,0.0,7.243387789333567,0.0,
2023-07-20_10-31-40,2023-07-20_10-31-55,5,3,-0.013472361809022004,-0.007537688442198487,4.005025125628141,0.0026030150753768855,0.0,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,48965.73333333333,24891.73333333333,0.0,14653.266666666668,1386.9333333333334,0.0,828.3333333333334,0.0,61.17274265916551,49.243318779754084,0.0,24.160206032969825,13.733333333333343,0.0,5.24722148697131,0.0,
2023-07-20_10-31-55,2023-07-20_10-32-11,5,3,-0.013472361809022004,-0.007537688442198487,4.005025125628141,0.0026030150753768855,0.4949748743718593,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,48957.0,25131.133333333335,0.0,14593.666666666666,1405.8666666666668,0.0,845.4,0.0,95.89195308609912,25.52636980762329,0.0,25.866537800366178,8.293638793945876,0.0,5.405141585153483,0.0,
2023-07-20_10-32-11,2023-07-20_10-32-27,5,3,-0.013472361809022004,-0.007537688442198487,4.005025125628141,0.0026030150753768855,1.0025125628140703,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,48834.4,25227.2,0.0,14562.333333333334,1414.4,0.0,816.2666666666667,0.0,70.13783255530181,36.17942939172879,0.0,24.87926401197945,7.238323931224226,0.0,7.537609405876342,0.0,
2023-07-20_10-32-27,2023-07-20_10-32-43,5,3,-0.013472361809022004,-0.007537688442198487,4.005025125628141,0.0026030150753768855,1.5025125628140703,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,48882.53333333334,25301.666666666668,0.0,14487.0,1410.4666666666667,0.0,815.5333333333333,0.0,68.79055167681118,38.690366300210336,0.0,29.96145672174328,8.823327666538933,0.0,5.783693552662613,0.0,
2023-07-20_10-32-43,2023-07-20_10-32-59,5,3,-0.013472361809022004,-0.007537688442198487,4.005025125628141,0.0026030150753768855,2.007537688442211,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,48905.4,25329.06666666667,0.0,14523.466666666669,1418.0666666666668,0.0,821.1333333333334,0.0,80.46306260915333,39.22023287369249,0.0,28.42467629054415,6.855168366519776,0.0,6.941501598677647,0.0,
2023-07-20_10-32-59,2023-07-20_10-33-14,5,3,-0.013472361809022004,-0.007537688442198487,4.005025125628141,0.0026030150753768855,2.5050251256281406,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,48844.93333333333,25416.933333333334,0.0,14417.466666666669,1420.8666666666666,0.0,819.5333333333334,0.0,31.61757598411198,45.39547211880137,0.0,15.380579385128064,13.924638435361834,0.0,4.629134788369086,0.0,
2023-07-20_10-33-15,2023-07-20_10-33-30,5,3,-0.013472361809022004,-0.007537688442198487,4.005025125628141,0.0026030150753768855,2.9949748743718594,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,48799.86666666667,25452.933333333334,0.0,14510.4,1421.9333333333332,0.0,819.8666666666666,0.0,36.036956339599556,38.41403100141639,0.0,47.27994641846948,7.2229572275565195,0.0,11.037109122309948,0.0,
2023-07-20_10-33-31,2023-07-20_10-33-46,5,3,-0.013472361809022004,-0.007537688442198487,4.005025125628141,0.0026030150753768855,3.5050251256281406,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,48958.66666666667,25489.0,0.0,14465.466666666669,1418.9333333333334,0.0,823.2,0.0,60.41403442541704,59.89249628385103,0.0,32.62609725698453,11.355077180617386,0.0,11.01140822561361,0.0,
2023-07-20_10-33-47,2023-07-20_10-34-02,5,3,-0.013472361809022004,-0.007537688442198487,4.005025125628141,0.0026030150753768855,3.9974874371859297,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,48893.99999999999,25504.266666666666,0.0,14500.2,1435.9333333333336,0.0,825.0,0.0,66.2553142522671,35.97397207241185,0.0,34.86108942009081,15.034552796068708,0.0,12.33423420133302,0.0,
2023-07-20_10-34-02,2023-07-20_10-34-18,5,3,-0.013472361809022004,-0.007537688442198487,4.005025125628141,0.0026030150753768855,4.494974874371859,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,48943.46666666666,25447.2,0.0,14469.333333333334,1419.0,0.0,825.8666666666666,0.0,90.99069549501566,33.17371784343072,0.0,31.066595135826226,10.201851683776708,0.0,7.851114570556204,0.0,
2023-07-20_10-34-19,2023-07-20_10-34-34,5,3,-0.013472361809022004,-0.007537688442198487,4.005025125628141,0.0026030150753768855,5.005025125628141,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,48922.2,25349.600000000002,0.0,14494.266666666668,1422.4666666666667,0.0,805.6666666666667,0.0,24.16737929983769,36.362434828634214,0.0,24.566553595398027,7.591369368492656,0.0,9.014186350168035,0.0,
