start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-19_15-34-19,2023-07-19_15-34-25,5,1,-0.005160714285693757,-0.007533482142832781,4.002790178571429,-0.004997767857162216,-5.009765625,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.003031005859384095,49008.8,4564.2,0.0,24865.6,25.6,0.0,1433.4,0.0,88.8039413539737,13.15826736314474,0.0,51.19238224579903,2.3790754506740637,0.0,13.526270735128731,0.0,
2023-07-19_15-34-25,2023-07-19_15-34-30,5,1,-0.005160714285693757,-0.007533482142832781,4.002790178571429,-0.004997767857162216,-3.9977678571428896,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.003031005859384095,48704.8,4930.8,0.0,24624.4,57.0,0.0,1445.0,0.0,83.15010523144274,31.941195970094793,0.0,92.26732899569598,2.5298221281347035,0.0,16.370705543744897,0.0,
2023-07-19_15-34-31,2023-07-19_15-34-36,5,1,-0.005160714285693757,-0.007533482142832781,4.002790178571429,-0.004997767857162216,-3.0083705357142776,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.003031005859384095,48642.8,5519.0,0.0,24497.2,102.0,0.0,1392.0,0.0,201.75539645818648,25.228951623085727,0.0,62.45110087100147,1.51657508881031,0.0,24.558094388612485,0.0,
2023-07-19_15-34-37,2023-07-19_15-34-42,5,1,-0.005160714285693757,-0.007533482142832781,4.002790178571429,-0.004997767857162216,-2.008928571428555,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.003031005859384095,48952.6,6254.8,0.0,24088.8,155.6,0.0,1397.6,0.0,118.37550422279097,9.107140056021978,0.0,69.9838552810575,4.296510211788167,0.0,11.20981712607302,0.0,
2023-07-19_15-34-42,2023-07-19_15-34-47,5,1,-0.005160714285693757,-0.007533482142832781,4.002790178571429,-0.004997767857162216,-1.0094866071428896,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.003031005859384095,48979.4,7134.4,0.0,23672.2,213.2,0.0,1336.8,0.0,134.0733381399896,31.19070374326299,0.0,42.11223100240594,4.079215610874227,0.0,9.216289925995166,0.0,
2023-07-19_15-34-49,2023-07-19_15-34-54,5,1,-0.005160714285693757,-0.007533482142832781,4.002790178571429,-0.004997767857162216,0.005022321428571428,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.003031005859384095,48914.0,5691.6,0.0,24235.0,104.2,0.0,1424.0,0.0,97.19927983272304,24.673062233942506,0.0,61.41091108264068,2.7640549922170505,0.0,9.782637681116478,0.0,
2023-07-19_15-34-54,2023-07-19_15-34-59,5,1,-0.005160714285693757,-0.007533482142832781,4.002790178571429,-0.004997767857162216,0.9969308035714286,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.003031005859384095,48917.0,6702.2,0.0,23834.8,171.4,0.0,1386.2,0.0,84.34630993706837,37.31809212700992,0.0,41.17329231431462,8.133879763065101,0.0,7.0668238976219,0.0,
2023-07-19_15-35-00,2023-07-19_15-35-05,5,1,-0.005160714285693757,-0.007533482142832781,4.002790178571429,-0.004997767857162216,1.9938616071428572,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.003031005859384095,49036.4,7982.0,0.0,23404.0,273.2,0.0,1335.8,0.0,62.757150986959246,23.06729286240585,0.0,54.92449362533987,4.420407221060068,0.0,23.812601705819546,0.0,
2023-07-19_15-35-06,2023-07-19_15-35-11,5,1,-0.005160714285693757,-0.007533482142832781,4.002790178571429,-0.004997767857162216,3.0008370535714284,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.003031005859384095,49003.2,9219.2,0.0,22715.6,351.8,0.0,1280.0,0.0,60.56269478812844,46.24759453204026,0.0,86.17575064947215,7.234638899074369,0.0,13.6088206689632,0.0,
2023-07-19_15-35-11,2023-07-19_15-35-17,5,1,-0.005160714285693757,-0.007533482142832781,4.002790178571429,-0.004997767857162216,3.990234375,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.003031005859384095,48786.4,10499.0,0.0,22137.0,437.2,0.0,1223.4,0.0,85.90785761500516,50.083929558292446,0.0,138.2041967524865,3.903844259188627,0.0,23.525730594393874,0.0,
2023-07-19_15-35-17,2023-07-19_15-35-22,5,1,-0.005160714285693757,-0.007533482142832781,4.002790178571429,-0.004997767857162216,4.9921875,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.003031005859384095,48944.0,11725.6,0.0,21568.2,523.6,0.0,1205.8,0.0,94.59545443624656,45.06950188320256,0.0,60.899425284644515,9.431860898041275,0.0,8.811356308764275,0.0,
