start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-18_11-53-39,2023-07-18_11-53-44,5,1,-0.010183035714305788,-0.007533482142832781,4.002790178571429,-0.010020089285717404,0.0,-3.999603027343767,0.0019770507812495453,45.00244348144531,-0.003549804687509095,47453.2,5542.8,0.0,23748.0,61.0,0.0,1378.0,0.0,95.48266858440854,40.81347816591965,0.0,72.62781836183707,2.0,0.0,17.120163550620653,0.0,
2023-07-18_11-53-45,2023-07-18_11-53-50,5,1,-0.010183035714305788,-0.007533482142832781,4.002790178571429,-0.010020089285717404,0.0,-3.577636474609392,0.0019770507812495453,45.00244348144531,-0.003549804687509095,47381.2,5345.2,0.0,23833.4,53.8,0.0,1366.4,0.0,74.44084900106928,53.89378442826222,0.0,47.98395565186347,3.0066592756745814,0.0,23.421357774475844,0.0,
2023-07-18_11-53-51,2023-07-18_11-53-56,5,1,-0.010183035714305788,-0.007533482142832781,4.002790178571429,-0.010020089285717404,0.0,-3.156738037109392,0.0019770507812495453,45.00244348144531,-0.003549804687509095,47350.2,5174.2,0.0,23900.4,39.4,0.0,1372.0,0.0,97.17684909483329,28.97309096385817,0.0,63.95670410519917,2.420743687382041,0.0,23.454210709380096,0.0,
2023-07-18_11-53-57,2023-07-18_11-54-02,5,1,-0.010183035714305788,-0.007533482142832781,4.002790178571429,-0.010020089285717404,0.0,-2.735809082031267,0.0019770507812495453,45.00244348144531,-0.003549804687509095,47425.2,5010.6,0.0,24045.4,31.8,0.0,1360.2,0.0,28.464714999451516,15.609612423119286,0.0,60.46205421584683,2.3958297101421877,0.0,11.512601791080936,0.0,
2023-07-18_11-54-02,2023-07-18_11-54-08,5,1,-0.010183035714305788,-0.007533482142832781,4.002790178571429,-0.010020089285717404,0.0,-2.314910644531267,0.0019770507812495453,45.00244348144531,-0.003549804687509095,47558.4,4941.8,0.0,24006.6,26.2,0.0,1372.2,0.0,50.792322254451015,32.235694501592484,0.0,65.70662067097958,2.922327839240491,0.0,9.420191080864548,0.0,
2023-07-18_11-54-08,2023-07-18_11-54-13,5,1,-0.010183035714305788,-0.007533482142832781,4.002790178571429,-0.010020089285717404,0.0,-1.8939816894531418,0.0019770507812495453,45.00244348144531,-0.003549804687509095,47340.2,4868.0,0.0,24049.8,17.8,0.0,1369.4,0.0,65.42354316299293,25.087845662790574,0.0,38.669626323511324,1.8275666882497066,0.0,11.561141812122191,0.0,
2023-07-18_11-54-14,2023-07-18_11-54-19,5,1,-0.010183035714305788,-0.007533482142832781,4.002790178571429,-0.010020089285717404,0.0,-1.4725644531250168,0.0019770507812495453,45.00244348144531,-0.003549804687509095,47581.6,4793.4,0.0,24092.4,12.2,0.0,1393.2,0.0,132.61281989310083,36.65051159260945,0.0,55.7248598024257,2.0346989949375804,0.0,16.64752233817393,0.0,
2023-07-18_11-54-19,2023-07-18_11-54-24,5,1,-0.010183035714305788,-0.007533482142832781,4.002790178571429,-0.010020089285717404,0.0,-1.0516354980468918,0.0019770507812495453,45.00244348144531,-0.003549804687509095,47560.8,4660.2,0.0,24043.2,7.8,0.0,1367.4,0.0,114.79085329415406,30.46867243579871,0.0,57.24456306060865,1.2409673645990857,0.0,17.90698187858579,0.0,
2023-07-18_11-54-25,2023-07-18_11-54-30,5,1,-0.010183035714305788,-0.007533482142832781,4.002790178571429,-0.010020089285717404,0.0,-0.6307370605468918,0.0019770507812495453,45.00244348144531,-0.003549804687509095,47420.8,4659.8,0.0,24283.2,5.2,0.0,1415.8,0.0,162.41594749284937,26.526213450094982,0.0,52.24499976074266,0.8000000000000002,0.0,13.101144988129853,0.0,
2023-07-18_11-54-31,2023-07-18_11-54-36,5,1,-0.010183035714305788,-0.007533482142832781,4.002790178571429,-0.010020089285717404,0.0,-0.20980810546876683,0.0019770507812495453,45.00244348144531,-0.003549804687509095,47326.6,4613.8,0.0,24167.8,5.0,0.0,1381.0,0.0,52.67314306171599,38.89267283178156,0.0,29.201712278563388,0.31622776601683794,0.0,18.48512915832616,0.0,
