start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-20_15-34-34,2023-07-20_15-34-49,5,3,-0.0007834821428787109,0.0,4.000279017857142,0.005022321428571428,0.005022321428571428,0.0,83.001953125,45.00284976196289,-0.003113769531239541,48685.4,5763.199999999999,0.0,24777.666666666664,73.53333333333333,0.0,1487.2666666666669,0.0,56.750075868769876,7.662752624075592,0.0,22.884978090927195,2.3489950569930484,0.0,12.184416276539467,0.0,
2023-07-20_15-34-50,2023-07-20_15-35-05,5,3,-0.0007834821428787109,0.0,4.000279017857142,0.005022321428571428,0.005022321428571428,0.0,83.684326171875,45.00284976196289,-0.003113769531239541,49164.6,5969.0,0.0,25120.73333333333,58.0,0.0,1532.1999999999998,0.0,205.45860356231867,216.51933452286005,0.0,178.8373376376794,2.590581230363393,0.0,11.896124485637221,0.0,
2023-07-20_15-35-06,2023-07-20_15-35-21,5,3,-0.0007834821428787109,0.0,4.000279017857142,0.005022321428571428,0.005022321428571428,0.0,84.36886596679688,45.00284976196289,-0.003113769531239541,49401.33333333333,6227.866666666667,0.0,25819.533333333333,47.2,0.0,1515.0666666666668,0.0,540.5903254776202,767.0223928355098,0.0,801.4917452960938,4.4741231294833375,0.0,3.102687007525348,0.0,
2023-07-20_15-35-22,2023-07-20_15-35-37,5,3,-0.0007834821428787109,0.0,4.000279017857142,0.005022321428571428,0.005022321428571428,0.0,85.05282592773438,45.00284976196289,-0.003113769531239541,48890.59999999999,5216.4,0.0,25091.133333333335,29.8,0.0,1502.3333333333335,0.0,49.34159840675346,10.84507056480285,0.0,41.40042941269518,0.8666666666666668,0.0,6.305200675280347,0.0,
2023-07-20_15-35-38,2023-07-20_15-35-53,5,3,-0.0007834821428787109,0.0,4.000279017857142,0.005022321428571428,0.005022321428571428,0.0,85.73733520507812,45.00284976196289,-0.003113769531239541,48820.4,5050.866666666667,0.0,25140.999999999996,25.533333333333335,0.0,1511.8000000000002,0.0,49.182472035834316,19.007776186486222,0.0,19.389286847236928,1.8873850222522757,0.0,7.532595834106607,0.0,
2023-07-20_15-35-54,2023-07-20_15-36-09,5,3,-0.0007834821428787109,0.0,4.000279017857142,0.005022321428571428,0.005022321428571428,0.0,86.42080688476562,45.00284976196289,-0.003113769531239541,48790.93333333333,4943.733333333333,0.0,25191.86666666667,16.133333333333333,0.0,1532.6,0.0,18.736002182370058,22.25818201620845,0.0,49.50203138368257,1.3928388277184116,0.0,10.316868603300996,0.0,
2023-07-20_15-36-10,2023-07-20_15-36-25,5,3,-0.0007834821428787109,0.0,4.000279017857142,0.005022321428571428,0.005022321428571428,0.0,87.1058349609375,45.00284976196289,-0.003113769531239541,48795.2,4855.466666666667,0.0,25295.133333333335,11.0,0.0,1532.4,0.0,35.47747329096493,14.36956660600603,0.0,31.661332884134524,0.47140452079103157,0.0,4.956925570463125,0.0,
2023-07-20_15-36-25,2023-07-20_15-36-41,5,3,-0.0007834821428787109,0.0,4.000279017857142,0.005022321428571428,0.005022321428571428,0.0,87.78927612304688,45.00284976196289,-0.003113769531239541,48711.66666666667,4796.866666666667,0.0,25232.933333333334,7.2,0.0,1526.9333333333332,0.0,29.554657463380593,19.824956214047297,0.0,52.5356386973008,0.7039570693980957,0.0,16.693445154045104,0.0,
2023-07-20_15-36-41,2023-07-20_15-36-57,5,3,-0.0007834821428787109,0.0,4.000279017857142,0.005022321428571428,0.005022321428571428,0.0,88.47430419921875,45.00284976196289,-0.003113769531239541,48785.6,4710.666666666666,0.0,25254.933333333334,5.066666666666666,0.0,1520.0,0.0,29.491882122222755,15.571341196784164,0.0,40.25479957581341,1.0718623460542351,0.0,10.298327803850292,0.0,
2023-07-20_15-36-57,2023-07-20_15-37-12,5,3,-0.0007834821428787109,0.0,4.000279017857142,0.005022321428571428,0.005022321428571428,0.0,89.15829467773438,45.00284976196289,-0.003113769531239541,48809.66666666667,4746.333333333333,0.0,25276.866666666665,4.3999999999999995,0.0,1544.6,0.0,68.93805593107162,15.521311513886687,0.0,54.751215105744855,0.590668171555645,0.0,19.5270183193555,0.0,
2023-07-20_15-37-13,2023-07-20_15-37-28,5,3,-0.0007834821428787109,0.0,4.000279017857142,0.005022321428571428,0.005022321428571428,0.0,89.84280395507812,45.00284976196289,-0.003113769531239541,48771.6,4699.8,0.0,25241.466666666667,6.466666666666667,0.0,1515.6,0.0,44.38711024109948,16.224330152240242,0.0,28.47427689063317,0.40276819911981904,0.0,12.253978945632316,0.0,
2023-07-20_15-37-29,2023-07-20_15-37-44,5,3,-0.0007834821428787109,0.0,4.000279017857142,0.005022321428571428,0.005022321428571428,0.0,90.52676391601562,45.00284976196289,-0.003113769531239541,48758.933333333334,4705.0,0.0,25251.933333333334,11.466666666666667,0.0,1501.7999999999997,0.0,30.142329040735792,11.999074038348864,0.0,48.52907490475274,0.5120763831912405,0.0,10.723079988718007,0.0,
2023-07-20_15-37-45,2023-07-20_15-38-00,5,3,-0.0007834821428787109,0.0,4.000279017857142,0.005022321428571428,0.005022321428571428,0.0,91.21127319335938,45.00284976196289,-0.003113769531239541,48862.86666666666,4767.266666666666,0.0,25173.4,16.866666666666667,0.0,1520.5333333333335,0.0,62.608093193558666,28.781050864916082,0.0,38.747387008674586,0.6879922480183432,0.0,12.661665679434817,0.0,
2023-07-20_15-38-01,2023-07-20_15-38-16,5,3,-0.0007834821428787109,0.0,4.000279017857142,0.005022321428571428,0.005022321428571428,0.0,91.895263671875,45.00284976196289,-0.003113769531239541,48731.8,4874.266666666666,0.0,25120.266666666666,23.866666666666667,0.0,1535.4,0.0,75.06816161921712,20.48858760925751,0.0,21.660614539348185,0.7930251502246879,0.0,1.6411378166788337,0.0,
2023-07-20_15-38-17,2023-07-20_15-38-32,5,3,-0.0007834821428787109,0.0,4.000279017857142,0.005022321428571428,0.005022321428571428,0.0,92.5792236328125,45.00284976196289,-0.003113769531239541,48771.73333333334,4981.6,0.0,25068.2,29.866666666666667,0.0,1514.0,0.0,53.97153570787709,23.30817691521828,0.0,33.31659579782371,1.4742229591663991,0.0,6.941021378570878,0.0,
2023-07-20_15-38-32,2023-07-20_15-38-48,5,3,-0.0007834821428787109,0.0,4.000279017857142,0.005022321428571428,0.005022321428571428,0.0,93.26373291015625,45.00284976196289,-0.003113769531239541,48766.13333333334,5128.0666666666675,0.0,24964.933333333334,42.53333333333333,0.0,1513.9333333333332,0.0,65.9995454529802,13.870992914872579,0.0,48.21979768610473,1.8961950204437186,0.0,6.627719567593868,0.0,
2023-07-20_15-38-48,2023-07-20_15-39-03,5,3,-0.0007834821428787109,0.0,4.000279017857142,0.005022321428571428,0.005022321428571428,0.0,93.94772338867188,45.00284976196289,-0.003113769531239541,48834.59999999999,5336.0666666666675,0.0,24914.2,55.733333333333334,0.0,1506.0,0.0,58.71990009074192,14.543956362237395,0.0,46.998888875754886,2.281325150969156,0.0,10.652594884711323,0.0,
