start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-17_10-08-15,2023-07-17_10-08-40,5,5,-7.995535714285722,-0.007533482142832781,0.002511160714285714,-0.002511160714277594,0.0,0.0,0.0,0.0,-0.0028481445312422693,6733.68,58603.68000000001,0.0,714.0799999999999,191.8,0.0,0.04,0.0,17.77881885840561,69.67397218474075,0.0,2.5695135726436624,3.324454842526815,0.0,0.04,0.0,
2023-07-17_10-08-41,2023-07-17_10-09-06,5,5,-7.596261160714278,-0.007533482142832781,0.002511160714285714,-0.002511160714277594,0.0,0.0,0.0,0.0,-0.0028481445312422693,6472.879999999999,58600.280000000006,0.0,704.88,173.2,0.0,0.08,0.0,8.58151501775762,41.47324920958067,0.0,5.966774673137901,1.4845874847916476,0.0,0.08,0.0,
2023-07-17_10-09-06,2023-07-17_10-09-31,5,5,-7.189453125,-0.007533482142832781,0.002511160714285714,-0.002511160714277594,0.0,0.0,0.0,0.0,-0.0028481445312422693,6219.04,58654.96,0.0,704.24,150.28000000000003,0.0,0.04,0.0,21.329547580762167,49.550838539826984,0.0,3.783860462543494,3.3012724819378345,0.0,0.04,0.0,
2023-07-17_10-09-32,2023-07-17_10-09-58,5,5,-6.770089285714278,-0.007533482142832781,0.002511160714285714,-0.002511160714277594,0.0,0.0,0.0,0.0,-0.0028481445312422693,5960.68,58624.240000000005,0.0,711.9599999999999,138.6,0.0,0.0,0.0,12.26256090708623,57.537340918745656,0.0,1.9701776569639493,1.3371611720357437,0.0,0.0,0.0,
2023-07-17_10-09-58,2023-07-17_10-10-23,5,5,-6.36328125,-0.007533482142832781,0.002511160714285714,-0.002511160714277594,0.0,0.0,0.0,0.0,-0.0028481445312422693,5718.92,58565.759999999995,0.0,719.4,117.47999999999999,0.0,0.0,0.0,17.876084582480694,46.91986359741436,0.0,5.233354564712769,2.240178564311338,0.0,0.0,0.0,
2023-07-17_10-10-24,2023-07-17_10-10-49,5,5,-5.951450892857167,-0.007533482142832781,0.002511160714285714,-0.002511160714277594,0.0,0.0,0.0,0.0,-0.0028481445312422693,5529.76,58606.880000000005,0.0,709.9599999999999,102.0,0.0,0.08,0.0,10.435784589574446,55.65197570616916,0.0,5.484304878469112,2.312574323129962,0.0,0.048989794855663564,0.0,
2023-07-17_10-10-49,2023-07-17_10-11-15,5,5,-5.532087053571445,-0.007533482142832781,0.002511160714285714,-0.002511160714277594,0.0,0.0,0.0,0.0,-0.0028481445312422693,5307.68,58531.4,0.0,719.2,89.08,0.0,0.12000000000000002,0.0,5.625157775565102,45.81912264546247,0.0,6.030257042614339,2.057765778702716,0.0,0.048989794855663564,0.0,
2023-07-17_10-11-15,2023-07-17_10-11-40,5,5,-5.120256696428555,-0.007533482142832781,0.002511160714285714,-0.002511160714277594,0.0,0.0,0.0,0.0,-0.0028481445312422693,5124.88,58593.56,0.0,705.32,74.44,0.0,0.04,0.0,14.008083380677027,51.57609523800768,0.0,4.140821174598105,1.6363373735266218,0.0,0.04,0.0,
2023-07-17_10-11-41,2023-07-17_10-12-06,5,5,-4.708426339285722,-0.007533482142832781,0.002511160714285714,-0.002511160714277594,0.0,0.0,0.0,0.0,-0.0028481445312422693,4942.56,58546.119999999995,0.0,702.24,62.04,0.0,0.08,0.0,18.66905460916544,50.57962435605852,0.0,1.7508854902591497,1.2023310692151303,0.0,0.048989794855663564,0.0,
2023-07-17_10-12-06,2023-07-17_10-12-32,5,5,-4.291573660714278,-0.007533482142832781,0.002511160714285714,-0.002511160714277594,0.0,0.0,0.0,0.0,-0.0028481445312422693,4808.76,58566.8,0.0,718.16,49.92,0.0,0.0,0.0,14.755798860109188,55.42876509539135,0.0,8.3463524967497,1.5589740215924068,0.0,0.0,0.0,
2023-07-17_10-12-32,2023-07-17_10-12-57,5,5,-3.877232142857167,-0.007533482142832781,0.002511160714285714,-0.002511160714277594,0.0,0.0,0.0,0.0,-0.0028481445312422693,4693.4800000000005,58567.240000000005,0.0,708.4399999999999,38.839999999999996,0.0,0.0,0.0,13.609790593539524,28.715528899883175,0.0,8.10737935463735,1.4971973817770319,0.0,0.0,0.0,
