start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-17_16-25-07,2023-07-17_16-25-13,5,1,-0.0026495535714730067,-0.007533482142832781,4.000279017857142,-0.002511160714277594,0.0,0.0,0.0,40.002031494140624,-0.003549804687509095,47252.4,58922.0,0.0,704.6,3201.8,0.0,0.2,0.0,89.88581645621294,78.63841300534999,0.0,11.809318354587617,26.027677575995902,0.0,0.20000000000000004,0.0,
2023-07-17_16-25-13,2023-07-17_16-25-19,5,1,-0.0026495535714730067,-0.007533482142832781,4.000279017857142,-0.002511160714277594,0.0,0.0,0.0,41.00065438842773,-0.003549804687509095,47780.2,58710.6,0.0,707.0,3218.2,0.0,0.0,0.0,116.83766515982764,34.354912312506336,0.0,8.330666239863412,20.883965140748533,0.0,0.0,0.0,
2023-07-17_16-25-20,2023-07-17_16-25-25,5,1,-0.0026495535714730067,-0.007533482142832781,4.000279017857142,-0.002511160714277594,0.0,0.0,0.0,42.00031869506836,-0.003549804687509095,48071.8,59007.8,0.0,705.6,3270.6,0.0,0.0,0.0,80.67118444649242,47.14488307335166,0.0,11.851582172857766,26.74808404353478,0.0,0.0,0.0,
2023-07-17_16-25-26,2023-07-17_16-25-32,5,1,-0.0026495535714730067,-0.007533482142832781,4.000279017857142,-0.002511160714277594,0.0,0.0,0.0,43.001028228759765,-0.003549804687509095,48357.4,59006.6,0.0,715.8,3291.8,0.0,0.0,0.0,69.23698433640796,54.77371632452923,0.0,14.444376068214229,36.15992256628877,0.0,0.0,0.0,
2023-07-17_16-25-32,2023-07-17_16-25-38,5,1,-0.0026495535714730067,-0.007533482142832781,4.000279017857142,-0.002511160714277594,0.0,0.0,0.0,44.00121514892578,-0.003549804687509095,48611.2,58917.8,0.0,696.6,3229.2,0.0,0.6,0.0,72.07176978540211,70.31457885815713,0.0,12.031624994156026,11.060741385639572,0.0,0.24494897427831783,0.0,
2023-07-17_16-25-38,2023-07-17_16-25-44,5,1,-0.0026495535714730067,-0.007533482142832781,4.000279017857142,-0.002511160714277594,0.0,0.0,0.0,45.000879455566405,-0.003549804687509095,48671.6,59051.8,0.0,701.2,3286.6,0.0,0.4,0.0,112.2936329450606,122.45260307563903,0.0,12.022478945708325,26.646951045100824,0.0,0.4,0.0,
2023-07-17_16-25-45,2023-07-17_16-25-51,5,1,-0.0026495535714730067,-0.007533482142832781,4.000279017857142,-0.002511160714277594,0.0,0.0,0.0,46.00106637573242,-0.003549804687509095,48665.2,59046.0,0.0,716.8,3300.0,0.0,0.2,0.0,67.5325106892969,167.39115866735614,0.0,2.939387691339814,23.91443078979719,0.0,0.20000000000000004,0.0,
2023-07-17_16-25-52,2023-07-17_16-25-57,5,1,-0.0026495535714730067,-0.007533482142832781,4.000279017857142,-0.002511160714277594,0.0,0.0,0.0,47.00125329589844,-0.003549804687509095,48329.2,58983.2,0.0,715.6,3296.8,0.0,0.2,0.0,45.655667775206176,85.91472516396709,0.0,9.249864863877743,10.523307464861036,0.0,0.20000000000000004,0.0,
2023-07-17_16-25-58,2023-07-17_16-26-03,5,1,-0.0026495535714730067,-0.007533482142832781,4.000279017857142,-0.002511160714277594,0.0,0.0,0.0,48.00039498901367,-0.003549804687509095,48392.6,59076.6,0.0,682.4,3274.2,0.0,0.2,0.0,41.50975788895907,38.05601135169054,0.0,10.249878048055011,41.56729483620506,0.0,0.20000000000000004,0.0,
2023-07-17_16-26-04,2023-07-17_16-26-09,5,1,-0.0026495535714730067,-0.007533482142832781,4.000279017857142,-0.002511160714277594,0.0,0.0,0.0,49.00110833740234,-0.003549804687509095,47960.8,58971.0,0.0,693.2,3255.6,0.0,0.8,0.0,31.714980687366026,62.03466772700568,0.0,7.289718787443036,22.17340749636826,0.0,0.19999999999999998,0.0,
2023-07-17_16-26-10,2023-07-17_16-26-15,5,1,-0.0026495535714730067,-0.007533482142832781,4.000279017857142,-0.002511160714277594,0.0,0.0,0.0,50.00077264404297,-0.003549804687509095,47538.8,58969.8,0.0,731.0,3195.6,0.0,0.4,0.0,40.46652937922895,174.33083490880205,0.0,9.67987603226405,26.0357446599862,0.0,0.24494897427831783,0.0,
