start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-17_15-21-05,2023-07-17_15-21-20,5,3,-0.004227678571453453,-0.007533482142832781,4.000279017857142,-0.005022321428555188,0.002511160714285714,0.0,0.0,-3.999239257812519,-0.002593017578135459,5259.466666666667,58744.533333333326,0.0,724.0,96.4,0.0,0.06666666666666667,0.0,13.083322717617785,22.972350530342087,0.0,6.341223155757194,1.1274356350191845,0.0,0.06666666666666667,0.0,
2023-07-17_15-21-21,2023-07-17_15-21-36,5,3,-0.004227678571453453,-0.007533482142832781,4.000279017857142,-0.005022321428555188,0.002511160714285714,0.0,0.0,-3.465273193359394,-0.002593017578135459,5008.133333333333,58916.333333333336,0.0,703.9999999999999,76.46666666666667,0.0,0.06666666666666667,0.0,31.072424359157424,100.77317764828851,0.0,5.588679032949858,3.325991915537714,0.0,0.06666666666666667,0.0,
2023-07-17_15-21-37,2023-07-17_15-21-52,5,3,-0.004227678571453453,-0.007533482142832781,4.000279017857142,-0.005022321428555188,0.002511160714285714,0.0,0.0,-2.932344726562519,-0.002593017578135459,4835.733333333334,58894.8,0.0,696.7333333333333,66.86666666666666,0.0,0.06666666666666667,0.0,14.357112058720734,66.64304581541558,0.0,5.4205370787609395,2.1359359124801047,0.0,0.06666666666666667,0.0,
2023-07-17_15-21-53,2023-07-17_15-22-08,5,3,-0.004227678571453453,-0.007533482142832781,4.000279017857142,-0.005022321428555188,0.002511160714285714,0.0,0.0,-2.398927978515644,-0.002593017578135459,4632.0,58905.0,0.0,692.9333333333334,52.8,0.0,0.0,0.0,40.87202248754304,81.47896797469983,0.0,9.43009367221061,1.6586473739499643,0.0,0.0,0.0,
2023-07-17_15-22-09,2023-07-17_15-22-24,5,3,-0.004227678571453453,-0.007533482142832781,4.000279017857142,-0.005022321428555188,0.002511160714285714,0.0,0.0,-1.865480712890644,-0.002593017578135459,4497.6,58926.66666666667,0.0,712.0,44.86666666666666,0.0,0.13333333333333333,0.0,27.711690272839242,86.14683846652666,0.0,5.843324776567238,1.2183777921664707,0.0,0.0816496580927726,0.0,
2023-07-17_15-22-24,2023-07-17_15-22-40,5,3,-0.004227678571453453,-0.007533482142832781,4.000279017857142,-0.005022321428555188,0.002511160714285714,0.0,0.0,-1.332063964843769,-0.002593017578135459,4365.6,58806.53333333334,0.0,710.9333333333334,34.93333333333334,0.0,0.06666666666666667,0.0,13.848545852262635,91.12083552440973,0.0,10.172075064170102,1.142122779934121,0.0,0.06666666666666667,0.0,
2023-07-17_15-22-40,2023-07-17_15-22-56,5,3,-0.004227678571453453,-0.007533482142832781,4.000279017857142,-0.005022321428555188,0.002511160714285714,0.0,0.0,-0.7991354980468941,-0.002593017578135459,4291.533333333334,58983.2,0.0,713.4666666666666,29.933333333333337,0.0,0.0,0.0,12.959166639873219,70.83185096488133,0.0,7.256108537715721,0.7408703590297622,0.0,0.0,0.0,
2023-07-17_15-22-56,2023-07-17_15-23-11,5,3,-0.004227678571453453,-0.007533482142832781,4.000279017857142,-0.005022321428555188,0.002511160714285714,0.0,0.0,-0.2657187500000191,-0.002593017578135459,4243.8,58927.26666666666,0.0,704.8666666666667,29.333333333333336,0.0,0.06666666666666667,0.0,14.460520968024218,61.46628705594977,0.0,9.09187671618035,0.8692269873603535,0.0,0.06666666666666667,0.0,
2023-07-17_15-23-12,2023-07-17_15-23-27,5,3,-0.004227678571453453,-0.007533482142832781,4.000279017857142,-0.005022321428555188,0.002511160714285714,0.0,0.0,0.2677285156249809,-0.002593017578135459,4205.2,58858.06666666667,0.0,704.8666666666668,25.6,0.0,0.0,0.0,13.54605313571283,29.99136912883878,0.0,5.321445083600672,1.1518101695447334,0.0,0.0,0.0,
2023-07-17_15-23-28,2023-07-17_15-23-43,5,3,-0.004227678571453453,-0.007533482142832781,4.000279017857142,-0.005022321428555188,0.002511160714285714,0.0,0.0,0.8011452636718559,-0.002593017578135459,4209.866666666667,58875.26666666668,0.0,709.5333333333334,29.53333333333334,0.0,0.0,0.0,3.263604006479779,40.069162429202024,0.0,7.733477010159572,1.5114378731672848,0.0,0.0,0.0,
