start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-17_15-16-46,2023-07-17_15-17-02,5,3,-4.0120401785714535,-0.007533482142832781,4.002790178571429,-0.005022321428555188,0.002511160714285714,0.0,0.0,0.0004860839843559006,-0.002593017578135459,5028.666666666666,59019.86666666666,0.0,696.0666666666667,90.26666666666667,0.0,0.0,0.0,6.423048774184789,36.268229133008894,0.0,8.894692549804935,0.9568466729604882,0.0,0.0,0.0,
2023-07-17_15-17-02,2023-07-17_15-17-17,5,3,-3.4746517857142862,-0.007533482142832781,4.002790178571429,-0.005022321428555188,0.002511160714285714,0.0,0.0,0.0004860839843559006,-0.002593017578135459,4857.0666666666675,59000.86666666666,0.0,713.7333333333333,77.00000000000001,0.0,0.0,0.0,20.37738397777744,42.96142972998509,0.0,5.061181241128954,1.1303883305208784,0.0,0.0,0.0,
2023-07-17_15-17-18,2023-07-17_15-17-33,5,3,-2.9447968750000086,-0.007533482142832781,4.002790178571429,-0.005022321428555188,0.002511160714285714,0.0,0.0,0.0004860839843559006,-0.002593017578135459,4682.266666666666,58983.86666666666,0.0,707.7333333333333,60.86666666666666,0.0,0.13333333333333333,0.0,16.972985071054033,53.49720657297169,0.0,4.448969918232013,2.0564262420249575,0.0,0.0816496580927726,0.0,
2023-07-17_15-17-33,2023-07-17_15-17-49,5,3,-2.4124308035714535,-0.007533482142832781,4.002790178571429,-0.005022321428555188,0.002511160714285714,0.0,0.0,0.0004860839843559006,-0.002593017578135459,4514.533333333334,59030.666666666664,0.0,722.8666666666667,48.8,0.0,0.0,0.0,18.93221827702413,39.759694834509425,0.0,8.859771755274265,1.5691469727919758,0.0,0.0,0.0,
2023-07-17_15-17-49,2023-07-17_15-18-05,5,3,-1.8750424107142862,-0.007533482142832781,4.002790178571429,-0.005022321428555188,0.002511160714285714,0.0,0.0,0.0004860839843559006,-0.002593017578135459,4367.666666666667,59049.6,0.0,714.0666666666666,41.733333333333334,0.0,0.0,0.0,10.369828028146527,55.29390161270571,0.0,2.767670500619618,1.2355835328567097,0.0,0.0,0.0,
2023-07-17_15-18-05,2023-07-17_15-18-20,5,3,-1.342676339285731,-0.007533482142832781,4.002790178571429,-0.005022321428555188,0.002511160714285714,0.0,0.0,0.0004860839843559006,-0.002593017578135459,4286.933333333333,58992.533333333326,0.0,690.6,34.0,0.0,0.13333333333333333,0.0,14.495746502566478,64.00968676692538,0.0,8.842071150031664,1.843908891458577,0.0,0.13333333333333333,0.0,
2023-07-17_15-18-21,2023-07-17_15-18-36,5,3,-0.8128214285714535,-0.007533482142832781,4.002790178571429,-0.005022321428555188,0.002511160714285714,0.0,0.0,0.0004860839843559006,-0.002593017578135459,4256.933333333333,58910.46666666666,0.0,702.2,32.53333333333334,0.0,0.0,0.0,20.18618889791291,57.61352078963569,0.0,10.998787811996976,1.9708993998792648,0.0,0.0,0.0,
2023-07-17_15-18-36,2023-07-17_15-18-51,5,3,-0.27794419642856383,-0.007533482142832781,4.002790178571429,-0.005022321428555188,0.002511160714285714,0.0,0.0,0.0004860839843559006,-0.002593017578135459,4215.466666666666,59088.8,0.0,709.6,27.73333333333333,0.0,0.0,0.0,24.16278129686237,51.29864628926546,0.0,4.364503280888775,1.2534397117975442,0.0,0.0,0.0,
2023-07-17_15-18-52,2023-07-17_15-19-07,5,3,0.24939955357143617,-0.007533482142832781,4.002790178571429,-0.005022321428555188,0.002511160714285714,0.0,0.0,0.0004860839843559006,-0.002593017578135459,4233.466666666666,58956.6,0.0,699.6000000000001,29.0,0.0,0.0,0.0,24.54850074625523,41.164358909673595,0.0,3.399999999999995,1.8012341448141727,0.0,0.0,0.0,
2023-07-17_15-19-07,2023-07-17_15-19-23,5,3,0.7767433035714362,-0.007533482142832781,4.002790178571429,-0.005022321428555188,0.002511160714285714,0.0,0.0,0.0004860839843559006,-0.002593017578135459,4271.000000000001,58749.53333333334,0.0,711.4,28.133333333333336,0.0,0.0,0.0,12.207920925912553,64.90938983605453,0.0,6.126808123140289,1.0143416036468624,0.0,0.0,0.0,
