start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-17_16-10-50,2023-07-17_16-11-05,5,3,-4.012973214285751,-0.007533482142832781,4.002790178571429,-0.005022321428555188,0.0,0.0,0.0,0.0002919921874990905,-0.003549804687509095,4993.9333333333325,59037.06666666667,0.0,712.0666666666667,88.0,0.0,0.0,0.0,10.42401074443036,78.6472009814865,0.0,3.5140985883849147,3.2437975001874295,0.0,0.0,0.0,
2023-07-17_16-11-06,2023-07-17_16-11-21,5,3,-3.4856294642857506,-0.007533482142832781,4.002790178571429,-0.005022321428555188,0.0,0.0,0.0,0.0002919921874990905,-0.003549804687509095,4811.0,59006.333333333336,0.0,713.9333333333333,70.8,0.0,0.06666666666666667,0.0,31.05246456491917,35.85526460646989,0.0,7.453112697986581,1.3646326326972473,0.0,0.06666666666666667,0.0,
2023-07-17_16-11-21,2023-07-17_16-11-37,5,3,-2.945729910714306,-0.007533482142832781,4.002790178571429,-0.005022321428555188,0.0,0.0,0.0,0.0002919921874990905,-0.003549804687509095,4649.9333333333325,59098.666666666664,0.0,706.4,60.333333333333336,0.0,0.0,0.0,16.620068190794786,61.43940103874711,0.0,7.013003794539256,1.4181364924121758,0.0,0.0,0.0,
2023-07-17_16-11-37,2023-07-17_16-11-52,5,3,-2.415875000000028,-0.007533482142832781,4.002790178571429,-0.005022321428555188,0.0,0.0,0.0,0.0002919921874990905,-0.003549804687509095,4439.066666666667,59047.333333333336,0.0,702.9333333333333,49.86666666666667,0.0,0.0,0.0,14.127357227104486,54.76880701843196,0.0,4.4327067226344745,0.7348469228349536,0.0,0.0,0.0,
2023-07-17_16-11-53,2023-07-17_16-12-08,5,3,-1.8759754464285834,-0.007533482142832781,4.002790178571429,-0.005022321428555188,0.0,0.0,0.0,0.0002919921874990905,-0.003549804687509095,4340.333333333334,58856.666666666664,0.0,699.5333333333333,39.4,0.0,0.0,0.0,16.308143841515417,37.955383163803674,0.0,12.426942057034337,2.0585863542192686,0.0,0.0,0.0,
2023-07-17_16-12-08,2023-07-17_16-12-24,5,3,-1.3410982142857506,-0.007533482142832781,4.002790178571429,-0.005022321428555188,0.0,0.0,0.0,0.0002919921874990905,-0.003549804687509095,4265.4,59012.33333333333,0.0,701.6666666666667,34.733333333333334,0.0,0.0,0.0,17.16404510727128,45.13325947802875,0.0,9.549287349791546,1.5965240019770726,0.0,0.0,0.0,
2023-07-17_16-12-24,2023-07-17_16-12-40,5,3,-0.8062209821429178,-0.007533482142832781,4.002790178571429,-0.005022321428555188,0.0,0.0,0.0,0.0002919921874990905,-0.003549804687509095,4184.133333333333,58906.8,0.0,685.3333333333333,33.93333333333333,0.0,0.0,0.0,15.99986111050818,74.74420081555296,0.0,6.408327915038896,1.253439711797544,0.0,0.0,0.0,
2023-07-17_16-12-40,2023-07-17_16-12-55,5,3,-0.2788772321429178,-0.007533482142832781,4.002790178571429,-0.005022321428555188,0.0,0.0,0.0,0.0002919921874990905,-0.003549804687509095,4210.733333333333,58977.13333333334,0.0,704.0666666666667,28.333333333333332,0.0,0.0,0.0,4.7812132351527765,59.68226984066041,0.0,4.76608388045737,2.1081851067789192,0.0,0.0,0.0,
2023-07-17_16-12-56,2023-07-17_16-13-11,5,3,0.2509776785714166,-0.007533482142832781,4.002790178571429,-0.005022321428555188,0.0,0.0,0.0,0.0002919921874990905,-0.003549804687509095,4189.866666666667,58902.866666666676,0.0,708.8666666666667,29.53333333333334,0.0,0.13333333333333333,0.0,35.56396428346471,52.79631721163051,0.0,7.5407043584947715,0.7644896627453142,0.0,0.0816496580927726,0.0,
2023-07-17_16-13-12,2023-07-17_16-13-27,5,3,0.7833437499999718,-0.007533482142832781,4.002790178571429,-0.005022321428555188,0.0,0.0,0.0,0.0002919921874990905,-0.003549804687509095,4187.266666666667,58937.0,0.0,698.6666666666666,31.93333333333333,0.0,0.0,0.0,11.750366424546552,97.07150857887041,0.0,9.16393898810865,1.8269586141392968,0.0,0.0,0.0,
2023-07-17_16-13-27,2023-07-17_16-13-43,5,3,1.3106874999999718,-0.007533482142832781,4.002790178571429,-0.005022321428555188,0.0,0.0,0.0,0.0002919921874990905,-0.003549804687509095,4257.666666666666,58858.333333333336,0.0,700.0666666666667,33.46666666666667,0.0,0.0,0.0,8.558945937179057,43.737601417747676,0.0,4.825165512417395,1.27627931460511,0.0,0.0,0.0,
2023-07-17_16-13-44,2023-07-17_16-13-59,5,3,1.8530982142857142,-0.007533482142832781,4.002790178571429,-0.005022321428555188,0.0,0.0,0.0,0.0002919921874990905,-0.003549804687509095,4340.333333333334,58764.333333333336,0.0,709.4666666666666,40.266666666666666,0.0,0.0,0.0,6.19856614244146,89.88721327925914,0.0,10.81593474668022,1.0402991022884829,0.0,0.0,0.0,
2023-07-17_16-14-00,2023-07-17_16-14-15,5,3,2.3754196428571426,-0.007533482142832781,4.002790178571429,-0.005022321428555188,0.0,0.0,0.0,0.0002919921874990905,-0.003549804687509095,4483.6,58722.4,0.0,704.0666666666667,51.4,0.0,0.0,0.0,15.451501185609416,63.38475105785813,0.0,3.5829844791427377,1.4118545723031575,0.0,0.0,0.0,
2023-07-17_16-14-15,2023-07-17_16-14-30,5,3,2.912808035714286,-0.007533482142832781,4.002790178571429,-0.005022321428555188,0.0,0.0,0.0,0.0002919921874990905,-0.003549804687509095,4610.466666666666,58784.066666666666,0.0,700.0,63.333333333333336,0.0,0.0,0.0,9.73116414184632,64.5605142482613,0.0,4.019397411995439,1.804315813696581,0.0,0.0,0.0,
2023-07-17_16-14-31,2023-07-17_16-14-46,5,3,3.450196428571428,-0.007533482142832781,4.002790178571429,-0.005022321428555188,0.0,0.0,0.0,0.0002919921874990905,-0.003549804687509095,4779.866666666667,58778.0,0.0,707.4666666666667,74.06666666666666,0.0,0.0,0.0,17.886866690396097,37.31562079820696,0.0,4.670950414827561,1.8601075237738265,0.0,0.0,0.0,
2023-07-17_16-14-46,2023-07-17_16-15-02,5,3,3.9926071428571426,-0.007533482142832781,4.002790178571429,-0.005022321428555188,0.0,0.0,0.0,0.0002919921874990905,-0.003549804687509095,4977.266666666666,58766.73333333334,0.0,694.4666666666666,82.86666666666667,0.0,0.0,0.0,16.468623365526224,33.140173673520565,0.0,3.3025242870668814,2.370185177950824,0.0,0.0,0.0,
