start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-17_11-45-56,2023-07-17_11-46-21,5,5,-0.0005758928571708566,-0.007533482142832781,4.005301339285714,-0.002511160714277594,0.0,0.0,0.0,-2.9995129394530977,-0.0022988281249922693,4781.8,58468.2,0.0,703.4,63.88000000000001,0.0,0.0,0.0,14.769969532805314,29.652925656669964,0.0,6.607874090810142,1.5160474926597776,0.0,0.0,0.0,
2023-07-17_11-46-22,2023-07-17_11-46-47,5,5,-0.0005758928571708566,-0.007533482142832781,4.005301339285714,-0.002511160714277594,0.0,0.0,0.0,-2.3983471679687227,-0.0022988281249922693,4579.799999999999,58520.240000000005,0.0,707.7199999999999,52.239999999999995,0.0,0.0,0.0,13.781001414991655,56.457112926538656,0.0,5.508393595232641,1.4743133995185689,0.0,0.0,0.0,
2023-07-17_11-46-47,2023-07-17_11-47-13,5,5,-0.0005758928571708566,-0.007533482142832781,4.005301339285714,-0.002511160714277594,0.0,0.0,0.0,-1.7987683105468477,-0.0022988281249922693,4435.2,58434.31999999999,0.0,713.5600000000001,41.160000000000004,0.0,0.0,0.0,11.05893304075937,49.971976146635996,0.0,2.6761165893884464,1.2302845199383758,0.0,0.0,0.0,
2023-07-17_11-47-13,2023-07-17_11-47-38,5,5,-0.0005758928571708566,-0.007533482142832781,4.005301339285714,-0.002511160714277594,0.0,0.0,0.0,-1.1991894531249727,-0.0022988281249922693,4313.280000000001,58497.92,0.0,717.64,36.2,0.0,0.0,0.0,10.334718186772179,30.51174200205566,0.0,4.132989232988652,1.320605921537534,0.0,0.0,0.0,
2023-07-17_11-47-39,2023-07-17_11-48-04,5,5,-0.0005758928571708566,-0.007533482142832781,4.005301339285714,-0.002511160714277594,0.0,0.0,0.0,-0.5990612792968477,-0.0022988281249922693,4240.039999999999,58541.96,0.0,707.4,31.24,0.0,0.0,0.0,19.822653707311712,58.4171002361463,0.0,3.9522145690738903,1.2607934009979587,0.0,0.0,0.0,
2023-07-17_11-48-05,2023-07-17_11-48-30,5,5,-0.0005758928571708566,-0.007533482142832781,4.005301339285714,-0.002511160714277594,0.0,0.0,0.0,0.0010363769531522848,-0.0022988281249922693,4193.08,58562.16000000001,0.0,705.04,27.880000000000003,0.0,0.0,0.0,12.468456199546118,23.49931062818619,0.0,8.612409651195184,1.0461357464497618,0.0,0.0,0.0,
2023-07-17_11-48-30,2023-07-17_11-48-56,5,5,-0.0005758928571708566,-0.007533482142832781,4.005301339285714,-0.002511160714277594,0.0,0.0,0.0,0.6011645507812773,-0.0022988281249922693,4196.36,58478.92,0.0,702.96,31.120000000000005,0.0,0.0,0.0,14.630160627963065,43.72004574563012,0.0,4.677777249933992,0.16248076809271916,0.0,0.0,0.0,
2023-07-17_11-48-56,2023-07-17_11-49-22,5,5,-0.0005758928571708566,-0.007533482142832781,4.005301339285714,-0.002511160714277594,0.0,0.0,0.0,1.2012622070312773,-0.0022988281249922693,4233.280000000001,58432.759999999995,0.0,700.76,35.0,0.0,0.0,0.0,11.649137307114238,46.739251170723904,0.0,6.185919495111457,0.889943818451479,0.0,0.0,0.0,
2023-07-17_11-49-22,2023-07-17_11-49-48,5,5,-0.0005758928571708566,-0.007533482142832781,4.005301339285714,-0.002511160714277594,0.0,0.0,0.0,1.8008715820312773,-0.0022988281249922693,4312.5599999999995,58434.159999999996,0.0,700.24,42.56,0.0,0.0,0.0,15.438315970338248,72.03061571304305,0.0,4.2111281148879804,1.862686232300007,0.0,0.0,0.0,
2023-07-17_11-49-48,2023-07-17_11-50-14,5,5,-0.0005758928571708566,-0.007533482142832781,4.005301339285714,-0.002511160714277594,0.0,0.0,0.0,2.4009692382812773,-0.0022988281249922693,4423.8,58385.0,0.0,703.5199999999999,52.8,0.0,0.0,0.0,17.65525417545724,86.49224242670581,0.0,4.232540608192661,1.1506519890914015,0.0,0.0,0.0,
2023-07-17_11-50-14,2023-07-17_11-50-40,5,5,-0.0005758928571708566,-0.007533482142832781,4.005301339285714,-0.002511160714277594,0.0,0.0,0.0,3.0010974121094023,-0.0022988281249922693,4584.92,58348.920000000006,0.0,710.52,65.88000000000001,0.0,0.04,0.0,21.798403611273947,30.48728259455007,0.0,5.363058828690949,1.7223240113288796,0.0,0.04,0.0,
