start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-20_14-46-44,2023-07-20_14-47-00,5,3,-0.00958258928574196,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,0.0009287109375009095,-4.0015078124999945,4107.533333333333,59456.666666666664,0.0,706.1333333333333,65.4,0.0,0.0,0.0,13.71195747432796,104.56709701324674,0.0,5.918520836230016,2.0450482200237294,0.0,0.0,0.0,
2023-07-20_14-47-00,2023-07-20_14-47-15,5,3,-0.00958258928574196,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,0.0009287109375009095,-3.5795717773437445,4048.3333333333335,59528.2,0.0,710.3333333333333,57.666666666666664,0.0,0.0,0.0,25.239299162659503,42.8873977863999,0.0,7.186406921712988,1.3743685418725533,0.0,0.0,0.0,
2023-07-20_14-47-16,2023-07-20_14-47-31,5,3,-0.00958258928574196,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,0.0009287109375009095,-3.1586428222656195,3949.8666666666672,59482.6,0.0,709.0,53.333333333333336,0.0,0.13333333333333333,0.0,6.690457549541861,67.44095359810836,0.0,5.984238557336353,1.8885620632287063,0.0,0.0816496580927726,0.0,
2023-07-20_14-47-31,2023-07-20_14-47-47,5,3,-0.00958258928574196,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,0.0009287109375009095,-2.7372255859374945,3917.2,59334.13333333334,0.0,708.2,45.66666666666667,0.0,0.0,0.0,23.587567346662354,58.970576467326815,0.0,10.729813087323041,3.3993463423951904,0.0,0.0,0.0,
2023-07-20_14-47-47,2023-07-20_14-48-02,5,3,-0.00958258928574196,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,0.0009287109375009095,-2.3168154296874945,3856.5333333333338,59602.26666666666,0.0,699.5333333333333,42.8,0.0,0.0,0.0,10.629414115765988,93.69812046021904,0.0,8.67986175005109,2.0127372185934043,0.0,0.0,0.0,
2023-07-20_14-48-03,2023-07-20_14-48-18,5,3,-0.00958258928574196,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,0.0009287109375009095,-1.8964357910156195,3815.0,59571.666666666664,0.0,698.2,38.2,0.0,0.0,0.0,12.663157408622729,92.13956804760942,0.0,7.106804251326094,0.9043106644167018,0.0,0.0,0.0,
2023-07-20_14-48-19,2023-07-20_14-48-34,5,3,-0.00958258928574196,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,0.0009287109375009095,-1.4744692382812445,3773.6,59514.2,0.0,699.8666666666666,37.266666666666666,0.0,0.0,0.0,14.281067498226047,64.4170094859361,0.0,5.090950577031541,1.8055470085267782,0.0,0.0,0.0,
2023-07-20_14-48-34,2023-07-20_14-48-50,5,3,-0.00958258928574196,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,0.0009287109375009095,-1.0540895996093695,3760.9333333333334,59498.8,0.0,704.2,31.53333333333333,0.0,0.0,0.0,16.586272771314334,40.264900623523104,0.0,3.776535743538284,2.179704363236242,0.0,0.0,0.0,
2023-07-20_14-48-50,2023-07-20_14-49-05,5,3,-0.00958258928574196,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,0.0009287109375009095,-0.6331911621093695,3769.8,59456.933333333334,0.0,715.1333333333334,34.86666666666666,0.0,0.0,0.0,32.94719681213835,27.958977886261135,0.0,11.669809100599895,1.7178798302300162,0.0,0.0,0.0,
2023-07-20_14-49-06,2023-07-20_14-49-21,5,3,-0.00958258928574196,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,0.0009287109375009095,-0.21381860351561954,3730.9333333333334,59375.866666666676,0.0,702.2,31.066666666666663,0.0,0.06666666666666667,0.0,17.109256753777096,91.73328488370791,0.0,8.16197143941203,1.9333333333333327,0.0,0.06666666666666667,0.0,
2023-07-20_14-49-21,2023-07-20_14-49-37,5,3,-0.00958258928574196,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,0.0009287109375009095,0.20707983398438046,3805.8,59398.133333333324,0.0,693.8666666666667,32.46666666666667,0.0,0.0,0.0,15.28201557386983,99.55331346681682,0.0,7.397897599243238,1.481740718059525,0.0,0.0,0.0,
