start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-20_14-36-05,2023-07-20_14-36-20,5,3,-4.017395089285742,0.0,3.995256696428571,-0.11297767857143981,0.002511160714285714,14.806,-88.887,0.0009287109375009095,-0.002850585937494543,4566.466666666667,59078.93333333333,0.0,707.7333333333333,89.2,0.0,0.0,0.0,12.155291486061067,55.31951634720751,0.0,3.8678159211627423,1.0780641085864149,0.0,0.0,0.0,
2023-07-20_14-36-21,2023-07-20_14-36-36,5,3,-3.595520089285742,0.0,3.995256696428571,-0.11297767857143981,0.002511160714285714,14.806,-88.887,0.0009287109375009095,-0.002850585937494543,4400.0,59077.133333333324,0.0,703.4666666666667,78.06666666666666,0.0,0.0,0.0,15.789940538907054,90.85180851865908,0.0,6.8747525207982685,2.9124254878403693,0.0,0.0,0.0,
2023-07-20_14-36-36,2023-07-20_14-36-52,5,3,-3.1661116071428523,0.0,3.995256696428571,-0.11297767857143981,0.002511160714285714,14.806,-88.887,0.0009287109375009095,-0.002850585937494543,4251.266666666666,59071.93333333333,0.0,708.4,63.866666666666674,0.0,0.0,0.0,18.191389904750686,68.6747082669854,0.0,5.889161419270338,1.7530925056406281,0.0,0.0,0.0,
2023-07-20_14-36-52,2023-07-20_14-37-07,5,3,-2.74674776785713,0.0,3.995256696428571,-0.11297767857143981,0.002511160714285714,14.806,-88.887,0.0009287109375009095,-0.002850585937494543,4108.866666666667,59193.53333333334,0.0,712.6,54.8,0.0,0.0,0.0,16.4027775425722,17.3908021666627,0.0,7.243694576051026,1.0198039027185568,0.0,0.0,0.0,
2023-07-20_14-37-08,2023-07-20_14-37-23,5,3,-2.3198504464285747,0.0,3.995256696428571,-0.11297767857143981,0.002511160714285714,14.806,-88.887,0.0009287109375009095,-0.002850585937494543,4031.9333333333334,59191.53333333334,0.0,716.1333333333333,48.13333333333333,0.0,0.0,0.0,21.858738400110006,42.83075219200924,0.0,4.020226638166339,0.8472176684759221,0.0,0.0,0.0,
2023-07-20_14-37-24,2023-07-20_14-37-39,5,3,-1.90299776785713,0.0,3.995256696428571,-0.11297767857143981,0.002511160714285714,14.806,-88.887,0.0009287109375009095,-0.002850585937494543,3902.066666666667,59197.26666666666,0.0,701.3333333333333,41.2,0.0,0.0,0.0,10.208602037279942,30.195547869033454,0.0,2.9814239699997245,0.997775303139718,0.0,0.0,0.0,
2023-07-20_14-37-39,2023-07-20_14-37-55,5,3,-1.4836339285714075,0.0,3.995256696428571,-0.11297767857143981,0.002511160714285714,14.806,-88.887,0.0009287109375009095,-0.002850585937494543,3886.333333333333,59092.2,0.0,707.3333333333333,38.06666666666666,0.0,0.0,0.0,22.23110933404408,109.96654036569498,0.0,8.829873536278235,1.3759844960366854,0.0,0.0,0.0,
2023-07-20_14-37-55,2023-07-20_14-38-11,5,3,-1.05924776785713,0.0,3.995256696428571,-0.11297767857143981,0.002511160714285714,14.806,-88.887,0.0009287109375009095,-0.002850585937494543,3795.9333333333334,59036.86666666666,0.0,707.6666666666667,33.4,0.0,0.0,0.0,5.007106061500072,46.95974635555276,0.0,2.1421692017412743,2.425329301810833,0.0,0.0,0.0,
2023-07-20_14-38-11,2023-07-20_14-38-26,5,3,-0.6398839285714075,0.0,3.995256696428571,-0.11297767857143981,0.002511160714285714,14.806,-88.887,0.0009287109375009095,-0.002850585937494543,3761.2,59170.66666666667,0.0,699.9333333333334,27.26666666666667,0.0,0.0,0.0,15.830210218299513,49.133378561716476,0.0,11.416557177090551,1.5362291495737215,0.0,0.0,0.0,
2023-07-20_14-38-27,2023-07-20_14-38-42,5,3,-0.22805357142857474,0.0,3.995256696428571,-0.11297767857143981,0.002511160714285714,14.806,-88.887,0.0009287109375009095,-0.002850585937494543,3765.8666666666672,59036.46666666666,0.0,704.0,26.666666666666668,0.0,0.06666666666666667,0.0,11.28991683858753,104.0977425307584,0.0,3.967926970654124,1.1401754250991378,0.0,0.06666666666666667,0.0,
