start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-20_13-40-30,2023-07-20_13-40-46,5,3,-0.01771651785713857,0.0,3.995256696428571,-0.117999999999995,0.005022321428571428,-3.999084228515642,-88.887,45.00244348144531,-0.002512207031259095,48957.2,5762.800000000001,0.0,24003.533333333333,84.6,0.0,1441.3999999999999,0.0,42.86485221665419,19.455247792476616,0.0,47.03882557112884,3.050318744728891,0.0,12.391932859727724,0.0,
2023-07-20_13-40-46,2023-07-20_13-41-02,5,3,-0.01771651785713857,0.0,3.995256696428571,-0.117999999999995,0.005022321428571428,-3.427093261718767,-88.887,45.00244348144531,-0.002512207031259095,48942.59999999999,5479.533333333334,0.0,24151.933333333334,71.06666666666666,0.0,1451.9333333333334,0.0,43.83065898051998,6.9045878467387585,0.0,39.969071376085886,3.1008959278820627,0.0,8.24782799691329,0.0,
2023-07-20_13-41-02,2023-07-20_13-41-17,5,3,-0.01771651785713857,0.0,3.995256696428571,-0.117999999999995,0.005022321428571428,-2.855621093750017,-88.887,45.00244348144531,-0.002512207031259095,49041.66666666667,5228.4,0.0,24248.266666666666,54.46666666666666,0.0,1465.8666666666668,0.0,50.779151452364246,16.25983463083876,0.0,63.18916925479474,1.3232955494186138,0.0,10.791251600769538,0.0,
2023-07-20_13-41-18,2023-07-20_13-41-34,5,3,-0.01771651785713857,0.0,3.995256696428571,-0.117999999999995,0.005022321428571428,-2.284179443359392,-88.887,45.00244348144531,-0.002512207031259095,48995.399999999994,5034.8,0.0,24334.93333333333,41.266666666666666,0.0,1474.7999999999997,0.0,74.27990606109113,25.474082689841637,0.0,35.385401886465246,1.050925518028963,0.0,12.195900950729289,0.0,
2023-07-20_13-41-34,2023-07-20_13-41-49,5,3,-0.01771651785713857,0.0,3.995256696428571,-0.117999999999995,0.005022321428571428,-1.7127072753906418,-88.887,45.00244348144531,-0.002512207031259095,49018.13333333333,4838.9333333333325,0.0,24439.866666666665,26.0,0.0,1455.7999999999997,0.0,43.093258044488174,22.05205961658311,0.0,28.33070576051532,1.6227548592850778,0.0,13.500864169871988,0.0,
2023-07-20_13-41-50,2023-07-20_13-42-05,5,3,-0.01771651785713857,0.0,3.995256696428571,-0.117999999999995,0.005022321428571428,-1.1412351074218918,-88.887,45.00244348144531,-0.002512207031259095,48927.666666666664,4712.333333333334,0.0,24546.799999999996,19.06666666666667,0.0,1485.9333333333334,0.0,31.740090317031807,12.991877804570368,0.0,35.482483941610816,1.8690461025168248,0.0,9.515134143971801,0.0,
2023-07-20_13-42-06,2023-07-20_13-42-21,5,3,-0.01771651785713857,0.0,3.995256696428571,-0.117999999999995,0.005022321428571428,-0.5697934570312668,-88.887,45.00244348144531,-0.002512207031259095,49012.53333333333,4622.533333333334,0.0,24591.26666666667,14.8,0.0,1472.8000000000002,0.0,51.87769805567308,26.140560225230292,0.0,60.247212936920604,0.34318767136623335,0.0,8.632368028402022,0.0,
2023-07-20_13-42-22,2023-07-20_13-42-37,5,3,-0.01771651785713857,0.0,3.995256696428571,-0.117999999999995,0.005022321428571428,0.0016787109374831743,-88.887,45.00244348144531,-0.002512207031259095,48895.86666666667,4548.4,0.0,24478.2,13.73333333333333,0.0,1451.3333333333333,0.0,42.657108304347716,8.977378979041408,0.0,43.64460002235207,0.896908269804914,0.0,10.082988974836127,0.0,
2023-07-20_13-42-37,2023-07-20_13-42-53,5,3,-0.01771651785713857,0.0,3.995256696428571,-0.117999999999995,0.005022321428571428,0.5726015624999832,-88.887,45.00244348144531,-0.002512207031259095,48989.26666666667,4571.933333333333,0.0,24540.666666666664,12.8,0.0,1475.1333333333334,0.0,72.01399555333424,10.516864763057677,0.0,36.948763323162986,0.992191737742481,0.0,16.366836387443147,0.0,
2023-07-20_13-42-53,2023-07-20_13-43-08,5,3,-0.01771651785713857,0.0,3.995256696428571,-0.117999999999995,0.005022321428571428,1.1445925292968582,-88.887,45.00244348144531,-0.002512207031259095,49005.26666666667,4595.533333333334,0.0,24497.533333333333,13.333333333333332,0.0,1454.3333333333335,0.0,60.991383726628975,21.262538784339927,0.0,73.15262583575988,0.97182531580755,0.0,7.049034606872668,0.0,
