start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-20_16-49-14,2023-07-20_16-49-19,5,1,-0.0032946428571563047,0.0,3.997767857142857,-4.007502232142883,0.001251220703125,0.0001218261718776148,45.000248138427736,-0.002594970703114541,48826.6,5162.8,0.0,24091.2,66.4,0.0,1497.0,0.0,98.1894087974869,16.332176829804407,0.0,64.55029047184837,4.71805044483418,0.0,13.408952233489385,0.0,
2023-07-20_16-49-19,2023-07-20_16-49-25,5,1,-0.0032946428571563047,0.0,3.997767857142857,-3.434957589285716,0.001251220703125,0.0001218261718776148,45.000248138427736,-0.002594970703114541,48904.8,4855.0,0.0,24276.0,49.0,0.0,1477.8,0.0,91.69100283015777,36.00694377477766,0.0,69.93782953452302,0.8366600265340755,0.0,8.69712596206356,0.0,
2023-07-20_16-49-25,2023-07-20_16-49-31,5,1,-0.0032946428571563047,0.0,3.997767857142857,-2.849857142857161,0.001251220703125,0.0001218261718776148,45.000248138427736,-0.002594970703114541,48877.6,4638.8,0.0,24212.0,34.2,0.0,1502.8,0.0,154.0793951182312,33.00515111312172,0.0,62.43156253050214,2.009975124224178,0.0,15.376605607220341,0.0,
2023-07-20_16-49-31,2023-07-20_16-49-36,5,1,-0.0032946428571563047,0.0,3.997767857142857,-2.2898683035714384,0.001251220703125,0.0001218261718776148,45.000248138427736,-0.002594970703114541,48805.6,4554.8,0.0,24462.8,23.2,0.0,1498.2,0.0,94.26059622132675,35.893453442097204,0.0,92.704584568402,1.5297058540778354,0.0,19.642810389554747,0.0,
2023-07-20_16-49-37,2023-07-20_16-49-42,5,1,-0.0032946428571563047,0.0,3.997767857142857,-1.7173236607142712,0.001251220703125,0.0001218261718776148,45.000248138427736,-0.002594970703114541,48786.4,4360.4,0.0,24466.6,17.8,0.0,1512.6,0.0,108.2892423096588,26.502075390429333,0.0,104.66594479581217,1.7146428199482247,0.0,16.469972677572965,0.0,
2023-07-20_16-49-43,2023-07-20_16-49-48,5,1,-0.0032946428571563047,0.0,3.997767857142857,-1.1422678571428833,0.001251220703125,0.0001218261718776148,45.000248138427736,-0.002594970703114541,48803.8,4271.2,0.0,24435.8,10.8,0.0,1524.8,0.0,73.65283429712667,19.3220081772056,0.0,77.5296072478121,2.1771541057077237,0.0,20.387250918159612,0.0,
2023-07-20_16-49-48,2023-07-20_16-49-54,5,1,-0.0032946428571563047,0.0,3.997767857142857,-0.5722343749999936,0.001251220703125,0.0001218261718776148,45.000248138427736,-0.002594970703114541,48905.6,4203.4,0.0,24461.0,5.2,0.0,1509.2,0.0,125.85412190309856,36.985943275790596,0.0,115.18246394308467,0.969535971483266,0.0,21.050890717496966,0.0,
2023-07-20_16-49-54,2023-07-20_16-49-59,5,1,-0.0032946428571563047,0.0,3.997767857142857,0.002821428571428572,0.001251220703125,0.0001218261718776148,45.000248138427736,-0.002594970703114541,48702.6,4178.4,0.0,24550.8,4.2,0.0,1522.2,0.0,92.96429422095346,19.29404053069237,0.0,89.17309011131104,0.916515138991168,0.0,22.712111306525422,0.0,
2023-07-20_16-50-00,2023-07-20_16-50-05,5,1,-0.0032946428571563047,0.0,3.997767857142857,0.5678325892857143,0.001251220703125,0.0001218261718776148,45.000248138427736,-0.002594970703114541,48630.6,4198.4,0.0,24462.0,5.4,0.0,1502.4,0.0,36.883058441512134,39.5658944041456,0.0,89.43824685222759,1.0770329614269007,0.0,16.992939710362066,0.0,
2023-07-20_16-50-06,2023-07-20_16-50-11,5,1,-0.0032946428571563047,0.0,3.997767857142857,1.1378660714285713,0.001251220703125,0.0001218261718776148,45.000248138427736,-0.002594970703114541,48817.8,4291.0,0.0,24448.2,11.8,0.0,1485.4,0.0,118.43411670629372,18.846750383023593,0.0,68.28425880098575,1.3564659966250534,0.0,15.008664164408502,0.0,
2023-07-20_16-50-11,2023-07-20_16-50-17,5,1,-0.0032946428571563047,0.0,3.997767857142857,1.7053883928571427,0.001251220703125,0.0001218261718776148,45.000248138427736,-0.002594970703114541,48774.8,4412.0,0.0,24433.8,15.2,0.0,1509.8,0.0,117.97940498239512,15.29051993883792,0.0,57.71776156435729,1.1575836902790224,0.0,13.60661603779573,0.0,
2023-07-20_16-50-17,2023-07-20_16-50-23,5,1,-0.0032946428571563047,0.0,3.997767857142857,2.285466517857143,0.001251220703125,0.0001218261718776148,45.000248138427736,-0.002594970703114541,48863.0,4563.2,0.0,24410.2,25.0,0.0,1485.4,0.0,120.08954992004924,15.723867208800765,0.0,26.064151626323845,2.8982753492378874,0.0,19.68400365779279,0.0,
