start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-20_16-46-05,2023-07-20_16-46-10,5,1,-0.01836160714287871,0.0,3.995256696428571,0.002821428571428572,-3.99951171875,0.002197021484377615,45.00233096313477,-0.002594970703114541,48953.6,5166.2,0.0,24039.2,62.6,0.0,1473.4,0.0,95.10078864026312,44.02203993456005,0.0,87.79601357692728,4.567274898667694,0.0,10.59056183589898,0.0,
2023-07-20_16-46-11,2023-07-20_16-46-16,5,1,-0.01836160714287871,0.0,3.995256696428571,0.002821428571428572,-3.426483154296875,0.002197021484377615,45.00233096313477,-0.002594970703114541,48782.2,4970.0,0.0,24144.6,45.8,0.0,1490.0,0.0,127.24755400399647,40.67923303111798,0.0,118.90357437856945,3.5128336140500585,0.0,15.706686474237651,0.0,
2023-07-20_16-46-17,2023-07-20_16-46-22,5,1,-0.01836160714287871,0.0,3.995256696428571,0.002821428571428572,-2.85552978515625,0.002197021484377615,45.00233096313477,-0.002594970703114541,48944.6,4812.6,0.0,24400.8,41.0,0.0,1495.2,0.0,108.01601733076443,34.95082259403919,0.0,40.05171656745813,2.1213203435596424,0.0,9.350935782048767,0.0,
2023-07-20_16-46-23,2023-07-20_16-46-28,5,1,-0.01836160714287871,0.0,3.995256696428571,0.002821428571428572,-2.2840576171875,0.002197021484377615,45.00233096313477,-0.002594970703114541,48974.0,4544.6,0.0,24390.4,23.2,0.0,1492.2,0.0,104.1666933333299,28.685536425174273,0.0,83.86930308521707,1.1575836902790224,0.0,23.17196582079302,0.0,
2023-07-20_16-46-29,2023-07-20_16-46-34,5,1,-0.01836160714287871,0.0,3.995256696428571,0.002821428571428572,-1.712615966796875,0.002197021484377615,45.00233096313477,-0.002594970703114541,48802.4,4435.8,0.0,24536.0,17.0,0.0,1535.6,0.0,105.41565348656715,31.46649011249904,0.0,74.56138410732461,2.073644135332772,0.0,11.788129622633098,0.0,
2023-07-20_16-46-34,2023-07-20_16-46-40,5,1,-0.01836160714287871,0.0,3.995256696428571,0.002821428571428572,-1.141143798828125,0.002197021484377615,45.00233096313477,-0.002594970703114541,48861.2,4339.6,0.0,24392.6,8.4,0.0,1512.2,0.0,47.92327200849291,40.439584567599105,0.0,76.65872422627446,1.3638181696985856,0.0,20.214846029589243,0.0,
2023-07-20_16-46-40,2023-07-20_16-46-46,5,1,-0.01836160714287871,0.0,3.995256696428571,0.002821428571428572,-0.5697021484375,0.002197021484377615,45.00233096313477,-0.002594970703114541,48974.6,4268.6,0.0,24588.4,7.4,0.0,1516.0,0.0,126.69672450383236,31.528717068729584,0.0,55.34672528704837,0.7483314773547882,0.0,15.417522498767433,0.0,
2023-07-20_16-46-47,2023-07-20_16-46-52,5,1,-0.01836160714287871,0.0,3.995256696428571,0.002821428571428572,0.00177001953125,0.002197021484377615,45.00233096313477,-0.002594970703114541,48887.4,4217.6,0.0,24463.8,4.8,0.0,1494.0,0.0,62.80413999092735,20.031475232743094,0.0,101.28148893060369,0.6633249580710799,0.0,7.556454194925025,0.0,
2023-07-20_16-46-52,2023-07-20_16-46-58,5,1,-0.01836160714287871,0.0,3.995256696428571,0.002821428571428572,0.5732421875,0.002197021484377615,45.00233096313477,-0.002594970703114541,48850.8,4221.2,0.0,24549.2,6.6,0.0,1498.0,0.0,22.123290894439734,18.51053753946654,0.0,28.943738528393325,0.8717797887081347,0.0,8.360621986431392,0.0,
2023-07-20_16-46-58,2023-07-20_16-47-04,5,1,-0.01836160714287871,0.0,3.995256696428571,0.002821428571428572,1.1441650390625,0.002197021484377615,45.00233096313477,-0.002594970703114541,48934.0,4305.6,0.0,24423.6,11.2,0.0,1490.8,0.0,77.84279028914624,17.448782192462602,0.0,68.79869184802862,0.8602325267042625,0.0,3.5832945734337835,0.0,
