start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-20_16-58-22,2023-07-20_16-58-37,5,3,-0.010828124999989086,0.0,4.000279017857142,0.0003102678571428527,0.001251220703125,-4.000091796874983,45.000248138427736,-0.002594970703114541,49233.46666666666,4626.533333333334,0.0,24487.533333333333,37.266666666666666,0.0,1515.2,0.0,85.68434318279333,26.918931793235878,0.0,32.595091655032924,1.5895492023421818,0.0,9.51992063458983,0.0,
2023-07-20_16-58-38,2023-07-20_16-58-53,5,3,-0.010828124999989086,0.0,4.000279017857142,0.0003102678571428527,0.001251220703125,-3.579162841796858,45.000248138427736,-0.002594970703114541,49181.26666666667,4538.266666666667,0.0,24405.800000000003,31.53333333333333,0.0,1491.6,0.0,53.168014611961226,14.455833117157605,0.0,45.10291934380002,1.1382247385975912,0.0,12.42640557665633,0.0,
2023-07-20_16-58-53,2023-07-20_16-59-09,5,3,-0.010828124999989086,0.0,4.000279017857142,0.0003102678571428527,0.001251220703125,-3.157196289062483,45.000248138427736,-0.002594970703114541,49200.066666666666,4501.466666666666,0.0,24468.666666666668,23.2,0.0,1516.8,0.0,57.279858783189994,37.48549349044541,0.0,41.383303127925316,1.1234866364235145,0.0,8.770278090105117,0.0,
2023-07-20_16-59-09,2023-07-20_16-59-24,5,3,-0.010828124999989086,0.0,4.000279017857142,0.0003102678571428527,0.001251220703125,-2.736847167968733,45.000248138427736,-0.002594970703114541,49186.53333333334,4404.733333333334,0.0,24558.13333333333,18.800000000000004,0.0,1503.8666666666668,0.0,28.2784959524602,7.182849945065916,0.0,39.68593369612641,0.7348469228349536,0.0,8.736004680503427,0.0,
2023-07-20_16-59-25,2023-07-20_16-59-40,5,3,-0.010828124999989086,0.0,4.000279017857142,0.0003102678571428527,0.001251220703125,-2.315399414062483,45.000248138427736,-0.002594970703114541,49036.13333333333,4335.133333333333,0.0,24591.73333333333,15.2,0.0,1500.5333333333333,0.0,70.39472833797817,26.869147941665542,0.0,36.56537524307223,0.9225568335398698,0.0,7.474103439357926,0.0,
2023-07-20_16-59-41,2023-07-20_16-59-56,5,3,-0.010828124999989086,0.0,4.000279017857142,0.0003102678571428527,0.001251220703125,-1.8945009765624832,45.000248138427736,-0.002594970703114541,49142.53333333334,4265.333333333334,0.0,24549.266666666666,12.666666666666668,0.0,1539.9333333333334,0.0,50.34465656298107,22.16829567949091,0.0,40.88403654783196,0.5962847939999437,0.0,16.91199442867564,0.0,
2023-07-20_16-59-57,2023-07-20_17-00-12,5,3,-0.010828124999989086,0.0,4.000279017857142,0.0003102678571428527,0.001251220703125,-1.4730837402343582,45.000248138427736,-0.002594970703114541,48986.53333333333,4230.2666666666655,0.0,24525.06666666667,9.733333333333334,0.0,1506.1333333333334,0.0,63.31066260907462,13.474832507720118,0.0,38.84404716298223,0.5517648452415616,0.0,11.799529180814305,0.0,
2023-07-20_17-00-12,2023-07-20_17-00-28,5,3,-0.010828124999989086,0.0,4.000279017857142,0.0003102678571428527,0.001251220703125,-1.0526735839843582,45.000248138427736,-0.002594970703114541,49097.799999999996,4240.266666666666,0.0,24503.2,7.666666666666666,0.0,1516.1999999999998,0.0,57.62615147078011,14.982730799898315,0.0,42.71099260013589,0.7817359599705714,0.0,7.3579888556588555,0.0,
2023-07-20_17-00-28,2023-07-20_17-00-43,5,3,-0.010828124999989086,0.0,4.000279017857142,0.0003102678571428527,0.001251220703125,-0.6312258300781082,45.000248138427736,-0.002594970703114541,48937.066666666666,4224.4,0.0,24551.73333333333,6.199999999999999,0.0,1509.8,0.0,64.29190375847374,9.592473901739584,0.0,23.776131822574936,0.3265986323710904,0.0,10.579645026601256,0.0,
2023-07-20_17-00-44,2023-07-20_17-00-59,5,3,-0.010828124999989086,0.0,4.000279017857142,0.0003102678571428527,0.001251220703125,-0.21032739257810817,45.000248138427736,-0.002594970703114541,48934.40000000001,4205.6,0.0,24482.266666666666,4.133333333333334,0.0,1518.3333333333333,0.0,64.94941621497983,9.085641908466904,0.0,38.7479605198061,0.5228129047119374,0.0,6.948221195225248,0.0,
2023-07-20_17-00-59,2023-07-20_17-01-15,5,3,-0.010828124999989086,0.0,4.000279017857142,0.0003102678571428527,0.001251220703125,0.21112036132812761,45.000248138427736,-0.002594970703114541,48882.2,4204.133333333333,0.0,24488.13333333333,3.8666666666666663,0.0,1497.4,0.0,33.52902556823736,13.393862607760179,0.0,46.730860609808346,0.3091206165165234,0.0,10.068322159680378,0.0,
2023-07-20_17-01-15,2023-07-20_17-01-30,5,3,-0.010828124999989086,0.0,4.000279017857142,0.0003102678571428527,0.001251220703125,0.6320187988281276,45.000248138427736,-0.002594970703114541,48779.200000000004,4214.866666666667,0.0,24458.466666666667,4.6000000000000005,0.0,1501.0,0.0,36.54838497723789,23.931290534918205,0.0,41.80491730778958,0.4521553322083513,0.0,9.20446751432273,0.0,
2023-07-20_17-01-31,2023-07-20_17-01-46,5,3,-0.010828124999989086,0.0,4.000279017857142,0.0003102678571428527,0.001251220703125,1.0529172363281276,45.000248138427736,-0.002594970703114541,48811.86666666667,4216.266666666666,0.0,24484.200000000004,5.533333333333333,0.0,1503.2,0.0,67.88221825747607,22.28038499567619,0.0,41.74054783221382,0.48989794855663565,0.0,8.45156132846993,0.0,
2023-07-20_17-01-47,2023-07-20_17-02-02,5,3,-0.010828124999989086,0.0,4.000279017857142,0.0003102678571428527,0.001251220703125,1.4743649902343776,45.000248138427736,-0.002594970703114541,48831.73333333333,4270.6,0.0,24460.533333333333,8.333333333333332,0.0,1510.0666666666668,0.0,75.70170994692766,15.190420958251636,0.0,24.090708213380076,0.6912147117775905,0.0,8.465222974027322,0.0,
2023-07-20_17-02-03,2023-07-20_17-02-19,5,3,-0.010828124999989086,0.0,4.000279017857142,0.0003102678571428527,0.001251220703125,1.8947751464843776,45.000248138427736,-0.002594970703114541,48907.46666666667,4279.666666666666,0.0,24477.2,10.4,0.0,1520.0,0.0,92.97129784090451,14.647335745603874,0.0,24.48845532989872,0.6616477747093068,0.0,11.563352070706443,0.0,
2023-07-20_17-02-19,2023-07-20_17-02-34,5,3,-0.010828124999989086,0.0,4.000279017857142,0.0003102678571428527,0.001251220703125,2.3161923828125026,45.000248138427736,-0.002594970703114541,48900.4,4364.4,0.0,24392.666666666664,14.466666666666665,0.0,1493.9333333333332,0.0,34.91838102394454,30.29987165356025,0.0,32.301530751480904,0.4027681991198191,0.0,6.8608389509673655,0.0,
2023-07-20_17-02-35,2023-07-20_17-02-50,5,3,-0.010828124999989086,0.0,4.000279017857142,0.0003102678571428527,0.001251220703125,2.7370908203125026,45.000248138427736,-0.002594970703114541,48827.46666666666,4422.6,0.0,24359.666666666664,18.0,0.0,1498.2666666666667,0.0,49.19774159224995,15.452220264774567,0.0,63.64074515940597,0.5868938953886338,0.0,7.564096479788943,0.0,
