start time (s),stop time (s),num samples (#),period per sample (s),C_UV_HWP position (deg),C_QP position (deg),C_PCC position (deg),B_C_HWP position (deg),B_HWP position (deg),B_QWP position (deg),A_HWP position (deg),A_QWP position (deg),A rate (#/s),B rate (#/s),A' rate (#/s),B' rate (#/s),C4 rate (#/s),C5 rate (#/s),C6 rate (#/s),C7 rate (#/s),A rate SEM (#/s),B rate SEM (#/s),A' rate SEM (#/s),B' rate SEM (#/s),C4 rate SEM (#/s),C5 rate SEM (#/s),C6 rate SEM (#/s),C7 rate SEM (#/s),note
2023-07-10_18-31-20,2023-07-10_18-31-25,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,9.643554687954747e-05,4.76074218767053e-05,0.00032958984377273737,359.9980078125,36016.6,13674.2,0.0,18585.6,14.0,0.0,1009.8,0.0,97.17798104509066,52.26030998759958,0.0,35.387285852407494,1.7320508075688772,0.0,9.377632963600142,0.0,HH
2023-07-10_18-31-31,2023-07-10_18-31-36,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,45.0012141418457,4.76074218767053e-05,0.00032958984377273737,359.9980078125,36102.0,41442.4,0.0,6081.4,2333.0,0.0,15.8,0.0,24.623159829721285,71.49307658787667,0.0,23.735205918634875,16.66433316997713,0.0,2.130727575266252,0.0,HV
2023-07-10_18-31-40,2023-07-10_18-31-45,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,67.50228607177735,4.76074218767053e-05,0.00032958984377273737,359.9980078125,36134.4,27390.6,0.0,12375.4,1126.6,0.0,526.4,0.0,50.119457299535874,63.16850481054621,0.0,79.68851862094061,15.47126368465097,0.0,8.176796438703851,0.0,HD
2023-07-10_18-31-52,2023-07-10_18-31-58,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,22.498055572509767,4.76074218767053e-05,0.00032958984377273737,359.9980078125,36168.4,27974.4,0.0,12099.6,1150.6,0.0,516.2,0.0,51.42625788446987,90.3264080986286,0.0,56.273972669432176,11.775398082442901,0.0,6.99571297295708,0.0,HA
2023-07-10_18-32-08,2023-07-10_18-32-13,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,0.0006152343750045475,45.00224487304688,0.00032958984377273737,359.9980078125,36087.0,27221.8,0.0,12313.4,1152.6,0.0,519.6,0.0,99.88393264184185,99.66112582145557,0.0,84.0759180740835,7.717512552629896,0.0,10.712609392673665,0.0,HR
2023-07-10_18-32-23,2023-07-10_18-32-28,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,0.0006152343750045475,135.00184814453127,0.00032958984377273737,359.9980078125,36049.8,27736.2,0.0,12126.6,1169.0,0.0,535.4,0.0,56.59275572014495,35.272368789181144,0.0,29.49677948522516,23.11276703469318,0.0,14.596574940718114,0.0,HL
2023-07-10_18-32-50,2023-07-10_18-32-55,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,0.0006152343750045475,359.9995593261719,45.001939392089845,359.9980078125,11785.2,13704.4,0.0,18638.2,595.6,0.0,7.2,0.0,64.51619951609054,28.415840652706372,0.0,84.82122375915122,6.982836100038435,0.0,0.8602325267042626,0.0,VH
2023-07-10_18-33-01,2023-07-10_18-33-06,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,45.0012141418457,4.76074218767053e-05,44.999856567382814,359.9980078125,11802.8,41326.4,0.0,6036.4,12.0,0.0,270.6,0.0,41.61177717906314,68.92212997289042,0.0,40.65169123173106,1.3038404810405297,0.0,4.1303752856126765,0.0,VV
2023-07-10_18-33-10,2023-07-10_18-33-15,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,67.50228607177735,4.76074218767053e-05,44.999856567382814,359.9980078125,11923.2,27414.8,0.0,12426.0,309.8,0.0,138.6,0.0,31.72443852931049,71.36343601593185,0.0,41.27590095927647,7.889233169326407,0.0,3.501428280002319,0.0,VD
2023-07-10_18-33-22,2023-07-10_18-33-27,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,22.498576278686524,4.76074218767053e-05,44.999856567382814,359.9980078125,11751.2,27910.2,0.0,12179.4,289.6,0.0,137.8,0.0,62.250622486847476,101.3012339510235,0.0,39.611362006373874,7.0611613775638915,0.0,4.913247398615299,0.0,VA
2023-07-10_18-33-37,2023-07-10_18-33-42,5,1,53.53041294642857,328.93443080357144,4.005301339285714,44.997488839285715,9.643554687954747e-05,45.00224487304688,44.999856567382814,359.9980078125,11831.2,27320.4,0.0,12313.0,306.8,0.0,143.6,0.0,71.56773015822145,72.39447492730368,0.0,27.96247485470483,7.876547467006086,0.0,6.801470429252779,0.0,VR
