start time (s),stop time (s),num samples (#),period per sample (s),C_UV_HWP position (deg),C_QP position (deg),C_PCC position (deg),B_C_HWP position (deg),B_HWP position (deg),B_QWP position (deg),A_HWP position (deg),A_QWP position (deg),A rate (#/s),B rate (#/s),A' rate (#/s),B' rate (#/s),C4 rate (#/s),C5 rate (#/s),C6 rate (#/s),C7 rate (#/s),A rate SEM (#/s),B rate SEM (#/s),A' rate SEM (#/s),B' rate SEM (#/s),C4 rate SEM (#/s),C5 rate SEM (#/s),C6 rate SEM (#/s),C7 rate SEM (#/s),note
2023-07-06_13-34-24,2023-07-06_13-34-39,5,3,65.39815848214286,321.6997767857143,4.005301339285714,359.99246651785717,188.4233447265625,61.84497253417969,22.49982604980469,89.99758056640626,15653.866666666669,19183.86666666667,0.0,8403.6,449.33333333333337,0.0,209.1333333333333,0.0,50.03860731697288,27.033641592981596,0.0,26.08072936948737,3.6285901761795474,0.0,4.482806660514769,0.0,
2023-07-06_13-34-40,2023-07-06_13-34-55,5,3,65.39815848214286,323.28431919642856,4.005301339285714,359.99246651785717,188.4233447265625,61.84497253417969,22.49982604980469,89.99758056640626,20840.266666666666,25078.8,0.0,11029.533333333333,326.9333333333333,0.0,408.33333333333337,0.0,52.7005587151495,30.174234778108946,0.0,25.695568143596624,3.3819783822162055,0.0,4.809712396114074,0.0,
2023-07-06_13-34-56,2023-07-06_13-35-11,5,3,65.39815848214286,324.8939732142857,4.005301339285714,359.99246651785717,188.4233447265625,61.84497253417969,22.49982604980469,89.99758056640626,23113.333333333332,27578.666666666668,0.0,12184.466666666665,139.0,0.0,563.7333333333333,0.0,32.63535914719923,51.45656204778736,0.0,19.285746031719903,2.5755258362775786,0.0,3.86350445407621,0.0,
2023-07-06_13-35-12,2023-07-06_13-35-27,5,3,65.39815848214286,326.4935825892857,4.005301339285714,359.99246651785717,188.4233447265625,61.84497253417969,22.49982604980469,89.99758056640626,23962.333333333336,28157.13333333333,0.0,12478.533333333333,41.13333333333334,0.0,614.2666666666667,0.0,56.83787860612352,31.145108408508626,0.0,31.320493823267235,1.3358309939675919,0.0,3.230754985723581,0.0,
2023-07-06_13-35-28,2023-07-06_13-35-43,5,3,65.39815848214286,328.0881696428571,4.005301339285714,359.99246651785717,188.4233447265625,61.84497253417969,22.49982604980469,89.99758056640626,24984.6,29096.4,0.0,13017.466666666665,68.06666666666666,0.0,632.0666666666666,0.0,47.89588244886589,24.994977273222037,0.0,24.04061378399312,1.674647558277396,0.0,3.7600236405876313,0.0,
2023-07-06_13-35-44,2023-07-06_13-36-00,5,3,65.39815848214286,329.6802455357143,4.005301339285714,359.99246651785717,188.4233447265625,61.84497253417969,22.49982604980469,89.99758056640626,25378.73333333333,29338.8,0.0,13241.2,215.8,0.0,568.8666666666666,0.0,50.452331737767445,33.317763030151596,0.0,46.30749879279194,4.113122631016216,0.0,7.727008908152402,0.0,
2023-07-06_13-36-01,2023-07-06_13-36-16,5,3,65.39815848214286,331.2748325892857,4.005301339285714,359.99246651785717,188.4233447265625,61.84497253417969,22.49982604980469,89.99758056640626,25276.933333333334,29410.13333333333,0.0,13218.666666666666,429.66666666666663,0.0,467.2,0.0,37.53685596258147,67.42951875847847,0.0,34.724151057537185,4.968791491790422,0.0,8.233805654468378,0.0,
2023-07-06_13-36-17,2023-07-06_13-36-33,5,3,65.39815848214286,332.86690848214283,4.005301339285714,359.99246651785717,188.4233447265625,61.84497253417969,22.49982604980469,89.99758056640626,25370.73333333333,29325.06666666667,0.0,13269.2,677.2666666666667,0.0,364.8,0.0,50.218234846628135,43.08472273710652,0.0,24.14944213756414,9.054403471362557,0.0,2.6132142830026104,0.0,
2023-07-06_13-36-34,2023-07-06_13-36-49,5,3,65.39815848214286,334.458984375,4.005301339285714,359.99246651785717,188.4233447265625,61.84497253417969,22.49982604980469,89.99758056640626,25489.93333333333,29472.06666666667,0.0,13311.066666666666,957.6666666666666,0.0,247.8,0.0,44.32949858101782,44.622042385648804,0.0,34.13639309202617,7.428922458128705,0.0,3.832028763519976,0.0,
2023-07-06_13-36-51,2023-07-06_13-37-06,5,3,65.39815848214286,336.06612723214283,4.005301339285714,359.99246651785717,188.4233447265625,61.84497253417969,22.49982604980469,89.99758056640626,25470.999999999996,29482.86666666667,0.0,13295.133333333335,1165.1333333333332,0.0,151.5333333333333,0.0,55.83875595557838,50.65719209659312,0.0,59.5887386825547,15.119009373779923,0.0,4.161463417810829,0.0,
