start time (s),stop time (s),num samples (#),period per sample (s),C_UV_HWP position (deg),C_QP position (deg),C_PCC position (deg),B_C_HWP position (deg),B_HWP position (deg),B_QWP position (deg),A_HWP position (deg),A_QWP position (deg),A rate (#/s),B rate (#/s),A' rate (#/s),B' rate (#/s),C4 rate (#/s),C5 rate (#/s),C6 rate (#/s),C7 rate (#/s),A rate SEM (#/s),B rate SEM (#/s),A' rate SEM (#/s),B' rate SEM (#/s),C4 rate SEM (#/s),C5 rate SEM (#/s),C6 rate SEM (#/s),C7 rate SEM (#/s),note
2023-06-29_12-16-03,2023-06-29_12-16-18,5,3,44.989955357142854,347.50697544642856,4.002790178571429,0.005022321428571428,9.643554687954747e-05,0.0021762084960954553,0.00032958984377273737,359.9980078125,45583.66666666667,49748.066666666666,0.0,1965.5333333333333,2805.5333333333333,0.0,18.666666666666664,0.0,48.0283481104872,46.90882409289046,0.0,4.156119985435148,17.146622602328065,0.0,0.7527726527090811,0.0,
2023-06-29_12-16-18,2023-06-29_12-16-33,5,3,47.36551339285714,347.50697544642856,4.002790178571429,0.005022321428571428,9.643554687954747e-05,0.0021762084960954553,0.00032958984377273737,359.9980078125,45378.46666666666,49527.86666666666,0.0,2097.666666666667,2774.6,0.0,18.266666666666666,0.0,43.20552948151095,72.4149002469639,0.0,17.77670135630094,8.15775023452476,0.0,0.6616477747093068,0.0,
2023-06-29_12-16-34,2023-06-29_12-16-49,5,3,49.718470982142854,347.50697544642856,4.002790178571429,0.005022321428571428,9.643554687954747e-05,0.0021762084960954553,0.00032958984377273737,359.9980078125,44567.73333333333,48774.46666666667,0.0,2537.866666666667,2734.333333333333,0.0,18.400000000000002,0.0,33.383362456302876,39.065557435901326,0.0,10.448072655864463,16.225836735828977,0.0,0.24494897427831774,0.0,
2023-06-29_12-16-49,2023-06-29_12-17-05,5,3,52.09402901785714,347.50697544642856,4.002790178571429,0.005022321428571428,9.643554687954747e-05,0.0021762084960954553,0.00032958984377273737,359.9980078125,43214.46666666667,47388.8,0.0,3276.4666666666667,2642.666666666667,0.0,18.0,0.0,33.22057595326616,64.62925034378762,0.0,23.194012637364434,18.708880838313686,0.0,0.5962847939999439,0.0,
2023-06-29_12-17-05,2023-06-29_12-17-20,5,3,54.46205357142857,347.50697544642856,4.002790178571429,0.005022321428571428,9.643554687954747e-05,0.0021762084960954553,0.00032958984377273737,359.9980078125,41466.53333333334,45437.933333333334,0.0,4251.666666666666,2515.4,0.0,17.6,0.0,61.09942716589084,61.14858043232842,0.0,14.690510920696816,21.415051819793593,0.0,1.0132456102380445,0.0,
2023-06-29_12-17-21,2023-06-29_12-17-36,5,3,56.82505580357143,347.50697544642856,4.002790178571429,0.005022321428571428,9.643554687954747e-05,0.0021762084960954553,0.00032958984377273737,359.9980078125,39252.933333333334,43017.86666666667,0.0,5518.4,2396.0,0.0,15.066666666666666,0.0,44.95212267883756,60.87460700306651,0.0,17.483134730362323,6.336841133842293,0.0,1.3055437351710761,0.0,
2023-06-29_12-17-36,2023-06-29_12-17-51,5,3,59.19810267857143,347.50697544642856,4.002790178571429,0.005022321428571428,9.643554687954747e-05,0.0021762084960954553,0.00032958984377273737,359.9980078125,36572.6,40265.6,0.0,6913.533333333333,2196.3999999999996,0.0,15.8,0.0,48.50789168326765,68.127609022416,0.0,16.556502582906084,11.823423080196914,0.0,0.44221663871405337,0.0,
2023-06-29_12-17-52,2023-06-29_12-18-07,5,3,61.55859375,347.50697544642856,4.002790178571429,0.005022321428571428,9.643554687954747e-05,0.0021762084960954553,0.00032958984377273737,359.9980078125,33598.2,37023.8,0.0,8537.2,1989.6,0.0,14.133333333333331,0.0,67.91846418889236,70.51568777387173,0.0,32.856692198427616,19.125143427203678,0.0,1.222929088522943,0.0,
2023-06-29_12-18-07,2023-06-29_12-18-22,5,3,63.931640625,347.50697544642856,4.002790178571429,0.005022321428571428,9.643554687954747e-05,0.0021762084960954553,0.00032958984377273737,359.9980078125,30392.13333333333,33553.86666666666,0.0,10278.933333333334,1773.6,0.0,14.866666666666665,0.0,38.44658632440597,29.24182696830749,0.0,32.50015384578972,13.574240310234677,0.0,0.7423685817106699,0.0,
2023-06-29_12-18-23,2023-06-29_12-18-38,5,3,66.31222098214286,347.50697544642856,4.002790178571429,0.005022321428571428,9.643554687954747e-05,0.0021762084960954553,0.00032958984377273737,359.9980078125,26823.93333333333,29879.26666666667,0.0,12141.199999999999,1549.7333333333331,0.0,12.066666666666666,0.0,30.079598106062104,25.83954763965956,0.0,25.103917356991737,7.405253390517956,0.0,0.3999999999999999,0.0,
