start time (s),stop time (s),num samples (#),period per sample (s),C_UV_HWP position (deg),C_QP position (deg),C_PCC position (deg),B_C_HWP position (deg),B_HWP position (deg),B_QWP position (deg),A_HWP position (deg),A_QWP position (deg),A rate (#/s),B rate (#/s),A' rate (#/s),B' rate (#/s),C4 rate (#/s),C5 rate (#/s),C6 rate (#/s),C7 rate (#/s),A rate SEM (#/s),B rate SEM (#/s),A' rate SEM (#/s),B' rate SEM (#/s),C4 rate SEM (#/s),C5 rate SEM (#/s),C6 rate SEM (#/s),C7 rate SEM (#/s),note
2023-07-06_13-50-32,2023-07-06_13-50-47,5,3,44.982421875,326.4935825892857,4.005301339285714,-0.007533482142857143,45.00174438476562,9.33837890642053e-05,45.002462005615236,359.9973974609375,3805.0666666666666,4894.866666666667,0.0,21183.6,51.13333333333333,0.0,4.266666666666667,0.0,19.80246898186628,11.193053401304025,0.0,20.6482175717152,0.6548960901462834,0.0,0.5206833117271102,0.0,
2023-07-06_13-50-48,2023-07-06_13-51-03,5,3,47.357979910714285,326.4935825892857,4.005301339285714,-0.007533482142857143,45.00174438476562,9.33837890642053e-05,45.002462005615236,359.9973974609375,5062.866666666667,6302.199999999999,0.0,20646.8,134.26666666666668,0.0,3.9333333333333336,0.0,13.69411877007379,23.078272610112503,0.0,33.88847722882959,3.307231134616655,0.0,0.4396968652757639,0.0,
2023-07-06_13-51-03,2023-07-06_13-51-19,5,3,49.72349330357143,326.4935825892857,4.005301339285714,-0.007533482142857143,45.00174438476562,9.33837890642053e-05,45.002462005615236,359.9973974609375,6866.0,8342.533333333335,0.0,19897.8,259.6,0.0,5.733333333333333,0.0,18.913252261605063,10.683632341109323,0.0,22.304359314816452,2.034152840318981,0.0,0.35590260840104365,0.0,
2023-07-06_13-51-20,2023-07-06_13-51-35,5,3,52.08900669642857,326.4935825892857,4.005301339285714,-0.007533482142857143,45.00174438476562,9.33837890642053e-05,45.002462005615236,359.9973974609375,9229.533333333333,11043.866666666665,0.0,18942.26666666667,413.4,0.0,8.2,0.0,23.6677464542408,14.385409274678198,0.0,26.08307241616051,9.302568343085564,0.0,0.501109879279097,0.0,
2023-07-06_13-51-35,2023-07-06_13-51-51,5,3,54.46205357142857,326.4935825892857,4.005301339285714,-0.007533482142857143,45.00174438476562,9.33837890642053e-05,45.002462005615236,359.9973974609375,11927.866666666667,14174.06666666667,0.0,17683.133333333335,592.0,0.0,8.666666666666666,0.0,12.578023162113551,30.567666286817094,0.0,41.37103119602174,3.891586366052333,0.0,0.6411794687223781,0.0,
2023-07-06_13-51-51,2023-07-06_13-52-07,5,3,56.832589285714285,326.4935825892857,4.005301339285714,-0.007533482142857143,45.00174438476562,9.33837890642053e-05,45.002462005615236,359.9973974609375,15177.466666666665,17855.200000000004,0.0,16325.866666666665,826.4666666666666,0.0,9.4,0.0,18.161803630452418,36.29303575680083,0.0,41.348061891970275,11.426382726927287,0.0,0.8055363982396379,0.0,
2023-07-06_13-52-07,2023-07-06_13-52-23,5,3,59.19559151785714,326.4935825892857,4.005301339285714,-0.007533482142857143,45.00174438476562,9.33837890642053e-05,45.002462005615236,359.9973974609375,18446.466666666667,21624.333333333336,0.0,14826.2,1037.4,0.0,9.866666666666667,0.0,26.618832097262086,11.368083978108835,0.0,23.076346716449354,6.765435027484261,0.0,1.4007934259633794,0.0,
2023-07-06_13-52-23,2023-07-06_13-52-38,5,3,61.57114955357143,326.4935825892857,4.005301339285714,-0.007533482142857143,45.00174438476562,9.33837890642053e-05,45.002462005615236,359.9973974609375,22080.666666666664,25771.066666666666,0.0,13273.533333333335,1289.4666666666667,0.0,11.133333333333333,0.0,28.050945715885685,47.50840861246426,0.0,33.988494785408996,11.245542326727593,0.0,1.1085526098877259,0.0,
2023-07-06_13-52-39,2023-07-06_13-52-54,5,3,63.946707589285715,326.4935825892857,4.005301339285714,-0.007533482142857143,45.00174438476562,9.33837890642053e-05,45.002462005615236,359.9973974609375,25875.733333333334,30023.333333333332,0.0,11621.266666666666,1523.5333333333333,0.0,13.666666666666666,0.0,24.1760671371963,50.22438540080809,0.0,12.230835348958516,4.84492862004522,0.0,0.7071067811865476,0.0,
2023-07-06_13-52-54,2023-07-06_13-53-10,5,3,66.30719866071428,326.4935825892857,4.005301339285714,-0.007533482142857143,45.00174438476562,9.33837890642053e-05,45.002462005615236,359.9973974609375,29463.4,34269.53333333334,0.0,9999.933333333332,1795.9333333333336,0.0,11.466666666666665,0.0,34.70725188391212,19.887628762067415,0.0,16.392206820451047,12.30510282588309,0.0,0.22607766610417565,0.0,
