start time (s),stop time (s),num samples (#),period per sample (s),C_UV_HWP position (deg),C_QP position (deg),C_PCC position (deg),B_C_HWP position (deg),B_HWP position (deg),B_QWP position (deg),A_HWP position (deg),A_QWP position (deg),A rate (#/s),B rate (#/s),A' rate (#/s),B' rate (#/s),C4 rate (#/s),C5 rate (#/s),C6 rate (#/s),C7 rate (#/s),A rate SEM (#/s),B rate SEM (#/s),A' rate SEM (#/s),B' rate SEM (#/s),C4 rate SEM (#/s),C5 rate SEM (#/s),C6 rate SEM (#/s),C7 rate SEM (#/s),note
2023-06-29_12-21-27,2023-06-29_12-21-42,5,3,44.979910714285715,347.50697544642856,4.002790178571429,0.005022321428571428,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,3451.2,4336.533333333334,0.0,22606.066666666666,4.466666666666667,0.0,6.866666666666667,0.0,26.454489222058307,26.003546766632464,0.0,29.43984450442031,0.5436502143433363,0.0,0.5734883511361752,0.0,
2023-06-29_12-21-42,2023-06-29_12-21-58,5,3,47.34793526785714,347.50697544642856,4.002790178571429,0.005022321428571428,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,3735.333333333333,4628.333333333334,0.0,22460.733333333334,24.066666666666663,0.0,6.9333333333333345,0.0,14.315104687784231,27.3272350920794,0.0,43.273343090431965,1.723691129846386,0.0,0.6000000000000001,0.0,
2023-06-29_12-21-58,2023-06-29_12-22-14,5,3,49.73353794642857,347.50697544642856,4.002790178571429,0.005022321428571428,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,4574.733333333333,5605.0,0.0,22076.666666666668,77.4,0.0,6.866666666666667,0.0,11.09524422644419,24.42266706702338,0.0,47.773074703923854,2.53727763119801,0.0,0.8856886837057615,0.0,
2023-06-29_12-22-14,2023-06-29_12-22-29,5,3,52.09654017857143,347.50697544642856,4.002790178571429,0.005022321428571428,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,6105.533333333334,7290.466666666667,0.0,21360.000000000004,188.26666666666668,0.0,7.466666666666667,0.0,8.151755093911428,24.736073522961036,0.0,53.43355167349841,4.137095062426722,0.0,0.71956777149743,0.0,
2023-06-29_12-22-30,2023-06-29_12-22-45,5,3,54.464564732142854,347.50697544642856,4.002790178571429,0.005022321428571428,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,8165.333333333333,9551.4,0.0,20496.666666666668,317.4,0.0,7.866666666666667,0.0,20.94596222027853,26.753898988953246,0.0,34.180078668396874,4.381019668220327,0.0,0.5537749241945383,0.0,
2023-06-29_12-22-45,2023-06-29_12-23-00,5,3,56.830078125,347.50697544642856,4.002790178571429,0.005022321428571428,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,10746.933333333332,12452.933333333332,0.0,19366.86666666667,488.6,0.0,9.4,0.0,10.385031963787387,32.80165984960031,0.0,24.07179077491114,5.478645412467893,0.0,1.0077477638553982,0.0,
2023-06-29_12-23-01,2023-06-29_12-23-16,5,3,59.19559151785714,347.50697544642856,4.002790178571429,0.005022321428571428,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,13639.2,15658.266666666666,0.0,18078.266666666666,679.9333333333333,0.0,9.266666666666666,0.0,27.52909571909531,24.869526198408536,0.0,54.74216331535007,4.283560305270475,0.0,0.35590260840104365,0.0,
2023-06-29_12-23-16,2023-06-29_12-23-31,5,3,61.56863839285714,347.50697544642856,4.002790178571429,0.005022321428571428,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,17048.8,19316.933333333334,0.0,16590.13333333333,918.0,0.0,9.533333333333333,0.0,27.144182925014615,18.224647535076606,0.0,33.90929076226736,6.091888960832363,0.0,0.679869268479038,0.0,
2023-06-29_12-23-32,2023-06-29_12-23-47,5,3,63.93666294642857,347.50697544642856,4.002790178571429,0.005022321428571428,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,20694.533333333333,23277.6,0.0,15003.533333333335,1150.2666666666669,0.0,9.533333333333333,0.0,56.77838007943192,30.043560966629496,0.0,28.587021142081014,10.735921013122255,0.0,0.9752492558885194,0.0,
2023-06-29_12-23-47,2023-06-29_12-24-03,5,3,66.30970982142857,347.50697544642856,4.002790178571429,0.005022321428571428,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,24467.466666666667,27548.533333333336,0.0,13278.06666666667,1405.7333333333331,0.0,10.2,0.0,28.987085246901216,39.89800886148469,0.0,11.13772368524612,7.388730157025164,0.0,0.16996731711975954,0.0,
