start time (s),stop time (s),num samples (#),period per sample (s),C_UV_HWP position (deg),C_QP position (deg),C_PCC position (deg),B_C_HWP position (deg),B_HWP position (deg),B_QWP position (deg),A_HWP position (deg),A_QWP position (deg),A rate (#/s),B rate (#/s),A' rate (#/s),B' rate (#/s),C4 rate (#/s),C5 rate (#/s),C6 rate (#/s),C7 rate (#/s),A rate SEM (#/s),B rate SEM (#/s),A' rate SEM (#/s),B' rate SEM (#/s),C4 rate SEM (#/s),C5 rate SEM (#/s),C6 rate SEM (#/s),C7 rate SEM (#/s),note
2023-06-28_14-24-27,2023-06-28_14-24-32,5,1,65.38560267857143,335.87276785714283,4.000279017857142,0.005022321428571428,0.0006152343750045475,359.9990481567383,0.00032958984377273737,359.9973974609375,24938.6,27598.2,0.0,12891.2,1474.0,0.0,11.8,0.0,68.9591183238301,48.20622366458505,0.0,38.75874094962322,9.20326029187483,0.0,1.5297058540778354,0.0,HH
2023-06-28_14-24-38,2023-06-28_14-24-43,5,1,65.38560267857143,335.87276785714283,4.000279017857142,0.005022321428571428,45.0012141418457,9.33837890642053e-05,0.00032958984377273737,359.9980078125,25050.4,28871.0,0.0,12432.4,13.2,0.0,671.4,0.0,35.88119284527759,100.69458773936164,0.0,63.60157230760887,1.3190905958272916,0.0,16.089126763127947,0.0,HV
2023-06-28_14-24-47,2023-06-28_14-24-52,5,1,65.38560267857143,335.87276785714283,4.000279017857142,0.005022321428571428,67.50228607177735,9.33837890642053e-05,0.00032958984377273737,359.9980078125,25077.0,28207.8,0.0,12674.2,791.4,0.0,311.0,0.0,59.882384722053274,49.90831594033203,0.0,79.60678363054244,15.065191668213185,0.0,6.789698078707182,0.0,HD
2023-06-28_14-24-59,2023-06-28_14-25-04,5,1,65.38560267857143,335.87276785714283,4.000279017857142,0.005022321428571428,22.498576278686524,9.33837890642053e-05,0.00032958984377273737,359.9980078125,24891.8,28343.6,0.0,12750.6,659.6,0.0,389.4,0.0,109.50589025253389,96.0206227848997,0.0,62.6383269252939,11.066164647247932,0.0,11.504781614615725,0.0,HA
2023-06-28_14-25-23,2023-06-28_14-25-28,5,1,65.38560267857143,335.87276785714283,4.000279017857142,0.005022321428571428,0.0006152343750045475,135.00184814453127,0.00032958984377273737,359.9980078125,25007.8,28140.6,0.0,12449.4,706.8,0.0,349.8,0.0,77.94831621016581,64.09414949899873,0.0,64.39611789541352,13.48109787814034,0.0,8.985543945694106,0.0,HR
2023-06-28_14-25-40,2023-06-28_14-25-45,5,1,65.38560267857143,335.87276785714283,4.000279017857142,0.005022321428571428,0.0006152343750045475,45.000154418945314,0.00032958984377273737,359.9980078125,25070.6,28001.2,0.0,12705.6,731.2,0.0,338.4,0.0,75.15357609588514,69.9388304163002,0.0,69.56550869504225,14.516886718577094,0.0,12.081390648431166,0.0,HL
2023-06-28_14-25-57,2023-06-28_14-26-02,5,1,65.38560267857143,335.87276785714283,4.000279017857142,0.005022321428571428,0.0006152343750045475,359.9995669555664,45.002462005615236,359.9980078125,25995.0,27690.4,0.0,12852.6,16.8,0.0,691.2,0.0,32.72002444986861,54.41194721749994,0.0,29.075075236360092,1.7435595774162693,0.0,11.363978176677389,0.0,VH
2023-06-28_14-26-09,2023-06-28_14-26-14,5,1,65.38560267857143,335.87276785714283,4.000279017857142,0.005022321428571428,45.0012141418457,9.33837890642053e-05,44.999856567382814,359.9980078125,25979.6,28826.6,0.0,12434.2,1514.4,0.0,14.8,0.0,63.58270205016454,25.96651690157923,0.0,41.060199707259095,10.879338215167317,0.0,3.4842502780368685,0.0,VV
2023-06-28_14-26-18,2023-06-28_14-26-23,5,1,65.38560267857143,335.87276785714283,4.000279017857142,0.005022321428571428,67.50228607177735,9.33837890642053e-05,44.999856567382814,359.9980078125,26076.0,28338.6,0.0,12681.6,696.0,0.0,400.0,0.0,87.90051194390166,96.14915496248523,0.0,49.14834686945228,12.13260071048248,0.0,15.706686474237651,0.0,VD
2023-06-28_14-26-30,2023-06-28_14-26-35,5,1,65.38560267857143,335.87276785714283,4.000279017857142,0.005022321428571428,22.498576278686524,9.33837890642053e-05,44.999856567382814,359.9980078125,25906.6,28301.0,0.0,12644.4,849.2,0.0,327.6,0.0,101.71656698886372,52.45188271168157,0.0,24.258194491758864,9.850888284819801,0.0,5.201922721455981,0.0,VA
2023-06-28_14-26-54,2023-06-28_14-26-59,5,1,65.38560267857143,335.87276785714283,4.000279017857142,0.005022321428571428,0.0006152343750045475,135.00184814453127,44.999856567382814,359.9980078125,26012.2,28178.2,0.0,12531.6,768.4,0.0,368.4,0.0,90.45518227276975,34.28614880677035,0.0,38.37004039612155,12.576167937809991,0.0,8.634813257969162,0.0,VR
