start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-12_13-00-19,2023-07-12_13-00-22,5,0.5,65.39313616071428,-24.114676339285722,4.005301339285714,-60.00418526785717,45.00016891479492,4.76074218767053e-05,0.00032958984377273737,-0.0019921874999795364,26109.6,29511.2,0.0,13351.2,1140.4,0.0,232.4,0.0,102.60877155487243,70.74630732412822,0.0,129.8639287870192,19.95394697797907,0.0,10.609429767899874,0.0,
2023-07-12_13-00-22,2023-07-12_13-00-25,5,0.5,65.39313616071428,-24.114676339285722,4.005301339285714,-55.868303571428555,45.00016891479492,4.76074218767053e-05,0.00032958984377273737,-0.0019921874999795364,25846.4,29409.6,0.0,13332.0,1288.0,0.0,134.4,0.0,110.10976341814562,104.2888296990622,0.0,112.70669900232195,8.786353054595518,0.0,3.4871191548325386,0.0,
2023-07-12_13-00-25,2023-07-12_13-00-28,5,0.5,65.39313616071428,-24.114676339285722,4.005301339285714,-51.71735491071428,45.00016891479492,4.76074218767053e-05,0.00032958984377273737,-0.0019921874999795364,26002.4,29502.4,0.0,13368.0,1470.8,0.0,60.8,0.0,107.06521377179425,105.947911730246,0.0,48.21203169334393,21.731083728153088,0.0,9.134549797335389,0.0,
2023-07-12_13-00-28,2023-07-12_13-00-31,5,0.5,65.39313616071428,-24.114676339285722,4.005301339285714,-47.58147321428572,45.00016891479492,4.76074218767053e-05,0.00032958984377273737,-0.0019921874999795364,26029.2,29244.0,0.0,13418.0,1516.8,0.0,29.6,0.0,107.9659205490325,103.73620390201292,0.0,70.44714330616962,15.793669617919704,0.0,0.7483314773547882,0.0,
2023-07-12_13-00-32,2023-07-12_13-00-35,5,0.5,65.39313616071428,-24.114676339285722,4.005301339285714,-43.458147321428555,45.00016891479492,4.76074218767053e-05,0.00032958984377273737,-0.0019921874999795364,25891.2,29278.0,0.0,13364.4,1554.0,0.0,15.6,0.0,80.51981122680306,78.25087858931681,0.0,44.233019340759455,13.740451229854134,0.0,2.1354156504062627,0.0,
2023-07-12_13-00-35,2023-07-12_13-00-38,5,0.5,65.39313616071428,-24.114676339285722,4.005301339285714,-39.3046875,45.00016891479492,4.76074218767053e-05,0.00032958984377273737,-0.0019921874999795364,25873.2,29343.6,0.0,13536.0,1493.6,0.0,41.2,0.0,81.67888343996873,106.2099806986142,0.0,54.53439281774392,17.47455292704222,0.0,4.363484845854286,0.0,
2023-07-12_13-00-38,2023-07-12_13-00-41,5,0.5,65.39313616071428,-24.114676339285722,4.005301339285714,-35.168805803571445,45.00016891479492,4.76074218767053e-05,0.00032958984377273737,-0.0019921874999795364,25865.2,29464.8,0.0,13395.6,1405.2,0.0,81.6,0.0,108.30438587610382,119.11439879376464,0.0,32.68271714530479,35.93661085856595,0.0,5.455272678794342,0.0,
2023-07-12_13-00-41,2023-07-12_13-00-44,5,0.5,65.39313616071428,-24.114676339285722,4.005301339285714,-31.027901785714278,45.00016891479492,4.76074218767053e-05,0.00032958984377273737,-0.0019921874999795364,25844.0,29488.8,0.0,13488.4,1246.8,0.0,158.4,0.0,187.03047879957958,138.65439048223462,0.0,32.473989591671675,24.187600128991715,0.0,6.43117407632541,0.0,
2023-07-12_13-00-45,2023-07-12_13-00-48,5,0.5,65.39313616071428,-24.114676339285722,4.005301339285714,-26.899553571428555,45.00016891479492,4.76074218767053e-05,0.00032958984377273737,-0.0019921874999795364,25948.4,29574.0,0.0,13303.2,1063.2,0.0,259.6,0.0,108.4682442007798,168.6250277983669,0.0,96.69250229464537,17.04816705690087,0.0,7.11055553385247,0.0,
2023-07-12_13-00-48,2023-07-12_13-00-51,5,0.5,65.39313616071428,-24.114676339285722,4.005301339285714,-22.751116071428555,45.00016891479492,4.76074218767053e-05,0.00032958984377273737,-0.0019921874999795364,25814.0,29616.8,0.0,13169.6,851.2,0.0,350.8,0.0,95.09994742374992,33.260186409579845,0.0,50.85036873022653,10.190191362285596,0.0,4.17612260356422,0.0,
