start time (s),stop time (s),num samples (#),period per sample (s),C_UV_HWP position (deg),C_QP position (deg),C_PCC position (deg),B_C_HWP position (deg),B_HWP position (deg),B_QWP position (deg),A_HWP position (deg),A_QWP position (deg),A rate (#/s),B rate (#/s),A' rate (#/s),B' rate (#/s),C4 rate (#/s),C5 rate (#/s),C6 rate (#/s),C7 rate (#/s),A rate SEM (#/s),B rate SEM (#/s),A' rate SEM (#/s),B' rate SEM (#/s),C4 rate SEM (#/s),C5 rate SEM (#/s),C6 rate SEM (#/s),C7 rate SEM (#/s),note
2023-06-27_15-13-21,2023-06-27_15-13-36,5,3,45.007533482142854,0.0,4.000279017857142,0.007533482142857143,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,3565.533333333333,4392.266666666666,0.0,22685.4,13.933333333333332,0.0,8.4,0.0,17.588380002465016,18.14399196550879,0.0,48.45999495574773,0.4268749491621901,0.0,0.9568466729604884,0.0,
2023-06-27_15-13-37,2023-06-27_15-13-52,5,3,47.363002232142854,0.0,4.000279017857142,0.007533482142857143,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,4213.666666666666,5155.999999999999,0.0,22467.666666666668,56.666666666666664,0.0,7.4,0.0,6.774133810967255,13.192169394505646,0.0,77.7024953124274,2.0493901531919185,0.0,0.3231786571610887,0.0,
2023-06-27_15-13-52,2023-06-27_15-14-07,5,3,49.73353794642857,0.0,4.000279017857142,0.007533482142857143,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,5449.0,6464.666666666667,0.0,21916.2,141.99999999999997,0.0,7.8,0.0,23.16798557396726,24.230146512144675,0.0,49.46273569286537,2.35937844922485,0.0,0.6716480559869962,0.0,
2023-06-27_15-14-08,2023-06-27_15-14-23,5,3,52.09402901785714,0.0,4.000279017857142,0.007533482142857143,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,7311.6,8444.933333333334,0.0,21121.4,262.0,0.0,10.266666666666666,0.0,15.929497446212357,31.147391544076434,0.0,17.80087388616377,3.599382663118154,0.0,1.2400716825158848,0.0,
2023-06-27_15-14-23,2023-06-27_15-14-39,5,3,54.46707589285714,0.0,4.000279017857142,0.007533482142857143,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,9644.333333333334,11007.266666666666,0.0,20024.733333333334,419.0,0.0,10.666666666666668,0.0,16.72556260472123,29.343445226792507,0.0,35.79593397145686,4.515405728048015,0.0,0.43461349368017665,0.0,
2023-06-27_15-14-39,2023-06-27_15-14-54,5,3,56.837611607142854,0.0,4.000279017857142,0.007533482142857143,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,12469.733333333334,14025.466666666665,0.0,18809.466666666667,608.5333333333333,0.0,10.066666666666666,0.0,11.079209759224282,23.19544974534625,0.0,30.257340707118736,7.600877142365437,0.0,1.0821788720498617,0.0,
2023-06-27_15-14-55,2023-06-27_15-15-10,5,3,59.203125,0.0,4.000279017857142,0.007533482142857143,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,15652.4,17446.2,0.0,17366.466666666667,808.4,0.0,12.4,0.0,51.86868033794575,35.28827315443756,0.0,19.006899332143472,5.560175856531478,0.0,1.0974718422102885,0.0,
2023-06-27_15-15-10,2023-06-27_15-15-26,5,3,61.56361607142857,0.0,4.000279017857142,0.007533482142857143,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,19121.2,21211.86666666667,0.0,15786.333333333332,1033.4666666666667,0.0,11.4,0.0,24.728436172866438,17.981966274885046,0.0,30.478407657443793,3.6751417206233974,0.0,1.1897712198383161,0.0,
2023-06-27_15-15-26,2023-06-27_15-15-41,5,3,63.946707589285715,0.0,4.000279017857142,0.007533482142857143,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,22797.266666666666,25190.0,0.0,14182.06666666667,1283.0,0.0,13.6,0.0,15.784450858008773,52.620127116701056,0.0,19.788717324105225,10.735196525655425,0.0,1.161416759345623,0.0,
2023-06-27_15-15-42,2023-06-27_15-15-57,5,3,66.30719866071428,0.0,4.000279017857142,0.007533482142857143,45.0012141418457,9.33837890642053e-05,45.001939392089845,359.998984375,26615.333333333332,29419.6,0.0,12472.466666666665,1537.2666666666667,0.0,15.533333333333331,0.0,44.3219283575673,74.30899452062762,0.0,32.642610189750386,11.044556225680672,0.0,0.9043106644167024,0.0,
