start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-17_10-59-48,2023-07-17_11-00-14,5,5,-0.008109375000003638,-0.007533482142832781,3.995256696428571,-0.002511160714277594,0.0,0.0,0.0,-13.999481201171875,-0.0028481445312422693,5465.88,58843.0,0.0,713.6400000000001,107.72,0.0,0.0,0.0,13.314893916212853,42.6090131310266,0.0,4.923169710664062,1.7499714283381886,0.0,0.0,0.0,
2023-07-17_11-00-14,2023-07-17_11-00-39,5,5,-0.008109375000003638,-0.007533482142832781,3.995256696428571,-0.002511160714277594,0.0,0.0,0.0,-13.65411376953125,-0.0028481445312422693,5303.24,58766.0,0.0,712.08,99.4,0.0,0.0,0.0,12.947648435140705,35.124521349051534,0.0,3.2009998437988116,1.6037456157383578,0.0,0.0,0.0,
2023-07-17_11-00-40,2023-07-17_11-01-05,5,5,-0.008109375000003638,-0.007533482142832781,3.995256696428571,-0.002511160714277594,0.0,0.0,0.0,-13.309783935546875,-0.0028481445312422693,5164.6,58760.36,0.0,718.4,89.6,0.0,0.04,0.0,11.072849678379983,32.71607555927206,0.0,7.14226854717742,1.3870832707519756,0.0,0.04,0.0,
2023-07-17_11-01-06,2023-07-17_11-01-31,5,5,-0.008109375000003638,-0.007533482142832781,3.995256696428571,-0.002511160714277594,0.0,0.0,0.0,-12.964385986328125,-0.0028481445312422693,4991.839999999999,58763.48,0.0,716.6,76.04,0.0,0.0,0.0,16.300355824337093,83.31289456020623,0.0,4.572089237974252,1.8389127222356128,0.0,0.0,0.0,
2023-07-17_11-01-31,2023-07-17_11-01-57,5,5,-0.008109375000003638,-0.007533482142832781,3.995256696428571,-0.002511160714277594,0.0,0.0,0.0,-12.619537353515625,-0.0028481445312422693,4839.320000000001,58725.280000000006,0.0,713.7199999999999,68.72,0.0,0.04,0.0,8.965846306958381,45.692607717222884,0.0,5.153484258247045,2.700074073057995,0.0,0.04,0.0,
2023-07-17_11-01-57,2023-07-17_11-02-22,5,5,-0.008109375000003638,-0.007533482142832781,3.995256696428571,-0.002511160714277594,0.0,0.0,0.0,-12.274688720703125,-0.0028481445312422693,4737.719999999999,58785.840000000004,0.0,712.92,61.839999999999996,0.0,0.0,0.0,11.093529645698842,57.167277353394546,0.0,4.7110932913709025,1.337759320655252,0.0,0.0,0.0,
2023-07-17_11-02-23,2023-07-17_11-02-48,5,5,-0.008109375000003638,-0.007533482142832781,3.995256696428571,-0.002511160714277594,0.0,0.0,0.0,-11.929840087890625,-0.0028481445312422693,4630.4400000000005,58687.719999999994,0.0,724.5200000000001,56.08,0.0,0.0,0.0,13.27786127356362,60.41293239034149,0.0,5.184438253080079,1.2563439019631526,0.0,0.0,0.0,
2023-07-17_11-02-49,2023-07-17_11-03-14,5,5,-0.008109375000003638,-0.007533482142832781,3.995256696428571,-0.002511160714277594,0.0,0.0,0.0,-11.5849609375,-0.0028481445312422693,4530.4,58644.64,0.0,720.4800000000001,46.879999999999995,0.0,0.12000000000000002,0.0,6.282356245868233,34.81961516157262,0.0,7.659399454265313,1.1324310133513655,0.0,0.08000000000000002,0.0,
2023-07-17_11-03-14,2023-07-17_11-03-40,5,5,-0.008109375000003638,-0.007533482142832781,3.995256696428571,-0.002511160714277594,0.0,0.0,0.0,-11.2401123046875,-0.0028481445312422693,4444.64,58661.23999999999,0.0,722.9599999999999,42.440000000000005,0.0,0.0,0.0,8.22882737697176,26.22101447312794,0.0,4.624456724848881,1.6314410807626487,0.0,0.0,0.0,
2023-07-17_11-03-40,2023-07-17_11-04-05,5,5,-0.008109375000003638,-0.007533482142832781,3.995256696428571,-0.002511160714277594,0.0,0.0,0.0,-10.895263671875,-0.0028481445312422693,4382.68,58598.44,0.0,718.0,36.72,0.0,0.04,0.0,10.903320595121551,34.587593151302094,0.0,12.706376352052533,1.348480626483006,0.0,0.04,0.0,
