start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-06-04_14-59-10,2025-06-04_14-59-27,5,3,-0.037243303571415254,-0.002511160714277594,24.5,0.0,-128.24497767857142,6.168,-99.04000000000002,0.465,-4.999242675781261,13284.266666666668,58178.4,0.0,540.8000000000001,507.6666666666667,0.0,0.0,0.0,30.606898278365748,43.155841628528705,0.0,1.951068083554921,5.5317266743757285,0.0,0.0,0.0,
2025-06-04_14-59-28,2025-06-04_14-59-43,5,3,-0.037243303571415254,-0.002511160714277594,24.5,0.0,-128.24497767857142,6.168,-99.04000000000002,0.465,-4.309545410156261,13198.133333333335,58204.86666666666,0.0,522.4,499.8,0.0,0.0,0.0,26.61987561537004,32.97820829308774,0.0,5.482700064749113,6.01257940580506,0.0,0.0,0.0,
2025-06-04_14-59-44,2025-06-04_15-00-00,5,3,-0.037243303571415254,-0.002511160714277594,24.5,0.0,-128.24497767857142,6.168,-99.04000000000002,0.465,-3.619817626953136,13137.066666666666,58193.6,0.0,542.3333333333333,502.4,0.0,0.0,0.0,37.78144753417689,71.02655215559221,0.0,4.860269768461639,7.201388754955525,0.0,0.0,0.0,
2025-06-04_15-00-00,2025-06-04_15-00-16,5,3,-0.037243303571415254,-0.002511160714277594,24.5,0.0,-128.24497767857142,6.168,-99.04000000000002,0.465,-2.930639160156261,13084.2,58148.06666666667,0.0,537.4666666666667,490.1333333333333,0.0,0.2,0.0,13.115554802515069,32.77065082593789,0.0,2.9032548783888856,1.5867506980549253,0.0,0.0816496580927726,0.0,
2025-06-04_15-00-16,2025-06-04_15-00-32,5,3,-0.037243303571415254,-0.002511160714277594,24.5,0.0,-128.24497767857142,6.168,-99.04000000000002,0.465,-2.240911376953136,12991.066666666668,58230.93333333333,0.0,524.2666666666667,491.8666666666667,0.0,0.13333333333333333,0.0,36.218534236247464,32.939405648013974,0.0,5.727516428998206,7.433856483832746,0.0,0.0816496580927726,0.0,
2025-06-04_15-00-32,2025-06-04_15-00-48,5,3,-0.037243303571415254,-0.002511160714277594,24.5,0.0,-128.24497767857142,6.168,-99.04000000000002,0.465,-1.551732910156261,13022.266666666666,58146.4,0.0,526.1333333333334,491.7333333333334,0.0,0.0,0.0,39.68814544532022,64.58202364263477,0.0,6.1351446600711865,5.769074641762077,0.0,0.0,0.0,
2025-06-04_15-00-48,2025-06-04_15-01-04,5,3,-0.037243303571415254,-0.002511160714277594,24.5,0.0,-128.24497767857142,6.168,-99.04000000000002,0.465,-0.8620051269531359,13003.266666666666,58269.26666666668,0.0,529.5333333333333,488.8,0.0,0.06666666666666667,0.0,37.93377269809991,35.77932363810179,0.0,7.63078560103014,6.200895992605507,0.0,0.06666666666666667,0.0,
2025-06-04_15-01-04,2025-06-04_15-01-20,5,3,-0.037243303571415254,-0.002511160714277594,24.5,0.0,-128.24497767857142,6.168,-99.04000000000002,0.465,-0.17491145181656975,13007.866666666665,58301.6,0.0,546.9333333333333,503.7333333333333,0.0,0.0,0.0,36.15039572551175,62.222753965981966,0.0,5.427706698044756,4.426435736948332,0.0,0.0,0.0,
2025-06-04_15-01-20,2025-06-04_15-01-36,5,3,-0.037243303571415254,-0.002511160714277594,24.5,0.0,-128.24497767857142,6.168,-99.04000000000002,0.465,0.5148005361557006,13032.4,58299.4,0.0,535.8666666666667,513.1333333333333,0.0,0.06666666666666667,0.0,21.013064719095244,38.53272779224363,0.0,7.229261526755156,6.731022705849889,0.0,0.06666666666666667,0.0,
2025-06-04_15-01-36,2025-06-04_15-01-52,5,3,-0.037243303571415254,-0.002511160714277594,24.5,0.0,-128.24497767857142,6.168,-99.04000000000002,0.465,1.2034708137512207,13060.333333333334,58188.86666666666,0.0,547.6,501.6,0.0,0.0,0.0,42.417108707585214,74.71684325951377,0.0,7.076094340178848,3.4631392310060742,0.0,0.0,0.0,
2025-06-04_15-01-53,2025-06-04_15-02-08,5,3,-0.037243303571415254,-0.002511160714277594,24.5,0.0,-128.24497767857142,6.168,-99.04000000000002,0.465,1.8937035675048828,13140.933333333334,58192.46666666666,0.0,529.4666666666667,506.8,0.0,0.0,0.0,16.66079896710298,97.77892297309225,0.0,5.3505970591036744,3.349295116554795,0.0,0.0,0.0,
2025-06-04_15-02-09,2025-06-04_15-02-24,5,3,-0.037243303571415254,-0.002511160714277594,24.5,0.0,-128.24497767857142,6.168,-99.04000000000002,0.465,2.5839365596771238,13286.0,58185.066666666666,0.0,537.5333333333333,514.2666666666667,0.0,0.0,0.0,27.773288526128084,33.598677222639424,0.0,5.498080473118666,5.907057925340947,0.0,0.0,0.0,
2025-06-04_15-02-25,2025-06-04_15-02-40,5,3,-0.037243303571415254,-0.002511160714277594,24.5,0.0,-128.24497767857142,6.168,-99.04000000000002,0.465,3.273127662658691,13362.6,58257.6,0.0,529.9333333333333,530.1333333333334,0.0,0.06666666666666667,0.0,26.29034465772988,102.07276271801749,0.0,4.640881142388572,8.595606112685976,0.0,0.06666666666666667,0.0,
2025-06-04_15-02-41,2025-06-04_15-02-56,5,3,-0.037243303571415254,-0.002511160714277594,24.5,0.0,-128.24497767857142,6.168,-99.04000000000002,0.465,3.9628401870727537,13499.933333333334,58119.53333333334,0.0,540.5999999999999,537.2666666666667,0.0,0.13333333333333333,0.0,36.33064210216444,27.829760249695568,0.0,4.170531540863037,2.4458581770458774,0.0,0.0816496580927726,0.0,
2025-06-04_15-02-57,2025-06-04_15-03-12,5,3,-0.037243303571415254,-0.002511160714277594,24.5,0.0,-128.24497767857142,6.168,-99.04000000000002,0.465,4.6525517578125,13657.4,58185.46666666666,0.0,537.2,533.3333333333333,0.0,0.13333333333333333,0.0,23.267382988018056,53.55605578374083,0.0,5.942876220970598,4.511713150850298,0.0,0.0816496580927726,0.0,
2025-06-04_15-03-13,2025-06-04_15-03-28,5,3,-0.037243303571415254,-0.002511160714277594,24.5,0.0,-128.24497767857142,6.168,-99.04000000000002,0.465,5.343305694580078,13851.8,58151.53333333334,0.0,529.0,549.2,0.0,0.0,0.0,44.38275440854124,101.78575538846322,0.0,4.440970864824742,2.617462723920076,0.0,0.0,0.0,
2025-06-04_15-03-29,2025-06-04_15-03-44,5,3,-0.037243303571415254,-0.002511160714277594,24.5,0.0,-128.24497767857142,6.168,-99.04000000000002,0.465,6.031454669952392,14027.0,58093.333333333336,0.0,527.4,558.8,0.0,0.06666666666666667,0.0,26.466120901173824,61.7712626460627,0.0,6.2337789502034795,7.297335891344941,0.0,0.06666666666666667,0.0,
2025-06-04_15-03-45,2025-06-04_15-04-00,5,3,-0.037243303571415254,-0.002511160714277594,24.5,0.0,-128.24497767857142,6.168,-99.04000000000002,0.465,6.722729312896728,14238.733333333334,58190.866666666676,0.0,541.6,578.1333333333334,0.0,0.13333333333333333,0.0,20.847168739290286,60.17849375907564,0.0,8.577360381324254,3.523886743040684,0.0,0.13333333333333333,0.0,
2025-06-04_15-04-01,2025-06-04_15-04-16,5,3,-0.037243303571415254,-0.002511160714277594,24.5,0.0,-128.24497767857142,6.168,-99.04000000000002,0.465,7.412441837310791,14423.6,58136.533333333326,0.0,539.8666666666667,598.0,0.0,0.0,0.0,39.029105948139645,19.164376674792535,0.0,7.117739965903654,7.489251557324585,0.0,0.0,0.0,
2025-06-04_15-04-17,2025-06-04_15-04-32,5,3,-0.037243303571415254,-0.002511160714277594,24.5,0.0,-128.24497767857142,6.168,-99.04000000000002,0.465,8.10163222503662,14639.0,58094.866666666676,0.0,533.4,604.3333333333333,0.0,0.06666666666666667,0.0,33.092127294703786,59.768404882698746,0.0,3.106266068592465,5.940445175985463,0.0,0.06666666666666667,0.0,
2025-06-04_15-04-33,2025-06-04_15-04-48,5,3,-0.037243303571415254,-0.002511160714277594,24.5,0.0,-128.24497767857142,6.168,-99.04000000000002,0.465,8.791344749450683,14938.466666666665,58215.93333333333,0.0,530.2666666666667,632.1333333333333,0.0,0.0,0.0,26.9539937259358,39.935837428444295,0.0,5.222174940684307,5.213870390069594,0.0,0.0,0.0,
2025-06-04_15-04-49,2025-06-04_15-05-04,5,3,-0.037243303571415254,-0.002511160714277594,24.5,0.0,-128.24497767857142,6.168,-99.04000000000002,0.465,9.481577026367187,15192.466666666665,58120.8,0.0,533.8666666666666,643.4666666666667,0.0,0.0,0.0,19.094676395966058,77.77364592199584,0.0,7.205399210160239,3.5301872786329875,0.0,0.0,0.0,
2025-06-04_15-05-05,2025-06-04_15-05-20,5,3,-0.037243303571415254,-0.002511160714277594,24.5,0.0,-128.24497767857142,6.168,-99.04000000000002,0.465,10.170768844604492,15433.8,58057.666666666664,0.0,540.8,663.3333333333333,0.0,0.06666666666666667,0.0,62.15854281146261,49.62873271715804,0.0,6.7877340352531,10.18386523433569,0.0,0.06666666666666667,0.0,
2025-06-04_15-05-21,2025-06-04_15-05-36,5,3,-0.037243303571415254,-0.002511160714277594,24.5,0.0,-128.24497767857142,6.168,-99.04000000000002,0.465,10.860481369018554,15759.4,58137.0,0.0,542.8,695.4666666666667,0.0,0.06666666666666667,0.0,39.368825794585966,71.10922740560642,0.0,4.346901834129159,4.710036565085716,0.0,0.06666666666666667,0.0,
2025-06-04_15-05-37,2025-06-04_15-05-52,5,3,-0.037243303571415254,-0.002511160714277594,24.5,0.0,-128.24497767857142,6.168,-99.04000000000002,0.465,11.551235305786133,16009.0,58171.8,0.0,529.7333333333333,716.9333333333333,0.0,0.0,0.0,34.69694190815348,94.73053010161671,0.0,8.599353980903972,4.7133380480881675,0.0,0.0,0.0,
