start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-17_09-00-50,2023-07-17_09-00-55,5,1,-0.017578125,-0.007533482142832781,0.002511160714285714,-0.005022321428555188,0.002511160714285714,0.0,0.0,0.0,-45.00213623046875,25557.4,58747.0,0.0,699.0,1630.0,0.0,0.0,0.0,59.687184554140266,98.31225762843614,0.0,14.296852800529212,19.180719485983836,0.0,0.0,0.0,
2023-07-17_09-00-57,2023-07-17_09-01-02,5,1,-0.017578125,-0.007533482142832781,0.002511160714285714,-0.005022321428555188,0.002511160714285714,0.0,0.0,0.0,-40.266357421875,22818.8,58556.8,0.0,731.6,1406.6,0.0,0.2,0.0,78.82537662453633,145.52985947907737,0.0,6.5848310532617305,13.178011989674314,0.0,0.20000000000000004,0.0,
2023-07-17_09-01-03,2023-07-17_09-01-08,5,1,-0.017578125,-0.007533482142832781,0.002511160714285714,-0.005022321428555188,0.002511160714285714,0.0,0.0,0.0,-35.525909423828125,19422.0,58796.2,0.0,712.0,1169.6,0.0,0.0,0.0,37.15238888685356,168.40083135186714,0.0,14.103191128251789,10.842508934743838,0.0,0.0,0.0,
2023-07-17_09-01-10,2023-07-17_09-01-15,5,1,-0.017578125,-0.007533482142832781,0.002511160714285714,-0.005022321428555188,0.002511160714285714,0.0,0.0,0.0,-30.788543701171875,15567.0,58639.2,0.0,731.8,854.6,0.0,0.0,0.0,40.96950085124299,90.11514856005064,0.0,8.095677859203636,17.142345230451987,0.0,0.0,0.0,
2023-07-17_09-01-16,2023-07-17_09-01-21,5,1,-0.017578125,-0.007533482142832781,0.002511160714285714,-0.005022321428555188,0.002511160714285714,0.0,0.0,0.0,-26.055389404296875,11920.2,58703.6,0.0,732.2,610.4,0.0,0.0,0.0,47.367077173919014,75.37413349419018,0.0,6.952697318307478,8.494704232638119,0.0,0.0,0.0,
2023-07-17_09-01-23,2023-07-17_09-01-28,5,1,-0.017578125,-0.007533482142832781,0.002511160714285714,-0.005022321428555188,0.002511160714285714,0.0,0.0,0.0,-21.319091796875,8678.0,58559.8,0.0,730.0,337.8,0.0,0.0,0.0,75.43739125924226,130.7797384918627,0.0,14.855975228843107,8.16945530620004,0.0,0.0,0.0,
2023-07-17_09-01-30,2023-07-17_09-01-35,5,1,-0.017578125,-0.007533482142832781,0.002511160714285714,-0.005022321428555188,0.002511160714285714,0.0,0.0,0.0,-16.57861328125,6133.6,58589.0,0.0,720.2,138.6,0.0,0.0,0.0,38.084905146264965,172.45985040002788,0.0,10.350845376103344,1.8055470085267786,0.0,0.0,0.0,
2023-07-17_09-01-36,2023-07-17_09-01-42,5,1,-0.017578125,-0.007533482142832781,0.002511160714285714,-0.005022321428555188,0.002511160714285714,0.0,0.0,0.0,-11.84075927734375,4678.4,58778.0,0.0,721.4,35.8,0.0,0.0,0.0,20.761984490891038,88.5465979018957,0.0,13.101908257959982,2.853068523537421,0.0,0.0,0.0,
2023-07-17_09-01-43,2023-07-17_09-01-48,5,1,-0.017578125,-0.007533482142832781,0.002511160714285714,-0.005022321428555188,0.002511160714285714,0.0,0.0,0.0,-7.10809326171875,4461.6,58757.6,0.0,730.6,19.8,0.0,0.0,0.0,34.78016676210739,68.48109228100849,0.0,6.637770710110435,2.517935662402834,0.0,0.0,0.0,
2023-07-17_09-01-50,2023-07-17_09-01-55,5,1,-0.017578125,-0.007533482142832781,0.002511160714285714,-0.005022321428555188,0.002511160714285714,0.0,0.0,0.0,-2.3702392578125,5534.4,58733.4,0.0,707.8,107.2,0.0,0.0,0.0,12.010828447696687,91.80555538746007,0.0,9.286549412995118,3.1999999999999997,0.0,0.0,0.0,
