start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-06-04_16-48-24,2025-06-04_16-48-40,5,3,-0.02658928571429442,-0.002511160714277594,4.006417410714285,-0.002511160714277594,-0.007533482142889625,6.168,0.0019815673828134095,45.00219741821289,-0.0010595703125204636,52443.66666666667,5429.133333333333,0.0,557.8,7.266666666666666,0.0,0.2,0.0,83.56208603321416,15.479951191424599,0.0,3.56619934633187,0.2211083193570266,0.0,0.0816496580927726,0.0,
2025-06-04_16-48-40,2025-06-04_16-48-56,5,3,-0.02658928571429442,-0.002511160714277594,4.006417410714285,1.1049107142857142,-0.007533482142889625,6.168,0.0019815673828134095,45.00219741821289,-0.0010595703125204636,52377.600000000006,5621.333333333333,0.0,559.6000000000001,16.4,0.0,0.26666666666666666,0.0,45.01584906082189,32.023602406835906,0.0,7.377443098165284,0.5906681715556448,0.0,0.19436506316151003,0.0,
2025-06-04_16-48-56,2025-06-04_16-49-12,5,3,-0.02658928571429442,-0.002511160714277594,4.006417410714285,2.21484375,-0.007533482142889625,6.168,0.0019815673828134095,45.00219741821289,-0.0010595703125204636,52378.33333333333,5908.2,0.0,545.0666666666667,36.0,0.0,0.13333333333333333,0.0,94.43633952151185,11.53092460396047,0.0,2.6233989826601416,0.649786289653931,0.0,0.0816496580927726,0.0,
2025-06-04_16-49-12,2025-06-04_16-49-27,5,3,-0.02658928571429442,-0.002511160714277594,4.006417410714285,3.3247767857142856,-0.007533482142889625,6.168,0.0019815673828134095,45.00219741821289,-0.0010595703125204636,52399.6,6428.4,0.0,553.3333333333333,64.53333333333333,0.0,0.26666666666666666,0.0,39.33451975611826,22.718665845022116,0.0,4.6127841676993535,2.5068794235950898,0.0,0.12472191289246469,0.0,
2025-06-04_16-49-28,2025-06-04_16-49-43,5,3,-0.02658928571429442,-0.002511160714277594,4.006417410714285,4.439732142857142,-0.007533482142889625,6.168,0.0019815673828134095,45.00219741821289,-0.0010595703125204636,52283.4,7035.733333333333,0.0,567.5333333333334,102.93333333333335,0.0,0.26666666666666666,0.0,77.69158398579724,12.974504914553725,0.0,5.934456822471447,1.2445436468396296,0.0,0.12472191289246469,0.0,
2025-06-04_16-49-44,2025-06-04_16-49-59,5,3,-0.02658928571429442,-0.002511160714277594,4.006417410714285,5.552176339285714,-0.007533482142889625,6.168,0.0019815673828134095,45.00219741821289,-0.0010595703125204636,52337.26666666667,7798.533333333333,0.0,550.0666666666666,158.8,0.0,0.13333333333333333,0.0,30.73026015003563,19.788492727957944,0.0,7.229107828771127,4.029888335921976,0.0,0.0816496580927726,0.0,
2025-06-04_16-50-00,2025-06-04_16-50-15,5,3,-0.02658928571429442,-0.002511160714277594,4.006417410714285,6.657087053571429,-0.007533482142889625,6.168,0.0019815673828134095,45.00219741821289,-0.0010595703125204636,52276.53333333333,8657.066666666668,0.0,574.8666666666667,208.26666666666665,0.0,0.39999999999999997,0.0,16.295057191948683,19.076570854206466,0.0,6.8812143631128935,3.1874754901018454,0.0,0.12472191289246469,0.0,
2025-06-04_16-50-15,2025-06-04_16-50-31,5,3,-0.02658928571429442,-0.002511160714277594,4.006417410714285,7.774553571428571,-0.007533482142889625,6.168,0.0019815673828134095,45.00219741821289,-0.0010595703125204636,52224.4,9715.6,0.0,555.8666666666667,273.6,0.0,0.2,0.0,76.7247171530942,38.11261091963017,0.0,6.215214307559232,2.587147721590965,0.0,0.13333333333333333,0.0,
2025-06-04_16-50-31,2025-06-04_16-50-47,5,3,-0.02658928571429442,-0.002511160714277594,4.006417410714285,8.881975446428571,-0.007533482142889625,6.168,0.0019815673828134095,45.00219741821289,-0.0010595703125204636,52329.13333333333,10923.0,0.0,557.4,351.0,0.0,0.2,0.0,44.58706837937018,18.987422737755157,0.0,5.01486678675405,3.181543999730663,0.0,0.20000000000000004,0.0,
2025-06-04_16-50-47,2025-06-04_16-51-03,5,3,-0.02658928571429442,-0.002511160714277594,4.006417410714285,10.001953125,-0.007533482142889625,6.168,0.0019815673828134095,45.00219741821289,-0.0010595703125204636,52368.6,12220.133333333335,0.0,558.2,447.6,0.0,0.3333333333333333,0.0,55.58590948552805,12.03125559162926,0.0,7.288194411359896,6.607571414672716,0.0,0.14907119849998596,0.0,
