start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-04-06_15-30-40,2025-04-06_15-30-55,5,3,-0.002087053571415254,-0.005022321428555188,4.013950892857142,-12.001752232142849,7.832587678571429,6.168,0.0022363281249937472,45.0024755859375,-0.0019624953270067635,94644.99999999999,51738.533333333326,0.0,2409.0,2599.4666666666662,0.0,27.333333333333332,0.0,396.30404994145664,43.84918598002861,0.0,5.220685353050519,8.180328708418571,0.0,0.6912147117775906,0.0,
2025-04-06_15-30-56,2025-04-06_15-31-11,5,3,-0.002087053571415254,-0.005022321428555188,4.013950892857142,-10.962131696428571,7.832587678571429,6.168,0.0022363281249937472,45.0024755859375,-0.0019624953270067635,94667.26666666666,51973.00000000001,0.0,2271.8,2637.3333333333335,0.0,23.4,0.0,175.65187793537015,57.791579548120026,0.0,15.365401249415987,14.528516021183242,0.0,0.5206833117271102,0.0,
2025-04-06_15-31-12,2025-04-06_15-31-27,5,3,-0.002087053571415254,-0.005022321428555188,4.013950892857142,-9.920000000000016,7.832587678571429,6.168,0.0022363281249937472,45.0024755859375,-0.0019624953270067635,94751.46666666666,52169.86666666667,0.0,2188.666666666667,2648.733333333333,0.0,19.53333333333333,0.0,139.70407613555514,70.09680607718305,0.0,5.3499740393969955,18.80112289790751,0.0,0.7571877794400369,0.0,
2025-04-06_15-31-28,2025-04-06_15-31-43,5,3,-0.002087053571415254,-0.005022321428555188,4.013950892857142,-8.875357142857126,7.832587678571429,6.168,0.0022363281249937472,45.0024755859375,-0.0019624953270067635,94883.0,52281.86666666667,0.0,2174.4666666666662,2629.6666666666665,0.0,15.6,0.0,127.14029870798582,29.563415830304788,0.0,7.392638981521439,11.35928401499554,0.0,0.9273618495495705,0.0,
2025-04-06_15-31-43,2025-04-06_15-31-58,5,3,-0.002087053571415254,-0.005022321428555188,4.013950892857142,-7.823180803571404,7.832587678571429,6.168,0.0022363281249937472,45.0024755859375,-0.0019624953270067635,94407.33333333334,52197.13333333333,0.0,2200.733333333333,2630.0,0.0,18.199999999999996,0.0,134.31683107902478,42.678722255162306,0.0,10.608906111795378,15.359398136356514,0.0,0.7788880963698617,0.0,
2025-04-06_15-31-59,2025-04-06_15-32-14,5,3,-0.002087053571415254,-0.005022321428555188,4.013950892857142,-6.788582589285738,7.832587678571429,6.168,0.0022363281249937472,45.0024755859375,-0.0019624953270067635,94499.86666666667,52038.00000000001,0.0,2325.266666666667,2639.6000000000004,0.0,26.2,0.0,109.94567345335385,36.74824258836569,0.0,8.313576580242405,13.172952086251057,0.0,1.339983416149452,0.0,
2025-04-06_15-32-15,2025-04-06_15-32-30,5,3,-0.002087053571415254,-0.005022321428555188,4.013950892857142,-5.746450892857126,7.832587678571429,6.168,0.0022363281249937472,45.0024755859375,-0.0019624953270067635,95033.86666666667,51555.066666666666,0.0,2462.733333333333,2587.6000000000004,0.0,32.800000000000004,0.0,219.13880938295347,33.94970135689248,0.0,13.128594745821092,13.333916653906787,0.0,1.2498888839501778,0.0,
2025-04-06_15-32-31,2025-04-06_15-32-46,5,3,-0.002087053571415254,-0.005022321428555188,4.013950892857142,-4.691763392857126,7.832587678571429,6.168,0.0022363281249937472,45.0024755859375,-0.0019624953270067635,205402.2,97983.53333333334,0.0,20320.0,2690.666666666667,0.0,68.33333333333333,0.0,8783.86184722364,3214.665233305361,0.0,2856.3157193995357,14.627979278689809,0.0,5.7310072800899885,0.0,
2025-04-06_15-32-46,2025-04-06_15-33-02,5,3,-0.002087053571415254,-0.005022321428555188,4.013950892857142,-3.6546540178571263,7.832587678571429,6.168,0.0022363281249937472,45.0024755859375,-0.0019624953270067635,129254.53333333335,67190.86666666667,0.0,9484.466666666667,2580.9333333333334,0.0,68.73333333333333,0.0,15790.054907229845,6868.302142289445,0.0,2961.432109638848,13.194443274853738,0.0,2.70472837001344,0.0,
2025-04-06_15-33-03,2025-04-06_15-33-18,5,3,-0.002087053571415254,-0.005022321428555188,4.013950892857142,-2.6100111607142935,7.832587678571429,6.168,0.0022363281249937472,45.0024755859375,-0.0019624953270067635,160010.66666666666,82090.93333333333,0.0,13453.6,2557.9333333333334,0.0,90.53333333333333,0.0,37292.04016900479,18755.00609004907,0.0,5729.512210573524,44.26465858899171,0.0,7.325450308494502,0.0,
2025-04-06_15-33-19,2025-04-06_15-33-34,5,3,-0.002087053571415254,-0.005022321428555188,4.013950892857142,-1.5653683035714039,7.832587678571429,6.168,0.0022363281249937472,45.0024755859375,-0.0019624953270067635,98350.33333333334,48979.26666666666,0.0,3703.8666666666672,2452.2666666666664,0.0,105.93333333333335,0.0,108.038933311613,42.50181695462468,0.0,17.69890140972347,17.852917595358655,0.0,2.232089205704427,0.0,
2025-04-06_15-33-34,2025-04-06_15-33-49,5,3,-0.002087053571415254,-0.005022321428555188,4.013950892857142,-0.5207254464285711,7.832587678571429,6.168,0.0022363281249937472,45.0024755859375,-0.0019624953270067635,98535.13333333333,48251.26666666667,0.0,4142.133333333333,2430.133333333333,0.0,129.0,0.0,50.413688617280364,69.1922763833584,0.0,29.578633429480092,9.890848744616877,0.0,1.0903618155864063,0.0,
