start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-04-09_16-22-27,2025-04-09_16-22-42,5,3,-0.019665178571415254,-0.005022321428555188,4.008928571428573,-4.999720982142833,-31.00799999999998,6.168,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,55442.53333333334,11214.933333333332,0.0,22348.666666666668,342.53333333333336,0.0,1250.4,0.0,53.72011830879584,18.49155963616333,0.0,42.03345228637639,3.113768706175129,0.0,6.1593650466405725,0.0,
2025-04-09_16-22-43,2025-04-09_16-22-58,5,3,-0.019665178571415254,-0.005022321428555188,4.008928571428573,-3.8872767857142776,-31.00799999999998,6.168,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,55506.666666666664,10012.8,0.0,22905.73333333333,282.6,0.0,1290.8,0.0,42.79823464687429,28.27771010688263,0.0,61.060571020367426,5.330624311987814,0.0,7.467410677217528,0.0,
2025-04-09_16-22-58,2025-04-09_16-23-13,5,3,-0.019665178571415254,-0.005022321428555188,4.008928571428573,-2.77734375,-31.00799999999998,6.168,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,55410.6,8908.866666666665,0.0,23491.0,215.2,0.0,1327.5333333333333,0.0,42.20655557296019,31.777455320819318,0.0,73.53819869065777,4.230313883809991,0.0,10.58122026149264,0.0,
2025-04-09_16-23-14,2025-04-09_16-23-29,5,3,-0.019665178571415254,-0.005022321428555188,4.008928571428573,-1.669921875,-31.00799999999998,6.168,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,55505.33333333333,7893.0,0.0,23892.733333333334,167.0,0.0,1344.6,0.0,100.71996381607339,27.500909075883264,0.0,35.92281849867668,1.8469193569593434,0.0,7.583168496376968,0.0,
2025-04-09_16-23-29,2025-04-09_16-23-44,5,3,-0.019665178571415254,-0.005022321428555188,4.008928571428573,-0.5599888392857224,-31.00799999999998,6.168,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,55478.0,7094.733333333333,0.0,24328.06666666667,121.4,0.0,1368.3333333333333,0.0,62.89214754023228,18.515278975904003,0.0,28.799961419726863,3.2971368050341976,0.0,8.790777996160406,0.0,
2025-04-09_16-23-45,2025-04-09_16-24-01,5,3,-0.019665178571415254,-0.005022321428555188,4.008928571428573,0.5524553571428571,-31.00799999999998,6.168,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,55510.4,6394.0,0.0,24612.466666666667,81.06666666666668,0.0,1390.2666666666667,0.0,63.64462096499423,16.885562537926422,0.0,27.048433924679976,2.0011108026404836,0.0,5.685654462475389,0.0,
2025-04-09_16-24-01,2025-04-09_16-24-16,5,3,-0.019665178571415254,-0.005022321428555188,4.008928571428573,1.6623883928571428,-31.00799999999998,6.168,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,55528.333333333336,5835.466666666667,0.0,24861.73333333333,50.06666666666666,0.0,1398.3333333333333,0.0,79.69148846227802,16.023108312683952,0.0,41.77391530608544,1.664665465224503,0.0,8.321324680869282,0.0,
2025-04-09_16-24-17,2025-04-09_16-24-32,5,3,-0.019665178571415254,-0.005022321428555188,4.008928571428573,2.7723214285714284,-31.00799999999998,6.168,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,55420.93333333333,5459.4,0.0,25033.0,27.06666666666667,0.0,1401.9333333333332,0.0,55.471353968611766,17.754310900611028,0.0,29.40143609493301,0.8906926143924921,0.0,9.121647024767208,0.0,
2025-04-09_16-24-32,2025-04-09_16-24-48,5,3,-0.019665178571415254,-0.005022321428555188,4.008928571428573,3.884765625,-31.00799999999998,6.168,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,55525.6,5154.733333333333,0.0,25165.266666666666,12.799999999999999,0.0,1432.7333333333333,0.0,81.82198835140701,30.62885349905648,0.0,56.067459368157536,0.687992248018343,0.0,7.381207368867382,0.0,
2025-04-09_16-24-48,2025-04-09_16-25-03,5,3,-0.019665178571415254,-0.005022321428555188,4.008928571428573,5.004743303571429,-31.00799999999998,6.168,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,55397.06666666667,5088.133333333333,0.0,25130.866666666665,6.7333333333333325,0.0,1417.6,0.0,22.288611940231142,11.667428546551633,0.0,32.05439820749198,1.0923979738782625,0.0,14.841158984392017,0.0,
