start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-18_12-25-03,2023-07-18_12-25-09,5,1,-0.007671875000028194,-0.007533482142832781,3.995256696428571,-0.010020089285717404,-20.008928571428555,0.00012231445310817435,0.0019770507812495453,45.00192086791992,-0.003549804687509095,47329.6,18964.2,0.0,17487.0,837.8,0.0,1010.0,0.0,71.27524114305051,23.37819496881656,0.0,54.287199227810596,22.055384830013736,0.0,18.753666308218243,0.0,
2023-07-18_12-25-09,2023-07-18_12-25-15,5,1,-0.007671875000028194,-0.007533482142832781,3.995256696428571,-0.010020089285717404,-17.899553571428555,0.00012231445310817435,0.0019770507812495453,45.00192086791992,-0.003549804687509095,47622.6,17154.8,0.0,18371.2,757.8,0.0,1066.2,0.0,112.4755973533815,66.44125224587506,0.0,97.57171721354503,13.976408694654003,0.0,14.350609743143318,0.0,
2023-07-18_12-25-15,2023-07-18_12-25-20,5,1,-0.007671875000028194,-0.007533482142832781,3.995256696428571,-0.010020089285717404,-15.790178571428555,0.00012231445310817435,0.0019770507812495453,45.00192086791992,-0.003549804687509095,47655.2,15443.2,0.0,19181.6,645.2,0.0,1091.8,0.0,67.26767425740242,86.96459049521246,0.0,76.07601461696058,11.655041827466771,0.0,18.339574695177642,0.0,
2023-07-18_12-25-21,2023-07-18_12-25-26,5,1,-0.007671875000028194,-0.007533482142832781,3.995256696428571,-0.010020089285717404,-13.678292410714278,0.00012231445310817435,0.0019770507812495453,45.00192086791992,-0.003549804687509095,47480.0,13492.0,0.0,20060.0,510.0,0.0,1192.2,0.0,68.51642138932826,69.95927386701493,0.0,75.64786844320201,3.7682887362833544,0.0,15.602563891873666,0.0,
2023-07-18_12-25-27,2023-07-18_12-25-32,5,1,-0.007671875000028194,-0.007533482142832781,3.995256696428571,-0.010020089285717404,-11.576450892857167,0.00012231445310817435,0.0019770507812495453,45.00192086791992,-0.003549804687509095,47593.4,11617.2,0.0,21012.0,386.2,0.0,1229.4,0.0,82.41698853998489,45.335857772849074,0.0,54.01110996822783,7.095068710026704,0.0,11.578428218026831,0.0,
2023-07-18_12-25-32,2023-07-18_12-25-38,5,1,-0.007671875000028194,-0.007533482142832781,3.995256696428571,-0.010020089285717404,-9.467075892857167,0.00012231445310817435,0.0019770507812495453,45.00192086791992,-0.003549804687509095,47593.4,9588.6,0.0,21933.4,281.2,0.0,1277.2,0.0,91.98673817458689,51.37178213766775,0.0,79.8564962917858,4.6303347611160905,0.0,20.516822366048793,0.0,
2023-07-18_12-25-38,2023-07-18_12-25-43,5,1,-0.007671875000028194,-0.007533482142832781,3.995256696428571,-0.010020089285717404,-7.370256696428555,0.00012231445310817435,0.0019770507812495453,45.00192086791992,-0.003549804687509095,47560.0,7981.8,0.0,22568.2,190.4,0.0,1311.8,0.0,84.8363129797612,26.6896983872055,0.0,25.634742050584396,7.6,0.0,18.461852561430554,0.0,
2023-07-18_12-25-44,2023-07-18_12-25-49,5,1,-0.007671875000028194,-0.007533482142832781,3.995256696428571,-0.010020089285717404,-5.255859375,0.00012231445310817435,0.0019770507812495453,45.00192086791992,-0.003549804687509095,47429.0,6469.4,0.0,23317.2,91.2,0.0,1344.6,0.0,61.5824650367294,54.09306794775093,0.0,60.78519556602577,7.1860976892886725,0.0,22.32173828356564,0.0,
2023-07-18_12-25-49,2023-07-18_12-25-55,5,1,-0.007671875000028194,-0.007533482142832781,3.995256696428571,-0.010020089285717404,-3.151506696428555,0.00012231445310817435,0.0019770507812495453,45.00192086791992,-0.003549804687509095,47671.2,5410.6,0.0,23849.2,46.4,0.0,1397.6,0.0,69.93311089891539,24.963172875257666,0.0,150.29151672666023,2.2934689882359427,0.0,30.588559953028184,0.0,
2023-07-18_12-25-55,2023-07-18_12-26-01,5,1,-0.007671875000028194,-0.007533482142832781,3.995256696428571,-0.010020089285717404,-1.0471540178571672,0.00012231445310817435,0.0019770507812495453,45.00192086791992,-0.003549804687509095,47608.8,4772.6,0.0,24093.8,12.6,0.0,1393.0,0.0,18.056577748842663,29.91253917673991,0.0,23.806301686738323,0.9273618495495702,0.0,10.261578825892242,0.0,
2023-07-18_12-26-02,2023-07-18_12-26-07,5,1,-0.007671875000028194,-0.007533482142832781,3.995256696428571,-0.010020089285717404,1.0471540178571428,0.00012231445310817435,0.0019770507812495453,45.00192086791992,-0.003549804687509095,47417.2,4900.0,0.0,23999.2,20.2,0.0,1375.0,0.0,44.20113120724401,38.26878623630491,0.0,83.48975985113383,2.2671568097509267,0.0,28.121166405396487,0.0,
2023-07-18_12-26-08,2023-07-18_12-26-13,5,1,-0.007671875000028194,-0.007533482142832781,3.995256696428571,-0.010020089285717404,3.1489955357142856,0.00012231445310817435,0.0019770507812495453,45.00192086791992,-0.003549804687509095,47583.2,4554.8,0.0,24272.0,5.6,0.0,1435.8,0.0,56.92047083431408,36.80407586124124,0.0,90.38030758965141,1.1224972160321824,0.0,19.103402838238008,0.0,
