start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-20_10-49-00,2023-07-20_10-49-16,5,3,-0.012694196428583382,-0.007533482142832781,3.997767857142857,0.002535714285714294,-2.0013950892857224,0.0006411132812331743,0.0019770507812495453,45.00244348144531,-0.002512207031259095,49211.99999999999,25461.533333333333,0.0,14716.466666666665,1431.4,0.0,813.4666666666667,0.0,34.12086360767128,30.669673765609204,0.0,31.397558291476383,5.269830273463402,0.0,5.701461800860091,0.0,
2023-07-20_10-49-16,2023-07-20_10-49-31,5,3,-0.012694196428583382,-0.007533482142832781,3.997767857142857,0.002535714285714294,-1.7201450892857224,0.0006411132812331743,0.0019770507812495453,45.00244348144531,-0.002512207031259095,49190.73333333333,25483.333333333332,0.0,14642.466666666665,1430.4,0.0,828.4,0.0,72.59923476792979,29.298464123568127,0.0,29.500018832385614,10.121703853052084,0.0,5.255050480780894,0.0,
2023-07-20_10-49-32,2023-07-20_10-49-47,5,3,-0.012694196428583382,-0.007533482142832781,3.997767857142857,0.002535714285714294,-1.4288504464285552,0.0006411132812331743,0.0019770507812495453,45.00244348144531,-0.002512207031259095,49223.40000000001,25526.8,0.0,14649.866666666669,1413.5333333333333,0.0,825.2666666666668,0.0,83.30822288345826,40.63531578428888,0.0,18.434448429201602,12.329548968951707,0.0,3.993606000707738,0.0,
2023-07-20_10-49-48,2023-07-20_10-50-03,5,3,-0.012694196428583382,-0.007533482142832781,3.997767857142857,0.002535714285714294,-1.1400669642857224,0.0006411132812331743,0.0019770507812495453,45.00244348144531,-0.002512207031259095,49137.333333333336,25498.800000000003,0.0,14676.0,1417.5333333333333,0.0,821.6666666666666,0.0,77.60677232762029,43.58027076556546,0.0,24.141251003210275,10.906980435584439,0.0,10.549881515922339,0.0,
2023-07-20_10-50-04,2023-07-20_10-50-19,5,3,-0.012694196428583382,-0.007533482142832781,3.997767857142857,0.002535714285714294,-0.8563058035714448,0.0006411132812331743,0.0019770507812495453,45.00244348144531,-0.002512207031259095,49281.73333333333,25593.666666666664,0.0,14611.866666666665,1430.6666666666665,0.0,812.4000000000001,0.0,52.33337579616116,20.411053650194276,0.0,36.32547315589984,10.822302075908913,0.0,6.925315877272313,0.0,
2023-07-20_10-50-19,2023-07-20_10-50-35,5,3,-0.012694196428583382,-0.007533482142832781,3.997767857142857,0.002535714285714294,-0.5750558035714448,0.0006411132812331743,0.0019770507812495453,45.00244348144531,-0.002512207031259095,49180.6,25608.466666666664,0.0,14624.733333333334,1423.4,0.0,826.4666666666666,0.0,49.94757251358668,27.96160065359487,0.0,42.88620601856344,6.584831053261737,0.0,8.187117251443816,0.0,
2023-07-20_10-50-35,2023-07-20_10-50-51,5,3,-0.012694196428583382,-0.007533482142832781,3.997767857142857,0.002535714285714294,-0.2862723214285552,0.0006411132812331743,0.0019770507812495453,45.00244348144531,-0.002512207031259095,49179.6,25695.933333333334,0.0,14600.2,1424.6,0.0,815.6000000000001,0.0,39.538785458781426,43.820137430688696,0.0,20.456620770140116,8.10993903251507,0.0,8.994072121866342,0.0,
2023-07-20_10-50-52,2023-07-20_10-51-08,5,3,-0.012694196428583382,-0.007533482142832781,3.997767857142857,0.002535714285714294,0.007533482142857143,0.0006411132812331743,0.0019770507812495453,45.00244348144531,-0.002512207031259095,49225.333333333336,25130.466666666667,0.0,14968.333333333334,1407.6,0.0,838.2,0.0,27.65521851497723,57.54347148991891,0.0,23.31809025913858,14.801426357693465,0.0,7.797150476652062,0.0,
2023-07-20_10-51-08,2023-07-20_10-51-24,5,3,-0.012694196428583382,-0.007533482142832781,3.997767857142857,0.002535714285714294,0.2787388392857143,0.0006411132812331743,0.0019770507812495453,45.00244348144531,-0.002512207031259095,49239.933333333334,25231.199999999997,0.0,14841.133333333331,1408.4666666666667,0.0,838.6666666666666,0.0,72.41503833995998,23.696131892498137,0.0,45.523571427948674,10.211975540728847,0.0,3.8514066694304385,0.0,
2023-07-20_10-51-24,2023-07-20_10-51-39,5,3,-0.012694196428583382,-0.007533482142832781,3.997767857142857,0.002535714285714294,0.5725446428571428,0.0006411132812331743,0.0019770507812495453,45.00244348144531,-0.002512207031259095,49222.799999999996,25335.73333333333,0.0,14818.533333333331,1401.5333333333333,0.0,807.0,0.0,71.26083543340366,45.50609238821139,0.0,27.30172969693395,6.105189049761935,0.0,8.167687011088947,0.0,
