start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-04-06_16-34-36,2025-04-06_16-34-41,5,1,-0.009620535714304879,-0.005022321428555188,4.00390625,-0.007073660714297603,-44.99470026785713,0.0012214355468813665,0.0022363281249937472,45.0024755859375,-0.0019624953270067635,54388.0,6789.4,0.0,23153.0,129.4,0.0,1211.2,0.0,95.55678939771889,31.75940805493704,0.0,108.25571578443329,4.66476151587624,0.0,16.094719630984564,0.0,
2025-04-06_16-34-41,2025-04-06_16-34-46,5,1,-0.009620535714304879,-0.005022321428555188,4.00390625,-0.007073660714297603,-43.950057410714294,0.0012214355468813665,0.0022363281249937472,45.0024755859375,-0.0019624953270067635,54099.2,6485.4,0.0,23439.6,132.4,0.0,1216.0,0.0,103.30798613853626,26.496414851824763,0.0,110.41086903018198,4.08166632639171,0.0,11.717508267545622,0.0,
2025-04-06_16-34-47,2025-04-06_16-34-52,5,1,-0.009620535714304879,-0.005022321428555188,4.00390625,-0.007073660714297603,-42.90039223214285,0.0012214355468813665,0.0022363281249937472,45.0024755859375,-0.0019624953270067635,54233.2,6297.4,0.0,23430.4,109.2,0.0,1249.4,0.0,76.07982649822486,41.16503370580424,0.0,94.61215566722915,6.199999999999999,0.0,13.37385509118444,0.0,
2025-04-06_16-34-53,2025-04-06_16-34-58,5,1,-0.009620535714304879,-0.005022321428555188,4.00390625,-0.007073660714297603,-41.833148928571404,0.0012214355468813665,0.0022363281249937472,45.0024755859375,-0.0019624953270067635,54315.2,6191.0,0.0,23513.0,98.4,0.0,1227.6,0.0,93.40310487344624,36.21877965917681,0.0,49.46412841645954,3.8807215823864505,0.0,9.760122950045249,0.0,
2025-04-06_16-34-58,2025-04-06_16-35-04,5,1,-0.009620535714304879,-0.005022321428555188,4.00390625,-0.007073660714297603,-40.796039553571404,0.0012214355468813665,0.0022363281249937472,45.0024755859375,-0.0019624953270067635,54377.4,6095.8,0.0,23547.2,90.8,0.0,1266.2,0.0,153.28555052580788,13.78912615070295,0.0,56.37942887259501,2.0591260281974,0.0,7.767882594375381,0.0,
2025-04-06_16-35-04,2025-04-06_16-35-10,5,1,-0.009620535714304879,-0.005022321428555188,4.00390625,-0.007073660714297603,-39.741352053571404,0.0012214355468813665,0.0022363281249937472,45.0024755859375,-0.0019624953270067635,54254.0,6032.8,0.0,23464.4,88.6,0.0,1252.6,0.0,88.42906761919407,17.66748425781101,0.0,78.42996876194711,1.208304597359457,0.0,10.269371937952192,0.0,
2025-04-06_16-35-10,2025-04-06_16-35-15,5,1,-0.009620535714304879,-0.005022321428555188,4.00390625,-0.007073660714297603,-38.68164223214285,0.0012214355468813665,0.0022363281249937472,45.0024755859375,-0.0019624953270067635,54385.6,6101.0,0.0,23548.8,83.4,0.0,1286.2,0.0,97.07244717220226,14.713938969562163,0.0,65.72168591872853,1.8330302779823358,0.0,18.385864135253474,0.0,
2025-04-06_16-35-16,2025-04-06_16-35-21,5,1,-0.009620535714304879,-0.005022321428555188,4.00390625,-0.007073660714297603,-37.63448821428574,0.0012214355468813665,0.0022363281249937472,45.0024755859375,-0.0019624953270067635,54268.8,6224.8,0.0,23402.4,91.4,0.0,1246.0,0.0,81.06380203271989,37.350234269680286,0.0,105.8454533742475,3.776241517699841,0.0,23.46699810372004,0.0,
2025-04-06_16-35-21,2025-04-06_16-35-27,5,1,-0.009620535714304879,-0.005022321428555188,4.00390625,-0.007073660714297603,-36.57980071428574,0.0012214355468813665,0.0022363281249937472,45.0024755859375,-0.0019624953270067635,54139.6,6253.0,0.0,23423.4,89.2,0.0,1240.0,0.0,115.41689650999977,28.647862049374645,0.0,35.17897099120439,4.25910788780937,0.0,12.361229712289955,0.0,
2025-04-06_16-35-27,2025-04-06_16-35-33,5,1,-0.009620535714304879,-0.005022321428555188,4.00390625,-0.007073660714297603,-35.52009089285713,0.0012214355468813665,0.0022363281249937472,45.0024755859375,-0.0019624953270067635,54075.4,6479.8,0.0,23392.6,97.6,0.0,1239.2,0.0,74.62412478548744,46.83524314018237,0.0,79.6,2.4617067250182343,0.0,19.040483187146275,0.0,
