start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-04-09_16-48-17,2025-04-09_16-48-32,5,3,-0.004598214285692848,-0.005022321428555188,4.011439732142858,-0.002511160714277594,84.99758035714287,0.0012214355468813665,0.0022363281249937472,45.00195678710938,-0.0024834399223436776,54956.333333333336,7975.533333333333,0.0,23657.733333333334,229.2,0.0,1341.3333333333333,0.0,46.13807779071695,13.121907042973657,0.0,38.43904265197063,4.786090958879352,0.0,10.399252109860784,0.0,
2025-04-09_16-48-32,2025-04-09_16-48-47,5,3,-0.004598214285692848,-0.005022321428555188,4.011439732142858,-0.002511160714277594,86.11002455357144,0.0012214355468813665,0.0022363281249937472,45.00195678710938,-0.0024834399223436776,54751.333333333336,7406.466666666667,0.0,23990.4,193.93333333333334,0.0,1355.9333333333334,0.0,40.863866135689,14.537537618179906,0.0,67.22089622199954,2.4975543593238916,0.0,10.066666666666656,0.0,
2025-04-09_16-48-47,2025-04-09_16-49-03,5,3,-0.004598214285692848,-0.005022321428555188,4.011439732142858,-0.002511160714277594,87.21242410714287,0.0012214355468813665,0.0022363281249937472,45.00195678710938,-0.0024834399223436776,54846.26666666668,6883.533333333335,0.0,24280.266666666666,154.46666666666667,0.0,1377.2,0.0,117.25207413469855,6.363611832564461,0.0,52.37879129741152,2.432648305402526,0.0,4.749970760143939,0.0,
2025-04-09_16-49-03,2025-04-09_16-49-18,5,3,-0.004598214285692848,-0.005022321428555188,4.011439732142858,-0.002511160714277594,88.32737946428571,0.0012214355468813665,0.0022363281249937472,45.00195678710938,-0.0024834399223436776,54754.73333333332,6377.133333333333,0.0,24430.533333333333,122.8,0.0,1406.6666666666665,0.0,81.2787658480234,18.412133680447464,0.0,71.78800580722259,2.377206577290057,0.0,12.455253242440884,0.0,
2025-04-09_16-49-19,2025-04-09_16-49-34,5,3,-0.004598214285692848,-0.005022321428555188,4.011439732142858,-0.002511160714277594,89.4373125,0.0012214355468813665,0.0022363281249937472,45.00195678710938,-0.0024834399223436776,54765.866666666676,6002.133333333333,0.0,24588.333333333332,106.26666666666668,0.0,1398.0,0.0,54.50806260443323,23.252861233739758,0.0,32.07248734420893,0.9510228411791398,0.0,13.103010680331789,0.0,
2025-04-09_16-49-34,2025-04-09_16-49-49,5,3,-0.004598214285692848,-0.005022321428555188,4.011439732142858,-0.002511160714277594,90.54724553571428,0.0012214355468813665,0.0022363281249937472,45.00195678710938,-0.0024834399223436776,54904.066666666666,5640.933333333334,0.0,24801.199999999997,76.73333333333332,0.0,1422.1333333333334,0.0,72.38741449850023,17.248317148187038,0.0,56.47335654979258,1.1518101695447318,0.0,7.9823416224675405,0.0,
2025-04-09_16-49-50,2025-04-09_16-50-05,5,3,-0.004598214285692848,-0.005022321428555188,4.011439732142858,-0.002511160714277594,91.65968973214287,0.0012214355468813665,0.0022363281249937472,45.00195678710938,-0.0024834399223436776,54858.86666666666,5316.266666666666,0.0,24843.8,58.06666666666668,0.0,1444.2666666666667,0.0,104.09571450246081,12.711062548469775,0.0,44.67942603829079,2.9858927568744917,0.0,13.955644019535583,0.0,
2025-04-09_16-50-05,2025-04-09_16-50-20,5,3,-0.004598214285692848,-0.005022321428555188,4.011439732142858,-0.002511160714277594,92.77213392857144,0.0012214355468813665,0.0022363281249937472,45.00195678710938,-0.0024834399223436776,54817.33333333333,5088.333333333334,0.0,24995.6,41.733333333333334,0.0,1456.8,0.0,53.69926546155993,26.336075806560178,0.0,37.90901387972694,2.6106618998935036,0.0,14.564263722474212,0.0,
2025-04-09_16-50-21,2025-04-09_16-50-36,5,3,-0.004598214285692848,-0.005022321428555188,4.011439732142858,-0.002511160714277594,93.88708928571428,0.0012214355468813665,0.0022363281249937472,45.00195678710938,-0.0024834399223436776,54810.93333333333,4898.666666666666,0.0,25063.533333333333,24.599999999999998,0.0,1463.1333333333332,0.0,69.23995314203414,11.074996864810199,0.0,29.822362973670234,1.2489995996796797,0.0,6.409714848918346,0.0,
2025-04-09_16-50-36,2025-04-09_16-50-52,5,3,-0.004598214285692848,-0.005022321428555188,4.011439732142858,-0.002511160714277594,95.00455580357144,0.0012214355468813665,0.0022363281249937472,45.00195678710938,-0.0024834399223436776,54803.933333333334,4765.533333333333,0.0,25226.73333333333,16.93333333333333,0.0,1461.6,0.0,48.65015701699049,7.4859869088851605,0.0,56.63277417813037,0.6531972647421809,0.0,7.043042271947839,0.0,
