start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-18_15-31-16,2023-07-18_15-31-21,5,1,-0.015205357142860976,-0.007533482142832781,4.002790178571429,-0.010020089285717404,-5.007254464285722,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,48114.2,5931.0,0.0,23769.4,138.4,0.0,1364.2,0.0,139.19964080413425,48.25246107713056,0.0,66.90784707341882,5.853204250664759,0.0,16.326052799130593,0.0,
2023-07-18_15-31-21,2023-07-18_15-31-26,5,1,-0.015205357142860976,-0.007533482142832781,4.002790178571429,-0.010020089285717404,-4.002790178571445,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,47860.6,6471.4,0.0,23456.2,174.6,0.0,1322.0,0.0,130.20506902574877,61.48300578208583,0.0,44.004999715941366,5.334791467339656,0.0,5.366563145999495,0.0,
2023-07-18_15-31-27,2023-07-18_15-31-32,5,1,-0.015205357142860976,-0.007533482142832781,4.002790178571429,-0.010020089285717404,-2.998325892857167,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,47999.8,7016.2,0.0,23328.4,210.2,0.0,1327.8,0.0,38.51025837358144,58.31414922640987,0.0,37.106064194414365,7.248448109768049,0.0,21.608794505941322,0.0,
2023-07-18_15-31-32,2023-07-18_15-31-38,5,1,-0.015205357142860976,-0.007533482142832781,4.002790178571429,-0.010020089285717404,-2.0013950892857224,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,48107.2,7456.6,0.0,23127.0,238.4,0.0,1321.8,0.0,57.62586224951432,21.85314622657342,0.0,99.32421658387243,10.500476179678708,0.0,11.939011684389959,0.0,
2023-07-18_15-31-38,2023-07-18_15-31-44,5,1,-0.015205357142860976,-0.007533482142832781,4.002790178571429,-0.010020089285717404,-1.0044642857142776,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,48130.4,8047.2,0.0,22850.4,281.0,0.0,1303.2,0.0,76.55756004471407,21.04138778693078,0.0,49.12697833166619,10.084641788382966,0.0,9.291931984253864,0.0,
2023-07-18_15-31-44,2023-07-18_15-31-49,5,1,-0.015205357142860976,-0.007533482142832781,4.002790178571429,-0.010020089285717404,0.002511160714285714,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,48100.8,8600.2,0.0,22590.6,321.2,0.0,1279.6,0.0,128.20897004500114,49.45037916942599,0.0,51.04468630523651,6.21610810716802,0.0,15.071828024496563,0.0,
2023-07-18_15-31-50,2023-07-18_15-31-55,5,1,-0.015205357142860976,-0.007533482142832781,4.002790178571429,-0.010020089285717404,0.9944196428571428,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,48084.0,9182.4,0.0,22374.4,353.0,0.0,1277.2,0.0,32.27692674341843,40.454418794490174,0.0,74.46314524649088,5.0,0.0,20.635891063872183,0.0,
2023-07-18_15-31-56,2023-07-18_15-32-01,5,1,-0.015205357142860976,-0.007533482142832781,4.002790178571429,-0.010020089285717404,1.9963727678571428,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,48035.8,9821.2,0.0,21975.2,396.0,0.0,1242.4,0.0,156.41591990587148,74.30706561290117,0.0,33.10498451895122,6.892024376045111,0.0,19.23954261410598,0.0,
2023-07-18_15-32-02,2023-07-18_15-32-07,5,1,-0.015205357142860976,-0.007533482142832781,4.002790178571429,-0.010020089285717404,2.995814732142857,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,48025.2,10476.6,0.0,21650.8,440.8,0.0,1212.4,0.0,98.71747565654219,36.93589040486231,0.0,67.49622211650072,6.061352984276695,0.0,12.886426967938009,0.0,
2023-07-18_15-32-08,2023-07-18_15-32-13,5,1,-0.015205357142860976,-0.007533482142832781,4.002790178571429,-0.010020089285717404,3.990234375,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,48027.2,11134.4,0.0,21504.6,482.6,0.0,1207.0,0.0,96.53724669784198,26.29562701287041,0.0,36.209943385760766,8.213403679352428,0.0,25.087845662790574,0.0,
2023-07-18_15-32-13,2023-07-18_15-32-18,5,1,-0.015205357142860976,-0.007533482142832781,4.002790178571429,-0.010020089285717404,4.9921875,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.002512207031259095,47890.4,11982.4,0.0,21009.8,533.0,0.0,1175.8,0.0,92.91479968228958,63.969992965452164,0.0,71.77353272620765,10.044899203078147,0.0,26.228610332993245,0.0,
