start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-18_12-53-42,2023-07-18_12-53-53,5,2,-0.00013839285719541294,-0.007533482142832781,4.000279017857142,-0.004997767857162216,-12.008370535714278,0.0006411132812331743,0.0019770507812495453,45.001402069091796,-0.003031005859384095,47864.7,6771.4,0.0,23324.1,111.8,0.0,1341.5,0.0,32.27096217964379,7.89208464222223,0.0,39.90814453216285,4.57329203091165,0.0,6.859300255857006,0.0,
2023-07-18_12-53-53,2023-07-18_12-54-03,5,2,-0.00013839285719541294,-0.007533482142832781,4.000279017857142,-0.004997767857162216,-10.956194196428555,0.0006411132812331743,0.0019770507812495453,45.001402069091796,-0.003031005859384095,47722.6,6310.3,0.0,23513.4,84.4,0.0,1357.0,0.0,92.30417108668492,16.957004452437936,0.0,53.107061677332524,2.604803255526221,0.0,8.517628778010932,0.0,
2023-07-18_12-54-04,2023-07-18_12-54-14,5,2,-0.00013839285719541294,-0.007533482142832781,4.000279017857142,-0.004997767857162216,-9.901506696428555,0.0006411132812331743,0.0019770507812495453,45.001402069091796,-0.003031005859384095,47751.1,5883.6,0.0,23681.8,70.3,0.0,1341.2,0.0,55.31441945822084,16.269142571137543,0.0,30.827990528089884,1.1789826122551594,0.0,11.672189169131897,0.0,
2023-07-18_12-54-14,2023-07-18_12-54-25,5,2,-0.00013839285719541294,-0.007533482142832781,4.000279017857142,-0.004997767857162216,-8.851841517857167,0.0006411132812331743,0.0019770507812495453,45.001402069091796,-0.003031005859384095,47645.9,5525.9,0.0,23943.5,46.3,0.0,1346.8,0.0,73.56245645708141,9.563472172804184,0.0,29.86511342687317,1.2103718436910205,0.0,8.052328855678958,0.0,
2023-07-18_12-54-25,2023-07-18_12-54-35,5,2,-0.00013839285719541294,-0.007533482142832781,4.000279017857142,-0.004997767857162216,-7.792131696428555,0.0006411132812331743,0.0019770507812495453,45.001402069091796,-0.003031005859384095,47835.6,5170.6,0.0,24127.3,29.8,0.0,1370.4,0.0,83.30612222399982,25.980473436794796,0.0,59.24896623570744,1.8947295321496418,0.0,8.64783209827758,0.0,
2023-07-18_12-54-35,2023-07-18_12-54-46,5,2,-0.00013839285719541294,-0.007533482142832781,4.000279017857142,-0.004997767857162216,-6.737444196428555,0.0006411132812331743,0.0019770507812495453,45.001402069091796,-0.003031005859384095,47918.5,4935.3,0.0,24176.2,22.8,0.0,1373.6,0.0,132.0029355734182,20.1411270786915,0.0,37.71359171439389,1.6324827717314507,0.0,10.06156051514873,0.0,
2023-07-18_12-54-46,2023-07-18_12-54-56,5,2,-0.00013839285719541294,-0.007533482142832781,4.000279017857142,-0.004997767857162216,-5.692801339285722,0.0006411132812331743,0.0019770507812495453,45.001402069091796,-0.003031005859384095,47728.7,4739.6,0.0,24203.5,14.2,0.0,1396.0,0.0,116.94663312810677,23.09512935664141,0.0,28.56702644658698,1.3656500283747661,0.0,17.29089355701434,0.0,
2023-07-18_12-54-57,2023-07-18_12-55-07,5,2,-0.00013839285719541294,-0.007533482142832781,4.000279017857142,-0.004997767857162216,-4.635602678571445,0.0006411132812331743,0.0019770507812495453,45.001402069091796,-0.003031005859384095,47845.3,4565.6,0.0,24371.4,8.0,0.0,1396.1,0.0,114.99430420677365,19.427686429423343,0.0,49.485199807619246,1.1510864433221337,0.0,12.38285104489269,0.0,
2023-07-18_12-55-07,2023-07-18_12-55-18,5,2,-0.00013839285719541294,-0.007533482142832781,4.000279017857142,-0.004997767857162216,-3.5758928571428896,0.0006411132812331743,0.0019770507812495453,45.001402069091796,-0.003031005859384095,47851.0,4488.8,0.0,24352.5,5.8,0.0,1388.5,0.0,60.55534658475666,11.312161597148442,0.0,39.010895913834126,1.019803902718557,0.0,11.950941385514364,0.0,
2023-07-18_12-55-18,2023-07-18_12-55-28,5,2,-0.00013839285719541294,-0.007533482142832781,4.000279017857142,-0.004997767857162216,-2.53125,0.0006411132812331743,0.0019770507812495453,45.001402069091796,-0.003031005859384095,47733.1,4480.1,0.0,24326.0,8.3,0.0,1377.7,0.0,81.77276441456532,26.823217554946684,0.0,46.86656590790496,0.9433981132056602,0.0,13.919949712552842,0.0,
