start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-20_10-15-21,2023-07-20_10-15-26,5,1,-0.015205357142860976,-0.007533482142832781,4.0078125,0.005046875000000006,-5.007254464285722,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.003031005859384095,48736.2,21317.6,0.0,16461.6,1162.0,0.0,930.4,0.0,76.23476897059504,70.01756922373127,0.0,29.635451742802907,12.9267165204471,0.0,13.059862173851604,0.0,
2023-07-20_10-15-27,2023-07-20_10-15-32,5,1,-0.015205357142860976,-0.007533482142832781,4.0078125,0.005046875000000006,-4.0078125,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.003031005859384095,48762.8,22208.6,0.0,16080.4,1213.4,0.0,885.2,0.0,87.15927948302463,64.65183678751903,0.0,56.62296353953933,11.500434774390053,0.0,17.220336814359932,0.0,
2023-07-20_10-15-33,2023-07-20_10-15-38,5,1,-0.015205357142860976,-0.007533482142832781,4.0078125,0.005046875000000006,-3.005859375,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.003031005859384095,48871.4,22667.4,0.0,15790.2,1239.8,0.0,898.4,0.0,126.36478939957918,53.60373121341461,0.0,17.585221067703415,5.686826883245172,0.0,14.228843944607727,0.0,
2023-07-20_10-15-38,2023-07-20_10-15-43,5,1,-0.015205357142860976,-0.007533482142832781,4.0078125,0.005046875000000006,-2.0064174107142776,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.003031005859384095,48830.4,23393.2,0.0,15525.8,1275.2,0.0,845.8,0.0,103.65500470310153,56.28001421463928,0.0,41.09793182144328,16.423763271552595,0.0,11.015443704181868,0.0,
2023-07-20_10-15-44,2023-07-20_10-15-49,5,1,-0.015205357142860976,-0.007533482142832781,4.0078125,0.005046875000000006,-1.001953125,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.003031005859384095,48972.4,23971.0,0.0,15283.8,1325.0,0.0,853.8,0.0,88.12184746134184,72.57892256020338,0.0,52.21053533531331,13.232535660258014,0.0,11.723480711802276,0.0,
2023-07-20_10-15-51,2023-07-20_10-15-56,5,1,-0.015205357142860976,-0.007533482142832781,4.0078125,0.005046875000000006,0.0,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.003031005859384095,48748.8,22800.8,0.0,15662.0,1234.6,0.0,886.2,0.0,74.14674638849637,104.0131722427501,0.0,69.57010852370435,16.954645381133748,0.0,6.777905281132216,0.0,
2023-07-20_10-15-57,2023-07-20_10-16-02,5,1,-0.015205357142860976,-0.007533482142832781,4.0078125,0.005046875000000006,0.9969308035714286,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.003031005859384095,48740.6,23074.0,0.0,15539.0,1237.0,0.0,870.6,0.0,117.00367515595396,106.05045968782973,0.0,48.99285662216482,20.12212712413874,0.0,14.372195378577345,0.0,
2023-07-20_10-16-02,2023-07-20_10-16-08,5,1,-0.015205357142860976,-0.007533482142832781,4.0078125,0.005046875000000006,2.0013950892857144,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.003031005859384095,48734.4,23866.0,0.0,15181.8,1309.6,0.0,864.8,0.0,133.93304297297215,115.54046910065753,0.0,78.52986692972298,18.475930287809597,0.0,11.761802582937701,0.0,
2023-07-20_10-16-08,2023-07-20_10-16-14,5,1,-0.015205357142860976,-0.007533482142832781,4.0078125,0.005046875000000006,2.993303571428571,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.003031005859384095,48999.0,24459.6,0.0,15038.2,1356.2,0.0,868.2,0.0,122.98983697850811,29.503559107334826,0.0,66.54502235329102,17.99277632829353,0.0,7.946068210127571,0.0,
2023-07-20_10-16-14,2023-07-20_10-16-19,5,1,-0.015205357142860976,-0.007533482142832781,4.0078125,0.005046875000000006,3.997767857142857,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.003031005859384095,48838.0,24852.4,0.0,14779.4,1392.2,0.0,802.6,0.0,123.61674643833659,38.22119830669885,0.0,31.350598080419456,9.799999999999999,0.0,7.567033764957044,0.0,
2023-07-20_10-16-20,2023-07-20_10-16-25,5,1,-0.015205357142860976,-0.007533482142832781,4.0078125,0.005046875000000006,4.9921875,0.0006411132812331743,0.0019770507812495453,45.00192086791992,-0.003031005859384095,48889.8,25386.2,0.0,14434.6,1410.4,0.0,785.6,0.0,89.73984622228856,110.10603979800563,0.0,30.60816884428077,15.901572249309185,0.0,8.761278445523802,0.0,
