start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-20_16-25-03,2023-07-20_16-25-08,5,1,-0.008316964285711492,0.0,3.997767857142857,0.0003102678571428527,-19.99957275390625,0.002197021484377615,45.00233096313477,-0.003113769531239541,49518.6,5449.2,0.0,24263.8,79.8,0.0,1528.0,0.0,119.23866822469964,46.04172021113025,0.0,27.53071012524014,2.5377155080899034,0.0,13.546217184144066,0.0,
2023-07-20_16-25-09,2023-07-20_16-25-14,5,1,-0.008316964285711492,0.0,3.997767857142857,0.0003102678571428527,-17.891876220703125,0.002197021484377615,45.00233096313477,-0.003113769531239541,49566.6,4594.0,0.0,24775.4,25.8,0.0,1510.8,0.0,106.42067468307086,19.191143790821847,0.0,83.32442619064352,1.42828568570857,0.0,13.81086528788113,0.0,
2023-07-20_16-25-15,2023-07-20_16-25-20,5,1,-0.008316964285711492,0.0,3.997767857142857,0.0003102678571428527,-15.787841796875,0.002197021484377615,45.00233096313477,-0.003113769531239541,49530.8,4230.6,0.0,24705.6,5.4,0.0,1514.0,0.0,157.36784932126383,34.105131578693545,0.0,65.86015487379301,0.39999999999999997,0.0,22.113344387495978,0.0,
2023-07-20_16-25-21,2023-07-20_16-25-27,5,1,-0.008316964285711492,0.0,3.997767857142857,0.0003102678571428527,-13.6822509765625,0.002197021484377615,45.00233096313477,-0.003113769531239541,49601.8,4439.0,0.0,24729.8,19.2,0.0,1499.2,0.0,32.39969135655462,33.27912258458747,0.0,58.29270966424532,1.9849433241279208,0.0,18.661189672687,0.0,
2023-07-20_16-25-28,2023-07-20_16-25-33,5,1,-0.008316964285711492,0.0,3.997767857142857,0.0003102678571428527,-11.577667236328125,0.002197021484377615,45.00233096313477,-0.003113769531239541,49605.2,5169.6,0.0,24501.0,67.4,0.0,1521.8,0.0,136.47358718814422,41.271782127744366,0.0,117.16014680769226,7.11055553385247,0.0,21.61804801548928,0.0,
2023-07-20_16-25-34,2023-07-20_16-25-40,5,1,-0.008316964285711492,0.0,3.997767857142857,0.0003102678571428527,-9.47259521484375,0.002197021484377615,45.00233096313477,-0.003113769531239541,49413.4,6479.8,0.0,23832.4,141.4,0.0,1473.0,0.0,96.09557742164827,26.913565352810465,0.0,50.020595758147465,9.882307422864358,0.0,25.793410011086163,0.0,
2023-07-20_16-25-41,2023-07-20_16-25-46,5,1,-0.008316964285711492,0.0,3.997767857142857,0.0003102678571428527,-7.3680419921875,0.002197021484377615,45.00233096313477,-0.003113769531239541,49548.8,8183.8,0.0,23105.4,267.6,0.0,1410.0,0.0,70.65720062385715,64.34935897116614,0.0,35.3392133472153,4.365775990588614,0.0,15.126136320951229,0.0,
2023-07-20_16-25-47,2023-07-20_16-25-52,5,1,-0.008316964285711492,0.0,3.997767857142857,0.0003102678571428527,-5.262969970703125,0.002197021484377615,45.00233096313477,-0.003113769531239541,49416.0,10418.0,0.0,21947.4,409.8,0.0,1345.2,0.0,106.70426420720027,24.149534156997728,0.0,50.622722170977724,13.799999999999999,0.0,29.30767817484012,0.0,
2023-07-20_16-25-53,2023-07-20_16-25-58,5,1,-0.008316964285711492,0.0,3.997767857142857,0.0003102678571428527,-3.15631103515625,0.002197021484377615,45.00233096313477,-0.003113769531239541,49372.8,13081.6,0.0,20643.4,582.6,0.0,1252.2,0.0,89.82059897373207,44.19570114841487,0.0,46.01043359934788,8.261961026293939,0.0,10.804628637764464,0.0,
2023-07-20_16-25-59,2023-07-20_16-26-04,5,1,-0.008316964285711492,0.0,3.997767857142857,0.0003102678571428527,-1.050201416015625,0.002197021484377615,45.00233096313477,-0.003113769531239541,49533.0,16082.0,0.0,19338.2,779.4,0.0,1178.4,0.0,124.55801860980287,75.39429686654024,0.0,40.21616590377556,18.271836251455408,0.0,13.094273557551787,0.0,
2023-07-20_16-26-06,2023-07-20_16-26-11,5,1,-0.008316964285711492,0.0,3.997767857142857,0.0003102678571428527,1.053842544555664,0.002197021484377615,45.00233096313477,-0.003113769531239541,49721.4,19296.8,0.0,17905.8,979.4,0.0,1047.8,0.0,148.28438892884174,59.780766137613185,0.0,99.59889557620606,9.2660671268883,0.0,15.938632312717422,0.0,
2023-07-20_16-26-12,2023-07-20_16-26-17,5,1,-0.008316964285711492,0.0,3.997767857142857,0.0003102678571428527,3.1584017276763916,0.002197021484377615,45.00233096313477,-0.003113769531239541,49323.8,22764.6,0.0,16337.0,1223.8,0.0,953.4,0.0,110.8505299942224,41.34440711873856,0.0,17.24818831066034,10.513800454640556,0.0,15.65119803721108,0.0,
2023-07-20_16-26-18,2023-07-20_16-26-23,5,1,-0.008316964285711492,0.0,3.997767857142857,0.0003102678571428527,5.263482093811035,0.002197021484377615,45.00233096313477,-0.003113769531239541,49352.6,26289.0,0.0,14668.4,1421.8,0.0,862.2,0.0,89.664151141914,35.52604678260727,0.0,56.371624067433075,18.2192206199936,0.0,11.275637454263949,0.0,
2023-07-20_16-26-24,2023-07-20_16-26-30,5,1,-0.008316964285711492,0.0,3.997767857142857,0.0003102678571428527,7.3685622215271,0.002197021484377615,45.00233096313477,-0.003113769531239541,49236.0,29999.2,0.0,12863.2,1664.4,0.0,712.0,0.0,124.97359721157103,78.31308958277664,0.0,16.98646520027048,15.213809516357168,0.0,14.788509052639483,0.0,
2023-07-20_16-26-31,2023-07-20_16-26-36,5,1,-0.008316964285711492,0.0,3.997767857142857,0.0003102678571428527,9.473121643066406,0.002197021484377615,45.00233096313477,-0.003113769531239541,49312.2,33604.0,0.0,11258.6,1896.2,0.0,635.8,0.0,70.84518332250964,85.2848169371313,0.0,33.38802180423393,21.772459668122018,0.0,2.88790581563873,0.0,
2023-07-20_16-26-37,2023-07-20_16-26-43,5,1,-0.008316964285711492,0.0,3.997767857142857,0.0003102678571428527,11.578202247619629,0.002197021484377615,45.00233096313477,-0.003113769531239541,49510.4,36994.2,0.0,9614.4,2142.2,0.0,537.2,0.0,71.65654192046948,58.548612280736414,0.0,24.553207529770933,16.472401160729422,0.0,13.328165665236908,0.0,
2023-07-20_16-26-44,2023-07-20_16-26-49,5,1,-0.008316964285711492,0.0,3.997767857142857,0.0003102678571428527,13.683802604675293,0.002197021484377615,45.00233096313477,-0.003113769531239541,49350.4,40452.0,0.0,7994.4,2388.2,0.0,450.0,0.0,95.87575293055069,51.983651276146425,0.0,33.40748419142034,31.196794707149003,0.0,12.31665539016173,0.0,
2023-07-20_16-26-50,2023-07-20_16-26-55,5,1,-0.008316964285711492,0.0,3.997767857142857,0.0003102678571428527,15.791487693786621,0.002197021484377615,45.00233096313477,-0.003113769531239541,49386.8,43457.2,0.0,6562.4,2499.4,0.0,334.4,0.0,121.02041150153141,112.20356500575193,0.0,40.50506141212478,14.732956254601449,0.0,5.758472019555187,0.0,
2023-07-20_16-26-56,2023-07-20_16-27-02,5,1,-0.008316964285711492,0.0,3.997767857142857,0.0003102678571428527,17.895524978637695,0.002197021484377615,45.00233096313477,-0.003113769531239541,49173.2,46504.0,0.0,5256.4,2735.2,0.0,237.0,0.0,70.92347989206395,123.1649300734588,0.0,26.299429651610318,11.854956769216832,0.0,5.882176467941097,0.0,
2023-07-20_16-27-03,2023-07-20_16-27-08,5,1,-0.008316964285711492,0.0,3.997767857142857,0.0003102678571428527,20.001127243041992,0.002197021484377615,45.00233096313477,-0.003113769531239541,49425.2,48788.8,0.0,4202.6,2926.8,0.0,173.0,0.0,137.40174671378819,90.43528072605292,0.0,31.166648841349627,26.926566806780247,0.0,8.306623862918075,0.0,
