start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-04-06_15-26-22,2025-04-06_15-26-27,5,1,-0.004598214285692848,-0.005022321428555188,4.008928571428573,0.004107142857140644,7.832587678571429,-19.998870117187494,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,54013.0,10473.2,0.0,21830.0,296.4,0.0,1182.2,0.0,74.89659538323487,58.89091610766468,0.0,90.28621157186738,4.523273151159456,0.0,15.994999218505763,0.0,
2025-04-06_15-26-28,2025-04-06_15-26-33,5,1,-0.004598214285692848,-0.005022321428555188,4.008928571428573,0.004107142857140644,7.832587678571429,-17.892729980468744,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,54134.0,12713.6,0.0,20725.8,409.4,0.0,1072.0,0.0,117.9143757139052,25.566775314849544,0.0,12.13836891843381,4.03236903073119,0.0,14.31432848582147,0.0,
2025-04-06_15-26-35,2025-04-06_15-26-40,5,1,-0.004598214285692848,-0.005022321428555188,4.008928571428573,0.004107142857140644,7.832587678571429,-15.787139160156244,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,53864.0,15516.2,0.0,19445.4,585.6,0.0,1023.2,0.0,18.240065789355036,41.19150397836913,0.0,41.68764805071161,10.01299156096718,0.0,12.87400481590713,0.0,
2025-04-06_15-26-41,2025-04-06_15-26-46,5,1,-0.004598214285692848,-0.005022321428555188,4.008928571428573,0.004107142857140644,7.832587678571429,-13.682585937499994,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,54189.6,18363.4,0.0,18026.8,744.8,0.0,947.0,0.0,98.51324784007478,72.7863998285394,0.0,109.69293505053093,15.094369811290564,0.0,14.747881203752625,0.0,
2025-04-06_15-26-48,2025-04-06_15-26-53,5,1,-0.004598214285692848,-0.005022321428555188,4.008928571428573,0.004107142857140644,7.832587678571429,-11.576964599609369,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,54136.4,21569.2,0.0,16486.8,923.4,0.0,867.6,0.0,106.76169725140193,62.016449430776014,0.0,58.79064551440135,11.478675881825394,0.0,9.426558226627574,0.0,
2025-04-06_15-26-54,2025-04-06_15-27-00,5,1,-0.004598214285692848,-0.005022321428555188,4.008928571428573,0.004107142857140644,7.832587678571429,-9.472411376953119,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,58300.6,25027.2,0.0,15019.4,1118.6,0.0,742.2,0.0,4367.0104488082,75.45886296519448,0.0,32.814021393300756,18.211534806270446,0.0,12.587295182047649,0.0,
2025-04-06_15-27-01,2025-04-06_15-27-06,5,1,-0.004598214285692848,-0.005022321428555188,4.008928571428573,0.004107142857140644,7.832587678571429,-7.366301757812494,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,95022.2,28470.8,0.0,13308.8,1293.0,0.0,672.6,0.0,241.23399428770398,61.25961149076935,0.0,69.27005124871786,6.789698078707182,0.0,8.201219421525069,0.0,
2025-04-06_15-27-07,2025-04-06_15-27-13,5,1,-0.004598214285692848,-0.005022321428555188,4.008928571428573,0.004107142857140644,7.832587678571429,-5.261229736328119,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,94569.4,31865.4,0.0,11763.6,1523.2,0.0,567.2,0.0,130.08328101643193,85.82400596569704,0.0,38.32831851255674,16.6715326230074,0.0,9.525754563287885,0.0,
2025-04-06_15-27-14,2025-04-06_15-27-19,5,1,-0.004598214285692848,-0.005022321428555188,4.008928571428573,0.004107142857140644,7.832587678571429,-3.1550895996093686,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,94721.0,35292.8,0.0,10149.4,1690.2,0.0,481.4,0.0,240.63811003247176,90.04854246460627,0.0,26.27660556464628,5.885575587824864,0.0,3.472751070837067,0.0,
2025-04-06_15-27-21,2025-04-06_15-27-26,5,1,-0.004598214285692848,-0.005022321428555188,4.008928571428573,0.004107142857140644,7.832587678571429,-1.0505363769531186,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,94592.2,38655.6,0.0,8660.6,1895.4,0.0,393.8,0.0,157.19840966116672,44.520332433619586,0.0,34.813215881328745,14.270949512909082,0.0,6.335613624582862,0.0,
2025-04-06_15-27-27,2025-04-06_15-27-32,5,1,-0.004598214285692848,-0.005022321428555188,4.008928571428573,0.004107142857140644,7.832587678571429,1.0545356445312564,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,94355.0,41426.0,0.0,7218.6,2039.4,0.0,310.6,0.0,81.90299139836102,53.37883475685845,0.0,36.92235095440159,11.369256791892774,0.0,8.902808545621994,0.0,
2025-04-06_15-27-34,2025-04-06_15-27-39,5,1,-0.004598214285692848,-0.005022321428555188,4.008928571428573,0.004107142857140644,7.832587678571429,3.1596381835937564,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,94394.8,44202.6,0.0,5866.2,2223.0,0.0,213.4,0.0,178.8718535712089,99.08511492651154,0.0,40.38242191845357,18.512158166999328,0.0,4.130375285612677,0.0,
2025-04-06_15-27-40,2025-04-06_15-27-46,5,1,-0.004598214285692848,-0.005022321428555188,4.008928571428573,0.004107142857140644,7.832587678571429,5.265229003906256,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,93961.8,46597.0,0.0,4782.0,2299.8,0.0,169.2,0.0,364.5558119136218,49.8888765157124,0.0,32.65731158561586,7.71621668954417,0.0,4.454211490264017,0.0,
2025-04-06_15-27-47,2025-04-06_15-27-52,5,1,-0.004598214285692848,-0.005022321428555188,4.008928571428573,0.004107142857140644,7.832587678571429,7.368224041938782,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,94267.2,48786.6,0.0,3886.0,2415.2,0.0,107.6,0.0,315.6139097061471,99.94278363143583,0.0,30.932183886689927,22.58406517879365,0.0,4.675467891024384,0.0,
2025-04-06_15-27-53,2025-04-06_15-27-59,5,1,-0.004598214285692848,-0.005022321428555188,4.008928571428573,0.004107142857140644,7.832587678571429,9.474346178054809,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,94390.6,50201.4,0.0,3128.4,2544.0,0.0,74.4,0.0,250.77910598771982,157.3723609786674,0.0,31.431830999800184,17.81010948871455,0.0,0.7483314773547882,0.0,
2025-04-06_15-28-00,2025-04-06_15-28-05,5,1,-0.004598214285692848,-0.005022321428555188,4.008928571428573,0.004107142857140644,7.832587678571429,11.57994725036621,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,94051.8,51260.6,0.0,2574.0,2625.2,0.0,36.8,0.0,105.96291804211508,114.5458860020734,0.0,33.98529093593286,32.1658203688325,0.0,3.8392707640904926,0.0,
2025-04-06_15-28-06,2025-04-06_15-28-12,5,1,-0.004598214285692848,-0.005022321428555188,4.008928571428573,0.004107142857140644,7.832587678571429,13.68554856109619,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,94590.4,51809.0,0.0,2251.0,2664.6,0.0,20.4,0.0,175.30647449538193,46.79636738038541,0.0,26.1686835740738,25.150745515789385,0.0,2.063976744055029,0.0,
2025-04-06_15-28-13,2025-04-06_15-28-19,5,1,-0.004598214285692848,-0.005022321428555188,4.008928571428573,0.004107142857140644,7.832587678571429,15.790629165649413,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,94290.4,52371.6,0.0,2215.4,2666.6,0.0,16.0,0.0,149.80841097882322,36.62594708673073,0.0,3.3555923471125033,9.537295214053092,0.0,1.5811388300841895,0.0,
2025-04-06_15-28-20,2025-04-06_15-28-25,5,1,-0.004598214285692848,-0.005022321428555188,4.008928571428573,0.004107142857140644,7.832587678571429,17.89570881652832,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,94276.2,51612.4,0.0,2412.6,2625.6,0.0,25.4,0.0,196.12072812428573,141.12072845616976,0.0,11.574109036984227,24.579666393179544,0.0,1.2884098726725124,0.0,
2025-04-06_15-28-26,2025-04-06_15-28-31,5,1,-0.004598214285692848,-0.005022321428555188,4.008928571428573,0.004107142857140644,7.832587678571429,20.000789421081542,0.0022363281249937472,45.00195678710938,-0.0019624953270067635,94592.6,50861.6,0.0,2763.6,2547.2,0.0,48.4,0.0,135.87847511655403,70.64318792353585,0.0,20.441624201613724,14.482403115505381,0.0,1.74928556845359,0.0,
