start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2024-07-17_08-50-20,2024-07-17_08-50-35,5,3,0.00920044642857043,-0.002511160714277594,3.997767857142857,31.645568,11.093565357142857,8.245,-14.99777880859375,45.00195678710938,-0.0024834399223436776,50441.0,13285.466666666665,0.0,21668.466666666667,552.3333333333334,0.0,1389.8,0.0,70.09675852388277,31.788991805340487,0.0,38.30543912640415,5.41294744108975,0.0,4.41537717024893,0.0,
2024-07-17_08-50-36,2024-07-17_08-50-52,5,3,0.00920044642857043,-0.002511160714277594,3.997767857142857,31.645568,11.093565357142857,8.245,-13.420447265625,45.00195678710938,-0.0024834399223436776,50368.73333333333,12032.533333333333,0.0,22332.133333333335,470.9333333333334,0.0,1436.7333333333333,0.0,30.537117669412392,32.98831442933833,0.0,32.801863090717845,4.345367904127591,0.0,8.283450703393813,0.0,
2024-07-17_08-50-53,2024-07-17_08-51-08,5,3,0.00920044642857043,-0.002511160714277594,3.997767857142857,31.645568,11.093565357142857,8.245,-11.8409794921875,45.00195678710938,-0.0024834399223436776,50346.066666666666,10841.866666666667,0.0,22857.93333333333,392.6,0.0,1462.6666666666667,0.0,39.47001674970718,49.70542112173351,0.0,35.18718200961479,3.805551500403358,0.0,12.020815280171314,0.0,
2024-07-17_08-51-09,2024-07-17_08-51-24,5,3,0.00920044642857043,-0.002511160714277594,3.997767857142857,31.645568,11.093565357142857,8.245,-10.2626103515625,45.00195678710938,-0.0024834399223436776,50382.33333333333,9691.466666666669,0.0,23348.133333333335,312.66666666666663,0.0,1485.2,0.0,31.858541502502444,49.83022286836691,0.0,14.771443922499495,5.775426872150274,0.0,4.949298491256666,0.0,
2024-07-17_08-51-25,2024-07-17_08-51-41,5,3,0.00920044642857043,-0.002511160714277594,3.997767857142857,31.645568,11.093565357142857,8.245,-8.683142578125,45.00195678710938,-0.0024834399223436776,50278.666666666664,8722.599999999999,0.0,23799.066666666666,244.0666666666667,0.0,1544.2666666666664,0.0,33.47901498617378,42.727872766042616,0.0,38.01262948021324,3.2324741126401784,0.0,10.111269840023944,0.0,
2024-07-17_08-51-42,2024-07-17_08-51-57,5,3,0.00920044642857043,-0.002511160714277594,3.997767857142857,31.645568,11.093565357142857,8.245,-7.1041630859375005,45.00195678710938,-0.0024834399223436776,50433.666666666664,7728.666666666667,0.0,24307.333333333336,178.66666666666666,0.0,1573.6666666666665,0.0,8.571917975446356,9.850549900047826,0.0,47.78295837546188,1.8885620632287075,0.0,10.106103766206527,0.0,
2024-07-17_08-51-58,2024-07-17_08-52-14,5,3,0.00920044642857043,-0.002511160714277594,3.997767857142857,31.645568,11.093565357142857,8.245,-5.5252446289062505,45.00195678710938,-0.0024834399223436776,50351.8,6970.533333333335,0.0,24704.333333333336,131.06666666666666,0.0,1605.6666666666667,0.0,84.99873201668616,37.835403761262796,0.0,54.0651869916718,3.213513134665341,0.0,5.799425258879817,0.0,
2024-07-17_08-52-15,2024-07-17_08-52-30,5,3,0.00920044642857043,-0.002511160714277594,3.997767857142857,31.645568,11.093565357142857,8.245,-3.9463261718750005,45.00195678710938,-0.0024834399223436776,50337.73333333334,6302.333333333333,0.0,25014.066666666666,85.06666666666666,0.0,1604.4,0.0,12.841512545040471,23.121658917800712,0.0,24.336392501765864,1.4079141387961907,0.0,8.585129261953165,0.0,
2024-07-17_08-52-31,2024-07-17_08-52-47,5,3,0.00920044642857043,-0.002511160714277594,3.997767857142857,31.645568,11.093565357142857,8.245,-2.3673466796875005,45.00195678710938,-0.0024834399223436776,50440.13333333334,5781.4,0.0,25214.2,51.4,0.0,1632.4666666666667,0.0,52.537774769947696,21.164803067566858,0.0,29.342536435087524,3.1996527589377224,0.0,9.984766174305495,0.0,
2024-07-17_08-52-48,2024-07-17_08-53-03,5,3,0.00920044642857043,-0.002511160714277594,3.997767857142857,31.645568,11.093565357142857,8.245,-0.7889165039062505,45.00195678710938,-0.0024834399223436776,50303.86666666666,5383.0666666666675,0.0,25505.26666666667,26.2,0.0,1658.1333333333332,0.0,37.7913276353775,7.176659699640482,0.0,46.37305251975544,1.3523641850067194,0.0,9.927850836017967,0.0,
