start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-06-04_16-37-36,2025-06-04_16-37-52,5,3,-0.029100446428572013,-0.002511160714277594,4.00390625,-0.002511160714277594,0.0,6.168,-14.99775604248049,45.00219741821289,-0.0010595703125204636,52299.33333333333,12787.133333333335,0.0,559.4666666666667,463.8666666666666,0.0,0.06666666666666667,0.0,47.77679585554295,12.848519153756184,0.0,3.776535743538287,5.356823270890642,0.0,0.06666666666666667,0.0,
2025-06-04_16-37-53,2025-06-04_16-38-09,5,3,-0.029100446428572013,-0.002511160714277594,4.00390625,-0.002511160714277594,0.0,6.168,-13.419859924316427,45.00219741821289,-0.0010595703125204636,52348.2,11581.0,0.0,550.6,389.33333333333337,0.0,0.3333333333333333,0.0,35.832108506198836,26.272080660317354,0.0,7.2098697784510755,7.003967129816891,0.0,0.14907119849998596,0.0,
2025-06-04_16-38-10,2025-06-04_16-38-25,5,3,-0.029100446428572013,-0.002511160714277594,4.00390625,-0.002511160714277594,0.0,6.168,-11.841437377929708,45.00219741821289,-0.0010595703125204636,52158.33333333333,10432.6,0.0,548.6,312.0666666666667,0.0,0.2,0.0,53.43147220713939,28.407236949606943,0.0,8.222867842520365,6.373905134740138,0.0,0.1333333333333333,0.0,
2025-06-04_16-38-26,2025-06-04_16-38-42,5,3,-0.029100446428572013,-0.002511160714277594,4.00390625,-0.002511160714277594,0.0,6.168,-10.262503662109395,45.00219741821289,-0.0010595703125204636,52299.53333333334,9371.666666666666,0.0,546.2666666666667,248.4,0.0,0.3333333333333333,0.0,29.107387378464594,23.946004073980877,0.0,6.926920110858955,4.907364080870934,0.0,0.10540925533894598,0.0,
2025-06-04_16-38-43,2025-06-04_16-38-58,5,3,-0.029100446428572013,-0.002511160714277594,4.00390625,-0.002511160714277594,0.0,6.168,-8.68355468750002,45.00219741821289,-0.0010595703125204636,52157.066666666666,8394.0,0.0,558.8,180.6,0.0,0.26666666666666666,0.0,52.513003680570364,30.968083928816334,0.0,5.125751977352532,3.0829279012724986,0.0,0.06666666666666665,0.0,
2025-06-04_16-38-59,2025-06-04_16-39-15,5,3,-0.029100446428572013,-0.002511160714277594,4.00390625,-0.002511160714277594,0.0,6.168,-7.104094543457052,45.00219741821289,-0.0010595703125204636,52236.2,7669.666666666667,0.0,565.3333333333333,127.06666666666668,0.0,0.06666666666666667,0.0,62.61998261116289,16.651659910584893,0.0,6.778233135887587,2.735365098523821,0.0,0.06666666666666667,0.0,
2025-06-04_16-39-16,2025-06-04_16-39-31,5,3,-0.029100446428572013,-0.002511160714277594,4.00390625,-0.002511160714277594,0.0,6.168,-5.525671997070333,45.00219741821289,-0.0010595703125204636,52347.8,6947.533333333335,0.0,539.2,82.2,0.0,0.13333333333333333,0.0,47.39580384614478,17.48859946110923,0.0,6.7811831153895685,1.5549205052920805,0.0,0.13333333333333333,0.0,
2025-06-04_16-39-32,2025-06-04_16-39-48,5,3,-0.029100446428572013,-0.002511160714277594,4.00390625,-0.002511160714277594,0.0,6.168,-3.9467382812500205,45.00219741821289,-0.0010595703125204636,52215.933333333334,6394.466666666667,0.0,548.5333333333333,49.06666666666667,0.0,0.2,0.0,52.767351016829416,28.924345762312054,0.0,9.231949354761909,1.1075498483890769,0.0,0.0816496580927726,0.0,
2025-06-04_16-39-49,2025-06-04_16-40-04,5,3,-0.029100446428572013,-0.002511160714277594,4.00390625,-0.002511160714277594,0.0,6.168,-2.3677969360351767,45.00219741821289,-0.0010595703125204636,52191.0,6003.8,0.0,546.5999999999999,25.266666666666666,0.0,0.06666666666666667,0.0,60.06255997800214,20.382617866974545,0.0,4.819405219180751,1.9131126469708992,0.0,0.06666666666666667,0.0,
2025-06-04_16-40-05,2025-06-04_16-40-21,5,3,-0.029100446428572013,-0.002511160714277594,4.00390625,-0.002511160714277594,0.0,6.168,-0.788336791992208,45.00219741821289,-0.0010595703125204636,52302.13333333333,5698.066666666667,0.0,549.8,10.799999999999999,0.0,0.4666666666666666,0.0,36.322414261414266,19.567944308088364,0.0,3.8421637422450132,1.1860297916438127,0.0,0.1699673171197595,0.0,
2025-06-04_16-40-22,2025-06-04_16-40-37,5,3,-0.029100446428572013,-0.002511160714277594,4.00390625,-0.002511160714277594,0.0,6.168,0.7906121826171812,45.00219741821289,-0.0010595703125204636,52437.133333333324,5607.7333333333345,0.0,557.4666666666666,5.933333333333334,0.0,0.4666666666666666,0.0,63.15875939953889,16.892930802886507,0.0,2.3981474331473147,0.32317865716108857,0.0,0.13333333333333336,0.0,
2025-06-04_16-40-38,2025-06-04_16-40-54,5,3,-0.029100446428572013,-0.002511160714277594,4.00390625,-0.002511160714277594,0.0,6.168,2.3690270996093687,45.00219741821289,-0.0010595703125204636,52345.26666666666,5650.133333333334,0.0,554.2,10.533333333333333,0.0,0.3333333333333333,0.0,46.86000426803237,20.764981205010674,0.0,3.745515837490065,0.9043106644167024,0.0,0.18257418583505536,0.0,
2025-06-04_16-40-55,2025-06-04_16-41-10,5,3,-0.029100446428572013,-0.002511160714277594,4.00390625,-0.002511160714277594,0.0,6.168,3.9479684448242125,45.00219741821289,-0.0010595703125204636,52283.26666666666,5868.933333333333,0.0,553.8666666666666,24.6,0.0,0.26666666666666666,0.0,90.75372046245738,24.639038581532006,0.0,3.3839490408561277,0.9568466729604884,0.0,0.06666666666666665,0.0,
2025-06-04_16-41-11,2025-06-04_16-41-27,5,3,-0.029100446428572013,-0.002511160714277594,4.00390625,-0.002511160714277594,0.0,6.168,5.527428588867181,45.00219741821289,-0.0010595703125204636,52218.666666666664,6202.9333333333325,0.0,547.2666666666667,53.0,0.0,0.06666666666666667,0.0,54.98363392865218,29.991739603504865,0.0,5.687608362826054,1.8287822299126941,0.0,0.06666666666666667,0.0,
2025-06-04_16-41-28,2025-06-04_16-41-43,5,3,-0.029100446428572013,-0.002511160714277594,4.00390625,-0.002511160714277594,0.0,6.168,7.106362304687494,45.00219741821289,-0.0010595703125204636,52303.933333333334,6705.2,0.0,559.6666666666666,88.73333333333332,0.0,0.26666666666666666,0.0,19.53043209398613,32.167720190001326,0.0,9.108603991099114,1.5070206073943075,0.0,0.12472191289246469,0.0,
2025-06-04_16-41-44,2025-06-04_16-42-00,5,3,-0.029100446428572013,-0.002511160714277594,4.00390625,-0.002511160714277594,0.0,6.168,8.684784851074212,45.00219741821289,-0.0010595703125204636,52340.8,7349.6,0.0,549.4666666666666,134.33333333333334,0.0,0.2,0.0,54.15795827433337,26.57471647178118,0.0,5.149541511414175,0.966091783079296,0.0,0.1333333333333333,0.0,
2025-06-04_16-42-01,2025-06-04_16-42-16,5,3,-0.029100446428572013,-0.002511160714277594,4.00390625,-0.002511160714277594,0.0,6.168,10.263726196289056,45.00219741821289,-0.0010595703125204636,52281.2,8167.533333333335,0.0,534.7333333333333,182.8,0.0,0.06666666666666667,0.0,57.29849716858073,28.47973938707218,0.0,3.951652256405613,2.833529404980455,0.0,0.06666666666666667,0.0,
2025-06-04_16-42-17,2025-06-04_16-42-32,5,3,-0.029100446428572013,-0.002511160714277594,4.00390625,-0.002511160714277594,0.0,6.168,11.843193969726556,45.00219741821289,-0.0010595703125204636,52363.0,9016.4,0.0,552.4666666666666,239.33333333333334,0.0,0.26666666666666666,0.0,28.151771209325357,31.731407504587974,0.0,4.701772715334796,3.103761159195941,0.0,0.12472191289246469,0.0,
2025-06-04_16-42-34,2025-06-04_16-42-49,5,3,-0.029100446428572013,-0.002511160714277594,4.00390625,-0.002511160714277594,0.0,6.168,13.421608886718744,45.00219741821289,-0.0010595703125204636,52290.53333333334,9989.466666666665,0.0,554.0666666666667,312.4,0.0,0.4666666666666666,0.0,35.451469175009954,34.84642497205898,0.0,6.934134569088081,3.7377949530587062,0.0,0.24944382578492938,0.0,
2025-06-04_16-42-50,2025-06-04_16-43-05,5,3,-0.029100446428572013,-0.002511160714277594,4.00390625,-0.002511160714277594,0.0,6.168,15.001069030761712,45.00219741821289,-0.0010595703125204636,52376.66666666667,11081.133333333335,0.0,549.5333333333333,379.33333333333337,0.0,0.13333333333333333,0.0,61.293193386832534,24.45031242699734,0.0,3.745515837490073,8.243515970479798,0.0,0.0816496580927726,0.0,
