start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-17_16-49-43,2023-07-17_16-49-58,5,3,-0.0026495535714730067,-0.005022321428555188,4.0078125,0.0,83.00194549560547,45.00192086791992,-0.003031005859384095,48622.46666666667,6019.400000000001,0.0,25106.533333333333,71.4,0.0,1476.4,0.0,37.532593243146664,13.590192542172902,0.0,55.92997606134106,1.7713773674115219,0.0,8.585129261953142,0.0,
2023-07-17_16-49-58,2023-07-17_16-50-14,5,3,-0.0026495535714730067,-0.005022321428555188,4.0078125,0.0,83.68436431884766,45.00192086791992,-0.003031005859384095,48630.0,5772.8,0.0,25231.399999999998,56.46666666666666,0.0,1523.4666666666667,0.0,118.37281031648439,23.5319168601096,0.0,12.429981675144955,2.576819745345025,0.0,10.172184295092839,0.0,
2023-07-17_16-50-15,2023-07-17_16-50-30,5,3,-0.0026495535714730067,-0.005022321428555188,4.0078125,0.0,84.3688735961914,45.00192086791992,-0.003031005859384095,48697.933333333334,5591.133333333333,0.0,25308.066666666666,44.46666666666666,0.0,1500.4,0.0,58.873159324848345,13.44974183973632,0.0,51.12874816469625,2.291530298972962,0.0,10.699117305231841,0.0,
2023-07-17_16-50-31,2023-07-17_16-50-46,5,3,-0.0026495535714730067,-0.005022321428555188,4.0078125,0.0,85.05284881591797,45.00192086791992,-0.003031005859384095,48624.933333333334,5417.333333333334,0.0,25413.73333333333,31.933333333333337,0.0,1496.5333333333333,0.0,38.976260581138796,14.405631614831112,0.0,52.90992345486822,1.57550697307953,0.0,14.653251440474843,0.0,
2023-07-17_16-50-47,2023-07-17_16-51-02,5,3,-0.0026495535714730067,-0.005022321428555188,4.0078125,0.0,85.73735046386719,45.00192086791992,-0.003031005859384095,48663.86666666667,5262.333333333334,0.0,25456.133333333335,22.866666666666667,0.0,1514.2666666666669,0.0,71.30307769576899,8.68907359849138,0.0,61.028645368839506,0.7859884081701065,0.0,9.735045511506936,0.0,
2023-07-17_16-51-03,2023-07-17_16-51-18,5,3,-0.0026495535714730067,-0.005022321428555188,4.0078125,0.0,86.42133331298828,45.00192086791992,-0.003031005859384095,48674.933333333334,5125.4,0.0,25448.0,18.4,0.0,1516.6666666666665,0.0,70.56607620600033,12.503510618133506,0.0,43.54448555468591,0.5999999999999999,0.0,6.363087999461319,0.0,
2023-07-17_16-51-19,2023-07-17_16-51-34,5,3,-0.0026495535714730067,-0.005022321428555188,4.0078125,0.0,87.10531616210938,45.00192086791992,-0.003031005859384095,49562.4,6168.733333333334,0.0,26070.533333333333,11.933333333333334,0.0,1515.7999999999997,0.0,383.05336732917885,482.11770577549026,0.0,260.9274611841385,0.6091888960832357,0.0,7.398648525237561,0.0,
2023-07-17_16-51-35,2023-07-17_16-51-50,5,3,-0.0026495535714730067,-0.005022321428555188,4.0078125,0.0,87.7898178100586,45.00192086791992,-0.003031005859384095,48931.066666666666,5327.800000000001,0.0,25847.266666666666,7.2,0.0,1528.8000000000002,0.0,211.7530112602363,198.57435215388045,0.0,132.42412502595175,0.6110100926607788,0.0,7.313305985971343,0.0,
2023-07-17_16-51-50,2023-07-17_16-52-06,5,3,-0.0026495535714730067,-0.005022321428555188,4.0078125,0.0,88.47431945800781,45.00192086791992,-0.003031005859384095,48699.8,4954.333333333333,0.0,25625.266666666666,4.333333333333334,0.0,1527.0,0.0,69.88264766338277,19.43307604175006,0.0,36.949424894036,0.5962847939999438,0.0,10.502909649764247,0.0,
2023-07-17_16-52-07,2023-07-17_16-52-22,5,3,-0.0026495535714730067,-0.005022321428555188,4.0078125,0.0,89.1583023071289,45.00192086791992,-0.003031005859384095,48673.26666666666,4959.0666666666675,0.0,25630.733333333334,5.466666666666667,0.0,1525.0666666666666,0.0,76.60420644092964,20.795138320717676,0.0,84.3469949408722,0.5830951894845299,0.0,7.175885543494513,0.0,
2023-07-17_16-52-23,2023-07-17_16-52-38,5,3,-0.0026495535714730067,-0.005022321428555188,4.0078125,0.0,89.84280395507812,45.00192086791992,-0.003031005859384095,48615.86666666667,4945.666666666666,0.0,25624.13333333333,5.7333333333333325,0.0,1520.5333333333333,0.0,32.575484988288444,20.605285190401503,0.0,60.40075422634268,0.7483314773547884,0.0,10.438497124692939,0.0,
2023-07-17_16-52-39,2023-07-17_16-52-54,5,3,-0.0026495535714730067,-0.005022321428555188,4.0078125,0.0,90.52677917480469,45.00192086791992,-0.003031005859384095,48554.0,4978.466666666665,0.0,25590.866666666665,11.066666666666666,0.0,1526.7333333333331,0.0,127.5453731901807,15.053829339333479,0.0,50.54454580972246,0.6944222218666553,0.0,3.807011076071795,0.0,
2023-07-17_16-52-55,2023-07-17_16-53-10,5,3,-0.0026495535714730067,-0.005022321428555188,4.0078125,0.0,91.21128845214844,45.00192086791992,-0.003031005859384095,48614.933333333334,5047.933333333333,0.0,25525.8,14.6,0.0,1532.2666666666667,0.0,54.93383899443678,18.359799079026452,0.0,53.9499356399577,1.2622730819174324,0.0,14.556938017469362,0.0,
2023-07-17_16-53-10,2023-07-17_16-53-26,5,3,-0.0026495535714730067,-0.005022321428555188,4.0078125,0.0,91.89527130126953,45.00192086791992,-0.003031005859384095,48586.066666666666,5129.466666666666,0.0,25497.73333333333,23.06666666666667,0.0,1513.4,0.0,22.24494948921633,16.644852390787733,0.0,50.20396177372626,2.331904324319027,0.0,12.331711605089993,0.0,
2023-07-17_16-53-27,2023-07-17_16-53-42,5,3,-0.0026495535714730067,-0.005022321428555188,4.0078125,0.0,92.57925415039062,45.00192086791992,-0.003031005859384095,48640.066666666666,5265.333333333334,0.0,25462.333333333332,30.26666666666667,0.0,1514.9333333333334,0.0,39.581196433548115,19.754043186705434,0.0,25.816661286850987,1.3556466271775167,0.0,8.971188450936797,0.0,
2023-07-17_16-53-43,2023-07-17_16-53-59,5,3,-0.0026495535714730067,-0.005022321428555188,4.0078125,0.0,93.26375579833984,45.00192086791992,-0.003031005859384095,48686.2,5437.599999999999,0.0,25385.133333333335,44.66666666666667,0.0,1509.9333333333332,0.0,77.09868135491466,20.697933337520443,0.0,57.68415919663101,2.4832774042918904,0.0,15.13068993066006,0.0,
2023-07-17_16-54-00,2023-07-17_16-54-15,5,3,-0.0026495535714730067,-0.005022321428555188,4.0078125,0.0,93.94773864746094,45.00192086791992,-0.003031005859384095,48497.8,5587.0666666666675,0.0,25303.06666666667,54.53333333333334,0.0,1480.8666666666666,0.0,22.021857828579872,14.021570683930008,0.0,38.11640066952829,1.8932629094883904,0.0,12.12279762357775,0.0,
2023-07-17_16-54-16,2023-07-17_16-54-31,5,3,-0.0026495535714730067,-0.005022321428555188,4.0078125,0.0,94.63224029541016,45.00192086791992,-0.003031005859384095,48680.66666666667,5773.6,0.0,25173.2,68.66666666666666,0.0,1480.4,0.0,36.77287647770347,18.278524132009203,0.0,47.978652660439636,0.9249624617007729,0.0,10.088166885569999,0.0,
2023-07-17_16-54-32,2023-07-17_16-54-48,5,3,-0.0026495535714730067,-0.005022321428555188,4.0078125,0.0,95.31621551513672,45.00192086791992,-0.003031005859384095,48604.53333333333,6004.466666666666,0.0,25061.333333333336,83.46666666666665,0.0,1491.7333333333333,0.0,81.86130547049194,23.19688676429558,0.0,43.30139848909151,2.680381399063284,0.0,12.031163239225412,0.0,
