start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-02-22_09-36-58,2025-02-22_09-37-02,2,1,0.014222767857141605,22.10753348214286,24.494977678571427,30.577488839285714,7.842632321428571,6.168,-99.04000000000002,0.465,-0.0019624953270067635,10768.0,16049.5,0.0,20905.5,158.0,0.0,16.0,0.0,1.0,63.49999999999999,0.0,241.49999999999997,5.0,0.0,0.0,0.0,
2025-02-22_09-37-02,2025-02-22_09-37-05,2,1,1.1141111607142857,22.10753348214286,24.494977678571427,30.577488839285714,7.842632321428571,6.168,-99.04000000000002,0.465,-0.0019624953270067635,11933.5,16512.0,0.0,20462.0,187.0,0.0,26.5,0.0,145.5,82.99999999999999,0.0,72.99999999999999,12.999999999999998,0.0,1.4999999999999998,0.0,
2025-02-22_09-37-05,2025-02-22_09-37-07,2,1,2.226555357142857,22.10753348214286,24.494977678571427,30.577488839285714,7.842632321428571,6.168,-99.04000000000002,0.465,-0.0019624953270067635,13162.5,17434.0,0.0,19991.5,220.5,0.0,16.5,0.0,17.5,16.999999999999996,0.0,95.5,18.5,0.0,0.5,0.0,
2025-02-22_09-37-07,2025-02-22_09-37-09,2,1,3.3289549107142857,22.10753348214286,24.494977678571427,30.577488839285714,7.842632321428571,6.168,-99.04000000000002,0.465,-0.0019624953270067635,14554.5,18246.0,0.0,19757.0,248.0,0.0,22.0,0.0,106.49999999999999,103.0,0.0,35.0,6.999999999999999,0.0,0.0,0.0,
2025-02-22_09-37-10,2025-02-22_09-37-12,2,1,4.441399107142857,22.10753348214286,24.494977678571427,30.577488839285714,7.842632321428571,6.168,-99.04000000000002,0.465,-0.0019624953270067635,15944.5,19298.0,0.0,18932.0,256.0,0.0,20.0,0.0,50.49999999999999,55.0,0.0,148.0,11.999999999999998,0.0,2.0,0.0,
2025-02-22_09-37-12,2025-02-22_09-37-15,2,1,5.556354464285714,22.10753348214286,24.494977678571427,30.577488839285714,7.842632321428571,6.168,-99.04000000000002,0.465,-0.0019624953270067635,17406.5,20437.5,0.0,18399.0,287.5,0.0,30.5,0.0,54.49999999999999,95.5,0.0,27.999999999999996,3.4999999999999996,0.0,0.5,0.0,
2025-02-22_09-37-15,2025-02-22_09-37-18,2,1,6.668798660714285,22.10753348214286,24.494977678571427,30.577488839285714,7.842632321428571,6.168,-99.04000000000002,0.465,-0.0019624953270067635,18988.5,21314.5,0.0,17696.5,323.0,0.0,31.5,0.0,53.49999999999999,34.5,0.0,140.5,1.0,0.0,2.5,0.0,
2025-02-22_09-37-18,2025-02-22_09-37-20,2,1,7.786265178571428,22.10753348214286,24.494977678571427,30.577488839285714,7.842632321428571,6.168,-99.04000000000002,0.465,-0.0019624953270067635,20679.0,22455.5,0.0,17446.0,371.0,0.0,41.0,0.0,93.99999999999999,72.5,0.0,9.0,11.999999999999998,0.0,2.0,0.0,
2025-02-22_09-37-20,2025-02-22_09-37-23,2,1,8.876108928571428,22.10753348214286,24.494977678571427,30.577488839285714,7.842632321428571,6.168,-99.04000000000002,0.465,-0.0019624953270067635,22332.5,23608.0,0.0,16494.0,401.0,0.0,38.0,0.0,131.5,65.0,0.0,120.99999999999999,10.999999999999998,0.0,2.0,0.0,
2025-02-22_09-37-23,2025-02-22_09-37-25,2,1,9.978508482142857,22.10753348214286,24.494977678571427,30.577488839285714,7.842632321428571,6.168,-99.04000000000002,0.465,-0.0019624953270067635,23984.0,24681.5,0.0,16071.5,476.0,0.0,38.0,0.0,47.99999999999999,113.49999999999999,0.0,55.49999999999999,1.0,0.0,8.0,0.0,
