start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-06-04_15-11-02,2025-06-04_15-11-08,5,1,-10.004040178571415,-0.002511160714277594,-0.006417410714277594,0.002511160714285714,-128.24497767857142,6.168,-99.04000000000002,0.465,-0.0004204101562663709,10818.8,58432.2,0.0,531.6,353.4,0.0,0.0,0.0,35.225558902592304,123.61529031636823,0.0,9.378699270154685,10.052860289489752,0.0,0.0,0.0,
2025-06-04_15-11-09,2025-06-04_15-11-14,5,1,-8.981997767857138,-0.002511160714277594,-0.006417410714277594,0.002511160714285714,-128.24497767857142,6.168,-99.04000000000002,0.465,-0.0004204101562663709,9815.0,58552.4,0.0,545.2,291.4,0.0,0.0,0.0,34.90128937446294,70.74291483957951,0.0,7.179136438319026,11.960769206033532,0.0,0.0,0.0,
2025-06-04_15-11-15,2025-06-04_15-11-20,5,1,-7.929821428571415,-0.002511160714277594,-0.006417410714277594,0.002511160714285714,-128.24497767857142,6.168,-99.04000000000002,0.465,-0.0004204101562663709,8925.6,58686.2,0.0,504.4,225.0,0.0,0.0,0.0,66.82559389934369,112.44171823660469,0.0,9.9929975482835,7.602631123499284,0.0,0.0,0.0,
2025-06-04_15-11-21,2025-06-04_15-11-26,5,1,-6.87011160714286,-0.002511160714277594,-0.006417410714277594,0.002511160714285714,-128.24497767857142,6.168,-99.04000000000002,0.465,-0.0004204101562663709,8269.2,58728.4,0.0,541.2,164.8,0.0,0.0,0.0,21.733384458017575,143.35466507930602,0.0,6.865857557508749,3.44093010681705,0.0,0.0,0.0,
2025-06-04_15-11-27,2025-06-04_15-11-32,5,1,-5.81542410714286,-0.002511160714277594,-0.006417410714277594,0.002511160714285714,-128.24497767857142,6.168,-99.04000000000002,0.465,-0.0004204101562663709,7668.2,59028.8,0.0,538.6,139.2,0.0,0.0,0.0,28.28851356999869,126.93321078425456,0.0,6.2337789502034795,3.878143885933063,0.0,0.0,0.0,
2025-06-04_15-11-32,2025-06-04_15-11-38,5,1,-4.768270089285693,-0.002511160714277594,-0.006417410714277594,0.002511160714285714,-128.24497767857142,6.168,-99.04000000000002,0.465,-0.0004204101562663709,7091.4,58894.4,0.0,541.4,96.2,0.0,0.0,0.0,48.80122949270848,56.24642210843281,0.0,6.896375859826667,2.7640549922170505,0.0,0.0,0.0,
2025-06-04_15-11-38,2025-06-04_15-11-44,5,1,-3.713582589285693,-0.002511160714277594,-0.006417410714277594,0.002511160714285714,-128.24497767857142,6.168,-99.04000000000002,0.465,-0.0004204101562663709,6702.2,58722.2,0.0,555.2,62.6,0.0,0.2,0.0,50.90520602060265,69.86515583608184,0.0,7.289718787443038,1.6911534525287761,0.0,0.20000000000000004,0.0,
2025-06-04_15-11-44,2025-06-04_15-11-49,5,1,-2.663917410714305,-0.002511160714277594,-0.006417410714277594,0.002511160714285714,-128.24497767857142,6.168,-99.04000000000002,0.465,-0.0004204101562663709,6436.8,59184.6,0.0,537.2,41.4,0.0,0.0,0.0,18.610212250267324,101.3472249250072,0.0,11.680753400359071,1.7204650534085253,0.0,0.0,0.0,
2025-06-04_15-11-50,2025-06-04_15-11-55,5,1,-1.59667410714286,-0.002511160714277594,-0.006417410714277594,0.002511160714285714,-128.24497767857142,6.168,-99.04000000000002,0.465,-0.0004204101562663709,6145.8,59258.0,0.0,535.8,23.2,0.0,0.0,0.0,41.91944656123217,85.58446120645966,0.0,10.528057750601484,0.7348469228349535,0.0,0.0,0.0,
2025-06-04_15-11-55,2025-06-04_15-12-00,5,1,-0.5495200892856928,-0.002511160714277594,-0.006417410714277594,0.002511160714285714,-128.24497767857142,6.168,-99.04000000000002,0.465,-0.0004204101562663709,6085.8,59199.2,0.0,537.2,19.6,0.0,0.0,0.0,32.5013845858911,81.40049139900815,0.0,15.150577546747186,2.039607805437114,0.0,0.0,0.0,
2025-06-04_15-12-01,2025-06-04_15-12-06,5,1,0.49763392857143174,-0.002511160714277594,-0.006417410714277594,0.002511160714285714,-128.24497767857142,6.168,-99.04000000000002,0.465,-0.0004204101562663709,6153.0,59131.4,0.0,521.2,21.2,0.0,0.0,0.0,27.179036038829633,156.06684465318057,0.0,10.650821564555477,1.3190905958272916,0.0,0.0,0.0,
2025-06-04_15-12-06,2025-06-04_15-12-12,5,1,1.5397656250000011,-0.002511160714277594,-0.006417410714277594,0.002511160714285714,-128.24497767857142,6.168,-99.04000000000002,0.465,-0.0004204101562663709,6182.4,59208.0,0.0,521.6,30.6,0.0,0.0,0.0,30.94123462307217,138.19840809502836,0.0,9.693296652842106,1.6309506430300091,0.0,0.0,0.0,
2025-06-04_15-12-12,2025-06-04_15-12-17,5,1,2.599475446428574,-0.002511160714277594,-0.006417410714277594,0.002511160714285714,-128.24497767857142,6.168,-99.04000000000002,0.465,-0.0004204101562663709,6510.0,59037.8,0.0,545.6,49.0,0.0,0.0,0.0,44.32493654817793,74.64408884834752,0.0,12.375782803523986,2.569046515733026,0.0,0.0,0.0,
2025-06-04_15-12-18,2025-06-04_15-12-23,5,1,3.656674107142859,-0.002511160714277594,-0.006417410714277594,0.002511160714285714,-128.24497767857142,6.168,-99.04000000000002,0.465,-0.0004204101562663709,6875.6,59151.8,0.0,529.8,67.4,0.0,0.0,0.0,32.498615355119355,111.00873839477683,0.0,22.53974267821174,1.833030277982336,0.0,0.0,0.0,
2025-06-04_15-12-24,2025-06-04_15-12-29,5,1,4.7138727678571435,-0.002511160714277594,-0.006417410714277594,0.002511160714285714,-128.24497767857142,6.168,-99.04000000000002,0.465,-0.0004204101562663709,7221.4,59068.0,0.0,537.8,110.6,0.0,0.0,0.0,52.257631021698636,109.08299592512115,0.0,4.963869458396343,6.029925372672534,0.0,0.0,0.0,
2025-06-04_15-12-30,2025-06-04_15-12-35,5,1,5.758515625000001,-0.002511160714277594,-0.006417410714277594,0.002511160714285714,-128.24497767857142,6.168,-99.04000000000002,0.465,-0.0004204101562663709,7785.6,58921.2,0.0,524.8,132.6,0.0,0.0,0.0,18.901322705038396,128.86558889013003,0.0,11.503912377969504,3.3555923471125038,0.0,0.0,0.0,
2025-06-04_15-12-35,2025-06-04_15-12-41,5,1,6.815714285714286,-0.002511160714277594,-0.006417410714277594,0.002511160714285714,-128.24497767857142,6.168,-99.04000000000002,0.465,-0.0004204101562663709,8541.0,58759.8,0.0,547.4,201.0,0.0,0.0,0.0,36.22982197030507,86.94906554989535,0.0,13.926952286842946,8.706319543871565,0.0,0.0,0.0,
2025-06-04_15-12-41,2025-06-04_15-12-46,5,1,7.870401785714286,-0.002511160714277594,-0.006417410714277594,0.002511160714285714,-128.24497767857142,6.168,-99.04000000000002,0.465,-0.0004204101562663709,9221.0,58681.6,0.0,545.4,229.8,0.0,0.0,0.0,46.11182061033808,97.26541009012402,0.0,5.67978872846517,7.045565981523414,0.0,0.0,0.0,
2025-06-04_15-12-47,2025-06-04_15-12-52,5,1,8.915044642857143,-0.002511160714277594,-0.006417410714277594,0.002511160714285714,-128.24497767857142,6.168,-99.04000000000002,0.465,-0.0004204101562663709,10101.0,58574.0,0.0,538.0,296.2,0.0,0.0,0.0,48.37768080427171,118.73036679805213,0.0,10.848963084092414,1.2409673645990857,0.0,0.0,0.0,
2025-06-04_15-12-53,2025-06-04_15-12-58,5,1,9.97224330357143,-0.002511160714277594,-0.006417410714277594,0.002511160714285714,-128.24497767857142,6.168,-99.04000000000002,0.465,-0.0004204101562663709,10958.6,58317.0,0.0,530.8,371.8,0.0,0.0,0.0,37.74864235969288,71.49335633469727,0.0,7.310266752998826,11.2,0.0,0.0,0.0,
