start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-17_15-52-42,2023-07-17_15-52-58,5,3,-4.013060267857156,-0.007533482142832781,4.005301339285714,-0.002511160714277594,0.0,0.0,0.0,0.00046069335940046585,-0.003549804687509095,5064.466666666666,59528.13333333334,0.0,696.4000000000001,90.66666666666667,0.0,0.06666666666666667,0.0,20.725346800475887,44.66164150837071,0.0,7.594149795145675,1.9407902170679516,0.0,0.06666666666666667,0.0,
2023-07-17_15-52-58,2023-07-17_15-53-13,5,3,-3.4832053571428787,-0.007533482142832781,4.005301339285714,-0.002511160714277594,0.0,0.0,0.0,0.00046069335940046585,-0.003549804687509095,4830.9333333333325,59428.73333333334,0.0,701.0666666666667,68.53333333333333,0.0,0.0,0.0,14.79504421532205,62.56635588628129,0.0,5.446099521676041,3.6478304054145205,0.0,0.0,0.0,
2023-07-17_15-53-14,2023-07-17_15-53-29,5,3,-2.9458169642857115,-0.007533482142832781,4.005301339285714,-0.002511160714277594,0.0,0.0,0.0,0.00046069335940046585,-0.003549804687509095,4666.999999999999,59525.866666666676,0.0,699.6666666666667,56.6,0.0,0.0,0.0,13.51172330484402,93.21275544568896,0.0,6.506407098647719,2.17408984788271,0.0,0.0,0.0,
2023-07-17_15-53-29,2023-07-17_15-53-44,5,3,-2.4134508928571563,-0.007533482142832781,4.005301339285714,-0.002511160714277594,0.0,0.0,0.0,0.00046069335940046585,-0.003549804687509095,4538.133333333333,59486.4,0.0,709.2666666666667,48.53333333333334,0.0,0.13333333333333333,0.0,20.511676891197514,67.80424437714566,0.0,4.001943972066028,0.7644896627453149,0.0,0.13333333333333333,0.0,
2023-07-17_15-53-44,2023-07-17_15-54-00,5,3,-1.8735513392857115,-0.007533482142832781,4.005301339285714,-0.002511160714277594,0.0,0.0,0.0,0.00046069335940046585,-0.003549804687509095,4416.333333333334,59604.333333333336,0.0,705.7333333333333,39.46666666666666,0.0,0.0,0.0,15.592733350292773,52.11227196053572,0.0,5.705163353392155,1.7275544693133242,0.0,0.0,0.0,
2023-07-17_15-54-00,2023-07-17_15-54-15,5,3,-1.343696428571434,-0.007533482142832781,4.005301339285714,-0.002511160714277594,0.0,0.0,0.0,0.00046069335940046585,-0.003549804687509095,4367.6,59500.2,0.0,716.4666666666667,36.06666666666667,0.0,0.0,0.0,18.033733821800514,50.888614749383194,0.0,6.978220085061491,1.1756794725698925,0.0,0.0,0.0,
2023-07-17_15-54-16,2023-07-17_15-54-31,5,3,-0.8063080357142667,-0.007533482142832781,4.005301339285714,-0.002511160714277594,0.0,0.0,0.0,0.00046069335940046585,-0.003549804687509095,4302.0666666666675,59456.46666666666,0.0,704.3333333333334,30.06666666666667,0.0,0.0,0.0,13.47977909479396,33.77352677928605,0.0,4.7760978958885705,0.9392668535736916,0.0,0.0,0.0,
2023-07-17_15-54-31,2023-07-17_15-54-47,5,3,-0.2789642857142667,-0.007533482142832781,4.005301339285714,-0.002511160714277594,0.0,0.0,0.0,0.00046069335940046585,-0.003549804687509095,4291.0,59437.066666666666,0.0,708.7333333333333,29.133333333333333,0.0,0.0,0.0,11.754904413808585,18.0013579734668,0.0,6.5442086356309455,1.3441230102437298,0.0,0.0,0.0,
2023-07-17_15-54-47,2023-07-17_15-55-02,5,3,0.2534017857142885,-0.007533482142832781,4.005301339285714,-0.002511160714277594,0.0,0.0,0.0,0.00046069335940046585,-0.003549804687509095,4300.133333333333,59400.46666666666,0.0,699.8,30.866666666666664,0.0,0.0,0.0,16.865349092147447,63.518553719891464,0.0,2.9128069699937997,1.2543258481484514,0.0,0.0,0.0,
2023-07-17_15-55-02,2023-07-17_15-55-18,5,3,0.7782343750000109,-0.007533482142832781,4.005301339285714,-0.002511160714277594,0.0,0.0,0.0,0.00046069335940046585,-0.003549804687509095,4312.133333333333,59411.4,0.0,699.4666666666667,33.199999999999996,0.0,0.0,0.0,10.357820448552172,15.512503917091404,0.0,5.5343372583254204,0.9865765724632489,0.0,0.0,0.0,
2023-07-17_15-55-19,2023-07-17_15-55-34,5,3,1.3030669642857142,-0.007533482142832781,4.005301339285714,-0.002511160714277594,0.0,0.0,0.0,0.00046069335940046585,-0.003549804687509095,4404.6,59410.06666666667,0.0,701.0666666666668,37.599999999999994,0.0,0.06666666666666667,0.0,13.084936207546237,70.91696239656342,0.0,8.557907324678027,1.5033296378372911,0.0,0.06666666666666667,0.0,
2023-07-17_15-55-35,2023-07-17_15-55-50,5,3,1.840455357142857,-0.007533482142832781,4.005301339285714,-0.002511160714277594,0.0,0.0,0.0,0.00046069335940046585,-0.003549804687509095,4455.4,59285.0,0.0,694.6,47.4,0.0,0.0,0.0,12.339367893048628,31.263041723059555,0.0,4.920930354674365,3.391820225844,0.0,0.0,0.0,
2023-07-17_15-55-50,2023-07-17_15-56-06,5,3,2.3778437500000003,-0.007533482142832781,4.005301339285714,-0.002511160714277594,0.0,0.0,0.0,0.00046069335940046585,-0.003549804687509095,4593.733333333333,59183.933333333334,0.0,698.5333333333334,53.93333333333334,0.0,0.0,0.0,20.18095912267571,66.00895562135591,0.0,4.2473521163190595,1.8086213288334048,0.0,0.0,0.0,
2023-07-17_15-56-06,2023-07-17_15-56-22,5,3,2.912720982142857,-0.007533482142832781,4.005301339285714,-0.002511160714277594,0.0,0.0,0.0,0.00046069335940046585,-0.003549804687509095,4716.266666666666,59166.066666666666,0.0,698.4,62.466666666666676,0.0,0.06666666666666667,0.0,15.738982036826812,28.99547857473218,0.0,2.823315623714627,0.8981462390204991,0.0,0.06666666666666667,0.0,
2023-07-17_15-56-22,2023-07-17_15-56-38,5,3,3.4601540178571426,-0.007533482142832781,4.005301339285714,-0.002511160714277594,0.0,0.0,0.0,0.00046069335940046585,-0.003549804687509095,4900.733333333334,59289.86666666666,0.0,705.2,75.53333333333333,0.0,0.0,0.0,20.53327922070786,43.92981776525916,0.0,8.988634799320497,1.7499206331208923,0.0,0.0,0.0,
2023-07-17_15-56-38,2023-07-17_15-56-53,5,3,3.984986607142857,-0.007533482142832781,4.005301339285714,-0.002511160714277594,0.0,0.0,0.0,0.00046069335940046585,-0.003549804687509095,5083.666666666666,59060.466666666674,0.0,697.4,92.0,0.0,0.06666666666666667,0.0,9.186342519680428,54.427178668178094,0.0,7.382712539740685,2.253392504154077,0.0,0.06666666666666667,0.0,
