start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-17_16-15-08,2023-07-17_16-15-24,5,3,-0.0051607142857506005,-0.007533482142832781,3.997767857142857,-0.005022321428555188,0.0,0.0,0.0,-3.999402832031251,-0.003031005859384095,5179.0,58847.73333333332,0.0,695.8,88.6,0.0,0.0,0.0,11.752541096385086,71.45304596570953,0.0,5.608129020547858,2.310363126821794,0.0,0.0,0.0,
2023-07-17_16-15-24,2023-07-17_16-15-40,5,3,-0.0051607142857506005,-0.007533482142832781,3.997767857142857,-0.005022321428555188,0.0,0.0,0.0,-3.464917968750001,-0.003031005859384095,4968.8,58885.0,0.0,713.2,73.06666666666668,0.0,0.0,0.0,14.349835461697015,36.703466381861126,0.0,4.138706185378328,1.8779421361337703,0.0,0.0,0.0,
2023-07-17_16-15-40,2023-07-17_16-15-55,5,3,-0.0051607142857506005,-0.007533482142832781,3.997767857142857,-0.005022321428555188,0.0,0.0,0.0,-2.932020019531251,-0.003031005859384095,4745.0666666666675,58905.73333333334,0.0,686.2666666666667,61.93333333333332,0.0,0.0,0.0,18.612540575285937,26.862075703695357,0.0,10.13103044007755,1.4118545723031586,0.0,0.0,0.0,
2023-07-17_16-15-56,2023-07-17_16-16-11,5,3,-0.0051607142857506005,-0.007533482142832781,3.997767857142857,-0.005022321428555188,0.0,0.0,0.0,-2.399122070312501,-0.003031005859384095,4593.466666666667,58923.8,0.0,686.1333333333334,51.06666666666667,0.0,0.0,0.0,24.048931600200234,74.91317937749298,0.0,7.71477658638134,2.0800641015763595,0.0,0.0,0.0,
2023-07-17_16-16-11,2023-07-17_16-16-27,5,3,-0.0051607142857506005,-0.007533482142832781,3.997767857142857,-0.005022321428555188,0.0,0.0,0.0,-1.865674804687501,-0.003031005859384095,4466.733333333333,58914.2,0.0,706.6666666666667,45.13333333333333,0.0,0.0,0.0,15.448984144956333,64.95379554387553,0.0,6.20662728236699,1.030641655582687,0.0,0.0,0.0,
2023-07-17_16-16-27,2023-07-17_16-16-43,5,3,-0.0051607142857506005,-0.007533482142832781,3.997767857142857,-0.005022321428555188,0.0,0.0,0.0,-1.332227539062501,-0.003031005859384095,4343.2,58941.2,0.0,705.0666666666667,36.666666666666664,0.0,0.0,0.0,16.190051815166534,57.07758851870951,0.0,4.138437708443444,1.0697871023920802,0.0,0.0,0.0,
2023-07-17_16-16-43,2023-07-17_16-16-58,5,3,-0.0051607142857506005,-0.007533482142832781,3.997767857142857,-0.005022321428555188,0.0,0.0,0.0,-0.7988107910156259,-0.003031005859384095,4263.466666666666,58978.06666666667,0.0,694.4666666666668,32.53333333333334,0.0,0.06666666666666667,0.0,16.061202390301453,66.41915720968173,0.0,7.830566887382919,1.162373051610846,0.0,0.06666666666666667,0.0,
2023-07-17_16-16-59,2023-07-17_16-17-14,5,3,-0.0051607142857506005,-0.007533482142832781,3.997767857142857,-0.005022321428555188,0.0,0.0,0.0,-0.2653635253906259,-0.003031005859384095,4216.466666666667,58951.666666666664,0.0,706.2,29.73333333333333,0.0,0.13333333333333333,0.0,23.229674508649005,66.8793274819993,0.0,2.8138546120540373,1.1025223605694148,0.0,0.13333333333333333,0.0,
2023-07-17_16-17-15,2023-07-17_16-17-30,5,3,-0.0051607142857506005,-0.007533482142832781,3.997767857142857,-0.005022321428555188,0.0,0.0,0.0,0.2675344238281241,-0.003031005859384095,4200.599999999999,58903.33333333333,0.0,694.4,28.133333333333333,0.0,0.0,0.0,18.656366205668288,87.08686595705657,0.0,7.043831028322272,1.9905331502444823,0.0,0.0,0.0,
2023-07-17_16-17-30,2023-07-17_16-17-46,5,3,-0.0051607142857506005,-0.007533482142832781,3.997767857142857,-0.005022321428555188,0.0,0.0,0.0,0.8009816894531241,-0.003031005859384095,4208.2,58993.6,0.0,691.0666666666667,31.6,0.0,0.0,0.0,18.830412752896468,79.27605775600412,0.0,8.931467466833825,1.7745108872274884,0.0,0.0,0.0,
