start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-20_14-41-24,2023-07-20_14-41-40,5,3,-0.01711607142857474,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,-3.998766113281249,-0.002850585937494543,4707.733333333333,59344.4,0.0,707.0666666666667,94.33333333333333,0.0,0.0,0.0,11.786715686172576,66.71443288791126,0.0,9.229421554042384,0.9486832980505149,0.0,0.0,0.0,
2023-07-20_14-41-40,2023-07-20_14-41-55,5,3,-0.01711607142857474,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,-3.577318359374999,-0.002850585937494543,4516.2,59289.066666666666,0.0,705.2,81.4,0.0,0.0,0.0,17.60574401217468,66.72892093304732,0.0,5.025048369032,1.3597385369580763,0.0,0.0,0.0,
2023-07-20_14-41-56,2023-07-20_14-42-11,5,3,-0.01711607142857474,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,-3.156419921874999,-0.002850585937494543,4373.2,59351.866666666676,0.0,707.7333333333333,67.66666666666667,0.0,0.0,0.0,10.530168300860447,59.44265210174327,0.0,7.9968049175210405,1.1401754250991392,0.0,0.0,0.0,
2023-07-20_14-42-12,2023-07-20_14-42-27,5,3,-0.01711607142857474,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,-2.735521484374999,-0.002850585937494543,4234.933333333333,59439.06666666667,0.0,695.7333333333333,59.2,0.0,0.0,0.0,16.68512311411972,78.01505552705201,0.0,2.6339661686851192,2.692788723816095,0.0,0.0,0.0,
2023-07-20_14-42-27,2023-07-20_14-42-42,5,3,-0.01711607142857474,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,-2.314073730468749,-0.002850585937494543,4089.0666666666666,59397.933333333334,0.0,719.9333333333333,54.13333333333334,0.0,0.06666666666666667,0.0,11.488835159986156,63.52562037827227,0.0,11.638251109547719,1.661993448309054,0.0,0.06666666666666667,0.0,
2023-07-20_14-42-43,2023-07-20_14-42-58,5,3,-0.01711607142857474,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,-1.893175292968749,-0.002850585937494543,3999.2666666666664,59475.26666666668,0.0,708.6,40.4,0.0,0.13333333333333333,0.0,22.89915088188008,47.19126567020189,0.0,1.8660713336371162,1.2666666666666673,0.0,0.0816496580927726,0.0,
2023-07-20_14-42-59,2023-07-20_14-43-14,5,3,-0.01711607142857474,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,-1.472246337890624,-0.002850585937494543,3894.7333333333336,59343.33333333333,0.0,698.9333333333333,40.2,0.0,0.06666666666666667,0.0,10.656453443805765,60.646425194638724,0.0,6.238233368154443,1.1035296904831238,0.0,0.06666666666666667,0.0,
2023-07-20_14-43-14,2023-07-20_14-43-30,5,3,-0.01711607142857474,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,-1.050829101562499,-0.002850585937494543,3842.533333333333,59370.2,0.0,700.6666666666667,32.53333333333333,0.0,0.0,0.0,27.152573031339408,60.27783819761432,0.0,6.797058187186563,2.0965580258021848,0.0,0.0,0.0,
2023-07-20_14-43-30,2023-07-20_14-43-45,5,3,-0.01711607142857474,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,-0.6299001464843741,-0.002850585937494543,3794.2,59418.066666666666,0.0,710.1333333333333,30.333333333333336,0.0,0.06666666666666667,0.0,9.17702445119211,31.135974192064864,0.0,5.60614741947524,1.382429423555182,0.0,0.06666666666666667,0.0,
2023-07-20_14-43-46,2023-07-20_14-44-01,5,3,-0.01711607142857474,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,-0.2090017089843741,-0.002850585937494543,3788.533333333333,59414.26666666666,0.0,714.7333333333333,28.4,0.0,0.0,0.0,11.497632606565379,54.74642555556585,0.0,3.9149286924114786,2.0800641015763595,0.0,0.0,0.0,
2023-07-20_14-44-02,2023-07-20_14-44-17,5,3,-0.01711607142857474,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,0.2119272460937509,-0.002850585937494543,3725.8,59377.8,0.0,712.6000000000001,27.333333333333332,0.0,0.06666666666666667,0.0,17.012609702479125,44.00714588437707,0.0,5.156872437178701,1.5740958604156794,0.0,0.06666666666666667,0.0,
2023-07-20_14-44-17,2023-07-20_14-44-33,5,3,-0.01711607142857474,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,0.6333444824218759,-0.002850585937494543,3785.0666666666666,59501.66666666667,0.0,705.5333333333333,34.33333333333333,0.0,0.0,0.0,19.250512258696457,46.90617111733705,0.0,10.927335753360317,1.584648576533962,0.0,0.0,0.0,
2023-07-20_14-44-33,2023-07-20_14-44-48,5,3,-0.01711607142857474,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,1.054273437500001,-0.002850585937494543,3784.4,59450.53333333334,0.0,725.1333333333333,33.333333333333336,0.0,0.0,0.0,13.211274646217054,50.928228365459965,0.0,10.24836030245272,1.211060141638997,0.0,0.0,0.0,
2023-07-20_14-44-49,2023-07-20_14-45-04,5,3,-0.01711607142857474,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,1.475171875000001,-0.002850585937494543,3838.8666666666663,59394.933333333334,0.0,701.3999999999999,38.53333333333333,0.0,0.0,0.0,14.636180436773065,22.49157867093987,0.0,7.69588634704715,2.3981474331473263,0.0,0.0,0.0,
2023-07-20_14-45-05,2023-07-20_14-45-20,5,3,-0.01711607142857474,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,1.896070312500001,-0.002850585937494543,3932.2666666666673,59542.8,0.0,707.8000000000001,43.66666666666667,0.0,0.06666666666666667,0.0,7.550864556827601,83.05557710887805,0.0,8.693292433441618,1.090361815586408,0.0,0.06666666666666667,0.0,
2023-07-20_14-45-20,2023-07-20_14-45-35,5,3,-0.01711607142857474,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,2.317518066406251,-0.002850585937494543,3990.066666666667,59468.333333333336,0.0,708.9999999999999,53.93333333333334,0.0,0.0,0.0,21.511598938453858,53.925565983739475,0.0,7.342418614537809,1.697710877099579,0.0,0.0,0.0,
2023-07-20_14-45-36,2023-07-20_14-45-51,5,3,-0.01711607142857474,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,2.738416503906251,-0.002850585937494543,4115.2,59370.6,0.0,709.5333333333334,60.53333333333334,0.0,0.06666666666666667,0.0,26.5862537580775,77.87200324178706,0.0,4.133333333333334,1.6451950239004083,0.0,0.06666666666666667,0.0,
2023-07-20_14-45-52,2023-07-20_14-46-07,5,3,-0.01711607142857474,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,3.159345458984376,-0.002850585937494543,4231.466666666666,59422.333333333336,0.0,702.1333333333333,69.86666666666667,0.0,0.0,0.0,11.664571240393817,56.340532084419486,0.0,3.0688398097290466,1.8457157599876173,0.0,0.0,0.0,
2023-07-20_14-46-08,2023-07-20_14-46-23,5,3,-0.01711607142857474,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,3.580243896484376,-0.002850585937494543,4417.133333333333,59413.2,0.0,700.6666666666666,81.8,0.0,0.0,0.0,20.351248937923547,83.63223727194595,0.0,7.631804796012821,1.041366623454221,0.0,0.0,0.0,
2023-07-20_14-46-23,2023-07-20_14-46-38,5,3,-0.01711607142857474,0.0,4.002790178571429,-0.11297767857143981,0.002511160714285714,14.806,-88.887,4.001691650390626,-0.002850585937494543,4605.8,59444.26666666668,0.0,704.6,94.33333333333334,0.0,0.06666666666666667,0.0,16.144004735160635,35.25264371488815,0.0,2.827248367818666,1.9119507199599985,0.0,0.06666666666666667,0.0,
