start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-20_14-10-55,2023-07-20_14-11-00,5,1,-0.010183035714305788,0.0,3.997767857142857,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.0008107910156240905,-4.001169433593759,4067.2,58925.6,0.0,697.0,65.2,0.0,0.0,0.0,27.29725260900811,60.61897392731091,0.0,10.019980039900279,1.6248076809271919,0.0,0.0,0.0,
2023-07-20_14-11-00,2023-07-20_14-11-05,5,1,-0.010183035714305788,0.0,3.997767857142857,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.0008107910156240905,-3.428659667968759,4005.4,59137.4,0.0,707.2,53.6,0.0,0.0,0.0,16.188267356329398,74.6931054381862,0.0,21.39018466493452,3.6959437225152656,0.0,0.0,0.0,
2023-07-20_14-11-06,2023-07-20_14-11-11,5,1,-0.010183035714305788,0.0,3.997767857142857,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.0008107910156240905,-2.857736816406259,3888.2,59066.2,0.0,719.2,45.0,0.0,0.0,0.0,32.95663817806664,84.78054022002927,0.0,10.096534058774822,4.289522117905443,0.0,0.0,0.0,
2023-07-20_14-11-12,2023-07-20_14-11-18,5,1,-0.010183035714305788,0.0,3.997767857142857,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.0008107910156240905,-2.286264648437509,3825.2,59027.2,0.0,704.6,44.8,0.0,0.0,0.0,25.83292472795134,60.95933070498723,0.0,12.30690862889621,3.44093010681705,0.0,0.0,0.0,
2023-07-20_14-11-18,2023-07-20_14-11-23,5,1,-0.010183035714305788,0.0,3.997767857142857,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.0008107910156240905,-1.715830078125009,3772.0,59084.2,0.0,709.6,36.6,0.0,0.0,0.0,20.873428084528904,96.62525549772171,0.0,11.604309544302927,0.9273618495495702,0.0,0.0,0.0,
2023-07-20_14-11-24,2023-07-20_14-11-29,5,1,-0.010183035714305788,0.0,3.997767857142857,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.0008107910156240905,-1.144907226562509,3757.0,59112.0,0.0,718.2,32.6,0.0,0.0,0.0,40.901100229700425,75.59298909290463,0.0,9.237965143904798,3.9698866482558417,0.0,0.0,0.0,
2023-07-20_14-11-30,2023-07-20_14-11-35,5,1,-0.010183035714305788,0.0,3.997767857142857,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.0008107910156240905,-0.5729162597656341,3752.4,59067.4,0.0,701.2,31.6,0.0,0.0,0.0,24.63858762185852,130.33978671150263,0.0,9.951884243699782,2.712931993250107,0.0,0.0,0.0,
2023-07-20_14-11-36,2023-07-20_14-11-41,5,1,-0.010183035714305788,0.0,3.997767857142857,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.0008107910156240905,-0.003031005859384095,3723.4,59337.4,0.0,701.8,32.0,0.0,0.0,0.0,29.8204627730691,90.24444581247091,0.0,10.836973747315252,2.701851217221259,0.0,0.0,0.0,
2023-07-20_14-11-41,2023-07-20_14-11-47,5,1,-0.010183035714305788,0.0,3.997767857142857,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.0008107910156240905,0.5684411621093659,3768.8,59110.6,0.0,721.2,25.2,0.0,0.0,0.0,28.283210567401998,76.28407435369456,0.0,12.630914456206247,1.3564659966250534,0.0,0.0,0.0,
2023-07-20_14-11-47,2023-07-20_14-11-53,5,1,-0.010183035714305788,0.0,3.997767857142857,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.0008107910156240905,1.139364013671866,3817.2,59224.4,0.0,705.2,31.6,0.0,0.0,0.0,33.93287491504367,44.755558314023965,0.0,7.7291655435758395,1.7776388834631178,0.0,0.0,0.0,
