start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-20_14-54-41,2023-07-20_14-54-57,5,3,-3.996040178571434,0.0,3.995256696428571,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.00122851562497317,-0.003632568359364541,4567.066666666667,58648.53333333334,0.0,707.6666666666666,91.4,0.0,0.0,0.0,4.398737192523401,94.09732550219846,0.0,7.536577472566709,1.5613384571507147,0.0,0.0,0.0,
2023-07-20_14-54-57,2023-07-20_14-55-13,5,3,-3.5867209821428787,0.0,3.995256696428571,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.00122851562497317,-0.003632568359364541,4382.666666666667,58722.86666666666,0.0,702.9333333333333,76.33333333333334,0.0,0.06666666666666667,0.0,7.490735018081435,86.55573669928245,0.0,4.733333333333341,3.5465162875387684,0.0,0.06666666666666667,0.0,
2023-07-20_14-55-13,2023-07-20_14-55-28,5,3,-3.169868303571434,0.0,3.995256696428571,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.00122851562497317,-0.003632568359364541,4208.266666666666,58709.53333333334,0.0,699.7333333333333,66.66666666666666,0.0,0.06666666666666667,0.0,18.35344351583347,96.12917235562608,0.0,5.184806864505385,2.687419249432849,0.0,0.06666666666666667,0.0,
2023-07-20_14-55-29,2023-07-20_14-55-44,5,3,-2.7454821428571563,0.0,3.995256696428571,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.00122851562497317,-0.003632568359364541,4103.199999999999,58722.2,0.0,729.0,56.4,0.0,0.0,0.0,32.034634035333895,67.06651756113311,0.0,20.348355106876717,1.6103829772241554,0.0,0.0,0.0,
2023-07-20_14-55-44,2023-07-20_14-55-59,5,3,-2.3210959821428787,0.0,3.995256696428571,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.00122851562497317,-0.003632568359364541,3975.2,58765.66666666667,0.0,708.5333333333333,48.26666666666667,0.0,0.0,0.0,21.08991333420891,95.33613049509465,0.0,9.407798183776404,2.57638851452528,0.0,0.0,0.0,
2023-07-20_14-56-00,2023-07-20_14-56-15,5,3,-1.9017321428571563,0.0,3.995256696428571,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.00122851562497317,-0.003632568359364541,3866.666666666667,58722.06666666667,0.0,695.4666666666666,40.8,0.0,0.13333333333333333,0.0,17.642436213730708,82.75716820245177,0.0,6.9286843387952635,1.5369522511198,0.0,0.0816496580927726,0.0,
2023-07-20_14-56-15,2023-07-20_14-56-31,5,3,-1.487390624999989,0.0,3.995256696428571,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.00122851562497317,-0.003632568359364541,3823.4666666666662,58674.53333333334,0.0,707.2666666666667,35.93333333333333,0.0,0.0,0.0,20.45879327385223,68.1105800233052,0.0,3.8835836829173953,1.5825436627292286,0.0,0.0,0.0,
2023-07-20_14-56-31,2023-07-20_14-56-46,5,3,-1.0579821428571563,0.0,3.995256696428571,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.00122851562497317,-0.003632568359364541,3755.4666666666662,58768.0,0.0,705.8,32.733333333333334,0.0,0.0,0.0,16.763253463056206,57.56976444087496,0.0,8.71053002597048,0.8459051693633013,0.0,0.0,0.0,
2023-07-20_14-56-47,2023-07-20_14-57-02,5,3,-0.6335959821428787,0.0,3.995256696428571,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.00122851562497317,-0.003632568359364541,3718.0,58715.26666666666,0.0,705.6,26.46666666666667,0.0,0.0,0.0,23.98911790328645,71.82087285586164,0.0,8.530598520098764,1.3190905958272916,0.0,0.0,0.0,
2023-07-20_14-57-03,2023-07-20_14-57-18,5,3,-0.2192544642857115,0.0,3.995256696428571,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.00122851562497317,-0.003632568359364541,3698.2666666666673,58547.33333333333,0.0,708.5333333333334,26.0,0.0,0.0,0.0,15.811528845891054,86.60690247062071,0.0,7.55763043405655,0.8881941729649485,0.0,0.0,0.0,
2023-07-20_14-57-18,2023-07-20_14-57-34,5,3,0.20262053571428584,0.0,3.995256696428571,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.00122851562497317,-0.003632568359364541,3694.3333333333335,58614.0,0.0,699.0,25.73333333333333,0.0,0.0,0.0,13.263148612268164,54.52012880069535,0.0,4.784233364802437,1.8601075237738274,0.0,0.0,0.0,
2023-07-20_14-57-34,2023-07-20_14-57-50,5,3,0.6169620535714286,0.0,3.995256696428571,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.00122851562497317,-0.003632568359364541,3708.8666666666663,58643.53333333334,0.0,711.4666666666666,26.53333333333333,0.0,0.06666666666666667,0.0,14.608445046159662,54.69029976960149,0.0,5.687803715944413,1.2092238098144703,0.0,0.06666666666666667,0.0,
2023-07-20_14-57-50,2023-07-20_14-58-05,5,3,1.0363258928571428,0.0,3.995256696428571,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.00122851562497317,-0.003632568359364541,3722.4,58795.533333333326,0.0,701.4666666666666,31.866666666666667,0.0,0.0,0.0,21.517796252301373,73.59276836453064,0.0,7.433109114705049,0.6798692684790381,0.0,0.0,0.0,
2023-07-20_14-58-06,2023-07-20_14-58-21,5,3,1.4531785714285714,0.0,3.995256696428571,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.00122851562497317,-0.003632568359364541,3817.0666666666666,58721.0,0.0,706.2,33.400000000000006,0.0,0.0,0.0,23.066907513193524,60.218860094750426,0.0,4.899659852139392,1.1803954139750519,0.0,0.0,0.0,
2023-07-20_14-58-21,2023-07-20_14-58-37,5,3,1.8725424107142858,0.0,3.995256696428571,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.00122851562497317,-0.003632568359364541,3876.4666666666662,58640.4,0.0,714.3333333333334,38.06666666666667,0.0,0.0,0.0,10.070087718916179,65.11847322807537,0.0,3.07679486912383,0.8717797887081346,0.0,0.0,0.0,
2023-07-20_14-58-37,2023-07-20_14-58-52,5,3,2.2868839285714286,0.0,3.995256696428571,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.00122851562497317,-0.003632568359364541,3956.7333333333327,58646.866666666676,0.0,704.2,44.733333333333334,0.0,0.2,0.0,14.446222112833942,56.08907598137467,0.0,7.611832893594031,1.1614167593456235,0.0,0.1333333333333333,0.0,
2023-07-20_14-58-53,2023-07-20_14-59-08,5,3,2.7137812500000003,0.0,3.995256696428571,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.00122851562497317,-0.003632568359364541,4062.6,58709.46666666666,0.0,715.6666666666667,55.333333333333336,0.0,0.0,0.0,15.154537274361111,61.17248836963624,0.0,6.019413038937699,2.1291625896895083,0.0,0.0,0.0,
2023-07-20_14-59-08,2023-07-20_14-59-24,5,3,3.1356562500000003,0.0,3.995256696428571,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.00122851562497317,-0.003632568359364541,4212.666666666666,58765.2,0.0,703.3999999999999,62.6,0.0,0.0,0.0,19.415915579178268,84.042885877787,0.0,7.068238818828915,1.4544949486180954,0.0,0.0,0.0,
2023-07-20_14-59-24,2023-07-20_14-59-39,5,3,3.565064732142857,0.0,3.995256696428571,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.00122851562497317,-0.003632568359364541,4316.000000000001,58595.73333333332,0.0,706.4666666666667,75.26666666666667,0.0,0.0,0.0,19.366924840505188,100.90999289796235,0.0,7.784314713290791,1.0873004286866734,0.0,0.0,0.0,
2023-07-20_14-59-40,2023-07-20_14-59-55,5,3,3.986939732142857,0.0,3.995256696428571,-0.1154888392857174,0.002511160714285714,14.806,-88.887,0.00122851562497317,-0.003632568359364541,4495.266666666666,58717.06666666667,0.0,702.4666666666667,86.0,0.0,0.0,0.0,12.675172582651483,33.12072194596975,0.0,9.15217035583486,2.2558565754251494,0.0,0.0,0.0,
