start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-06-04_15-40-39,2025-06-04_15-40-54,5,3,-0.032220982142860066,-0.002511160714277594,4.008928571428573,0.0,0.005022321428555188,6.168,-99.04000000000002,-3.9987426757812727,0.0006171874999836291,7238.0,58964.666666666664,0.0,526.5333333333334,109.66666666666667,0.0,0.0,0.0,25.23929916265941,61.69521861538342,0.0,7.911033083260648,3.483293460696834,0.0,0.0,0.0,
2025-06-04_15-40-55,2025-06-04_15-41-11,5,3,-0.032220982142860066,-0.002511160714277594,4.008928571428573,0.0,0.005022321428555188,6.168,-99.04000000000002,-3.5767761230468977,0.0006171874999836291,6988.0666666666675,59015.4,0.0,525.0,104.26666666666665,0.0,0.0,0.0,6.504186685854295,69.83435957877525,0.0,2.9646060259145566,1.6275407487644924,0.0,0.0,0.0,
2025-06-04_15-41-11,2025-06-04_15-41-27,5,3,-0.032220982142860066,-0.002511160714277594,4.008928571428573,0.0,0.005022321428555188,6.168,-99.04000000000002,-3.1563964843750227,0.0006171874999836291,6831.133333333333,59218.666666666664,0.0,530.5333333333333,94.46666666666667,0.0,0.0,0.0,32.26084658254068,30.57359063709109,0.0,3.7941475400352496,1.5549205052920794,0.0,0.0,0.0,
2025-06-04_15-41-27,2025-06-04_15-41-43,5,3,-0.032220982142860066,-0.002511160714277594,4.008928571428573,0.0,0.005022321428555188,6.168,-99.04000000000002,-2.7354675292968977,0.0006171874999836291,6667.533333333335,59120.4,0.0,533.2666666666667,84.2,0.0,0.0,0.0,18.18686950033528,52.25752471069442,0.0,4.564841484408608,1.4817407180595257,0.0,0.0,0.0,
2025-06-04_15-41-43,2025-06-04_15-41-59,5,3,-0.032220982142860066,-0.002511160714277594,4.008928571428573,0.0,0.005022321428555188,6.168,-99.04000000000002,-2.3140502929687727,0.0006171874999836291,6565.0666666666675,59091.866666666676,0.0,530.3333333333333,75.8,0.0,0.06666666666666667,0.0,23.98735778140935,52.39991518228932,0.0,1.29529061518169,2.845268977716439,0.0,0.06666666666666667,0.0,
2025-06-04_15-41-59,2025-06-04_15-42-15,5,3,-0.032220982142860066,-0.002511160714277594,4.008928571428573,0.0,0.005022321428555188,6.168,-99.04000000000002,-1.8931213378906477,0.0006171874999836291,6456.4,59122.666666666664,0.0,537.1333333333334,71.4,0.0,0.06666666666666667,0.0,13.255774423079032,58.615223657719625,0.0,6.064102022008975,1.799382610168771,0.0,0.06666666666666667,0.0,
2025-06-04_15-42-15,2025-06-04_15-42-30,5,3,-0.032220982142860066,-0.002511160714277594,4.008928571428573,0.0,0.005022321428555188,6.168,-99.04000000000002,-1.4722229003906477,0.0006171874999836291,6331.266666666666,59047.6,0.0,530.5333333333333,66.4,0.0,0.0,0.0,18.64981382093539,63.69915401496443,0.0,8.863533280933858,2.2861904265976323,0.0,0.0,0.0,
2025-06-04_15-42-31,2025-06-04_15-42-46,5,3,-0.032220982142860066,-0.002511160714277594,4.008928571428573,0.0,0.005022321428555188,6.168,-99.04000000000002,-1.0513244628906477,0.0006171874999836291,6314.666666666666,59090.4,0.0,531.7333333333333,61.6,0.0,0.0,0.0,26.3369195870232,62.4922572981826,0.0,3.575223380744499,1.1323525167642015,0.0,0.0,0.0,
2025-06-04_15-42-47,2025-06-04_15-43-02,5,3,-0.032220982142860066,-0.002511160714277594,4.008928571428573,0.0,0.005022321428555188,6.168,-99.04000000000002,-0.6298767089843977,0.0006171874999836291,6232.866666666667,58907.2,0.0,533.8666666666666,57.4,0.0,0.0,0.0,22.30037368894666,79.44841792704942,0.0,4.872371086031934,1.521694961401777,0.0,0.0,0.0,
2025-06-04_15-43-03,2025-06-04_15-43-18,5,3,-0.032220982142860066,-0.002511160714277594,4.008928571428573,0.0,0.005022321428555188,6.168,-99.04000000000002,-0.20897827148439774,0.0006171874999836291,6198.866666666667,58953.06666666667,0.0,532.0666666666667,58.6,0.0,0.0,0.0,22.041274413648978,82.47453479037564,0.0,4.555094827650571,0.5811865258054226,0.0,0.0,0.0,
