start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-20_13-44-40,2023-07-20_13-44-55,5,3,-0.010183035714305788,0.0,3.997767857142857,-0.117999999999995,0.005022321428571428,4.000854736328108,-3.9977254028320317,44.99983804321289,-0.002512207031259095,48981.2,6914.266666666667,0.0,23375.533333333333,178.66666666666666,0.0,1403.0,0.0,43.97797428511565,18.34345175320677,0.0,43.64052652702045,4.499382673705856,0.0,4.500617241618677,0.0,
2023-07-20_13-44-55,2023-07-20_13-45-11,5,3,-0.010183035714305788,0.0,3.997767857142857,-0.117999999999995,0.005022321428571428,4.000854736328108,-3.428343688964844,44.99983804321289,-0.002512207031259095,49142.73333333333,6688.333333333333,0.0,23622.8,151.06666666666666,0.0,1411.0,0.0,42.272186810925504,15.768815921164025,0.0,41.60843931490617,3.5549652287719726,0.0,4.217687623436435,0.0,
2023-07-20_13-45-12,2023-07-20_13-45-27,5,3,-0.010183035714305788,0.0,3.997767857142857,-0.117999999999995,0.005022321428571428,4.000854736328108,-2.8563679809570317,44.99983804321289,-0.002512207031259095,48937.8,6398.266666666667,0.0,23658.533333333333,128.13333333333333,0.0,1406.7333333333333,0.0,78.01257733354524,30.82682814259904,0.0,56.426412255255066,1.2762793146051084,0.0,7.75986826921406,0.0,
2023-07-20_13-45-27,2023-07-20_13-45-43,5,3,-0.010183035714305788,0.0,3.997767857142857,-0.117999999999995,0.005022321428571428,4.000854736328108,-2.285948669433594,44.99983804321289,-0.002512207031259095,49009.2,6221.933333333333,0.0,23714.066666666666,126.0,0.0,1413.7333333333333,0.0,47.777214466963926,24.978968931660972,0.0,22.35605809022108,1.6193277068654839,0.0,9.261269411431204,0.0,
2023-07-20_13-45-43,2023-07-20_13-45-59,5,3,-0.010183035714305788,0.0,3.997767857142857,-0.117999999999995,0.005022321428571428,4.000854736328108,-1.7139577026367192,44.99983804321289,-0.002512207031259095,48968.73333333333,6010.866666666667,0.0,23863.533333333333,109.53333333333335,0.0,1426.5333333333333,0.0,67.85780885220437,15.808085132474247,0.0,32.46529771241214,3.7276742823851374,0.0,7.7406574512619715,0.0,
2023-07-20_13-45-59,2023-07-20_13-46-15,5,3,-0.010183035714305788,0.0,3.997767857142857,-0.117999999999995,0.005022321428571428,4.000854736328108,-1.143027221679688,44.99983804321289,-0.002512207031259095,49032.66666666667,5835.8,0.0,23877.4,98.66666666666667,0.0,1433.5333333333333,0.0,18.11813088225957,19.58048915516545,0.0,47.93854862680417,2.523225449036741,0.0,8.124448699245177,0.0,
2023-07-20_13-46-15,2023-07-20_13-46-30,5,3,-0.010183035714305788,0.0,3.997767857142857,-0.117999999999995,0.005022321428571428,4.000854736328108,-0.5710438842773442,44.99983804321289,-0.002512207031259095,48951.53333333333,5686.666666666666,0.0,23989.8,89.26666666666668,0.0,1412.4,0.0,56.80107588965337,13.708472643668982,0.0,35.71034708440829,1.6546231527987796,0.0,9.493506552726814,0.0,
2023-07-20_13-46-31,2023-07-20_13-46-46,5,3,-0.010183035714305788,0.0,3.997767857142857,-0.117999999999995,0.005022321428571428,4.000854736328108,0.00042065429687454525,44.99983804321289,-0.002512207031259095,48952.066666666666,5526.8,0.0,24072.6,78.13333333333333,0.0,1434.7999999999997,0.0,114.41869505364042,22.915690888316757,0.0,35.43403887663853,1.8275666882497066,0.0,9.342019767337959,0.0,
2023-07-20_13-46-47,2023-07-20_13-47-02,5,3,-0.010183035714305788,0.0,3.997767857142857,-0.117999999999995,0.005022321428571428,4.000854736328108,0.571877563476562,44.99983804321289,-0.002512207031259095,48973.6,5421.133333333333,0.0,24139.133333333335,65.33333333333333,0.0,1444.6,0.0,105.06465734119321,14.105396918279911,0.0,38.72504214186053,2.4562844569254043,0.0,4.413867037216037,0.0,
2023-07-20_13-47-03,2023-07-20_13-47-18,5,3,-0.010183035714305788,0.0,3.997767857142857,-0.117999999999995,0.005022321428571428,4.000854736328108,1.1433344726562495,44.99983804321289,-0.002512207031259095,48964.66666666667,5295.333333333333,0.0,24151.466666666667,62.06666666666668,0.0,1444.6,0.0,90.057512488163,11.973582031567133,0.0,58.05979676161469,3.2649655434629015,0.0,14.075747463870838,0.0,
2023-07-20_13-47-18,2023-07-20_13-47-34,5,3,-0.010183035714305788,0.0,3.997767857142857,-0.117999999999995,0.005022321428571428,4.000854736328108,1.7147990112304683,44.99983804321289,-0.002512207031259095,48984.333333333336,5179.533333333334,0.0,24237.733333333334,52.46666666666666,0.0,1453.2666666666667,0.0,37.80667195673837,13.97601119378797,0.0,37.324463231981696,2.0237478982214046,0.0,4.383555127468515,0.0,
2023-07-20_13-47-34,2023-07-20_13-47-50,5,3,-0.010183035714305788,0.0,3.997767857142857,-0.117999999999995,0.005022321428571428,4.000854736328108,2.286263549804687,44.99983804321289,-0.002512207031259095,48996.86666666667,5090.933333333333,0.0,24309.26666666667,48.86666666666667,0.0,1462.2666666666669,0.0,31.66642105167927,22.26616765907918,0.0,32.950029505972516,1.0143416036468618,0.0,9.673216172044919,0.0,
2023-07-20_13-47-50,2023-07-20_13-48-05,5,3,-0.010183035714305788,0.0,3.997767857142857,-0.117999999999995,0.005022321428571428,4.000854736328108,2.857728088378906,44.99983804321289,-0.002512207031259095,48999.86666666666,5085.266666666666,0.0,24317.333333333336,44.0,0.0,1455.1333333333334,0.0,48.5923633689259,24.408650561270832,0.0,60.78971038661791,2.1883530082893126,0.0,9.998110932682353,0.0,
2023-07-20_13-48-06,2023-07-20_13-48-22,5,3,-0.010183035714305788,0.0,3.997767857142857,-0.117999999999995,0.005022321428571428,4.000854736328108,3.4291849975585933,44.99983804321289,-0.002512207031259095,48918.53333333334,5025.066666666667,0.0,24306.800000000003,38.8,0.0,1441.0666666666668,0.0,35.89948931855884,18.446740151642565,0.0,55.85164873722784,1.1382247385975914,0.0,14.42351475118939,0.0,
