start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2023-07-20_17-03-43,2023-07-20_17-03-59,5,3,-0.008316964285711492,0.0,4.000279017857142,-4.002479910714271,0.001251220703125,0.0001218261718776148,45.000248138427736,-0.002594970703114541,48757.200000000004,5153.266666666666,0.0,24011.799999999996,68.06666666666666,0.0,1468.4,0.0,38.819754421342935,23.94192046506616,0.0,38.1585289723455,1.9955506062794355,0.0,6.9621197282947564,0.0,
2023-07-20_17-03-59,2023-07-20_17-04-16,5,3,-0.008316964285711492,0.0,4.000279017857142,-3.575582589285716,0.001251220703125,0.0001218261718776148,45.000248138427736,-0.002594970703114541,48655.66666666667,4937.533333333334,0.0,24128.26666666667,51.00000000000001,0.0,1477.0666666666668,0.0,71.66767441151966,12.658155034952275,0.0,38.29743246398301,2.041241452319315,0.0,8.482924024179393,0.0,
2023-07-20_17-04-17,2023-07-20_17-04-32,5,3,-0.008316964285711492,0.0,4.000279017857142,-3.161241071428549,0.001251220703125,0.0001218261718776148,45.000248138427736,-0.002594970703114541,48756.73333333334,4759.9333333333325,0.0,24116.533333333333,40.2,0.0,1482.5333333333333,0.0,71.7721239603363,23.38741351905149,0.0,49.12734020436643,1.6076207402383325,0.0,9.269184310271207,0.0,
2023-07-20_17-04-33,2023-07-20_17-04-48,5,3,-0.008316964285711492,0.0,4.000279017857142,-2.739366071428549,0.001251220703125,0.0001218261718776148,45.000248138427736,-0.002594970703114541,48723.6,4618.733333333334,0.0,24239.0,32.6,0.0,1485.2,0.0,37.73127202850254,21.97129440378464,0.0,24.169999770146877,2.090720237408896,0.0,6.83747841759747,0.0,
2023-07-20_17-04-48,2023-07-20_17-05-04,5,3,-0.008316964285711492,0.0,4.000279017857142,-2.3200022321428833,0.001251220703125,0.0001218261718776148,45.000248138427736,-0.002594970703114541,48725.13333333333,4512.266666666666,0.0,24278.666666666664,26.6,0.0,1486.8,0.0,56.31484903843918,26.001581148503657,0.0,48.08822909795863,1.071862346054235,0.0,6.796731240497548,0.0,
2023-07-20_17-05-04,2023-07-20_17-05-20,5,3,-0.008316964285711492,0.0,4.000279017857142,-1.888082589285716,0.001251220703125,0.0001218261718776148,45.000248138427736,-0.002594970703114541,48676.8,4392.933333333333,0.0,24334.4,16.533333333333335,0.0,1486.8000000000002,0.0,49.71212684602838,22.813348918755633,0.0,21.472307747422025,0.9463379711052259,0.0,7.517091636175962,0.0,
2023-07-20_17-05-20,2023-07-20_17-05-35,5,3,-0.008316964285711492,0.0,4.000279017857142,-1.4687187499999936,0.001251220703125,0.0001218261718776148,45.000248138427736,-0.002594970703114541,48732.0,4360.199999999999,0.0,24333.733333333334,12.466666666666665,0.0,1497.9333333333332,0.0,34.40219631231602,10.45976417834866,0.0,8.24715439139775,1.2892719737209142,0.0,13.380499907618457,0.0,
2023-07-20_17-05-36,2023-07-20_17-05-51,5,3,-0.008316964285711492,0.0,4.000279017857142,-1.0543772321428833,0.001251220703125,0.0001218261718776148,45.000248138427736,-0.002594970703114541,48709.13333333333,4354.066666666667,0.0,24339.066666666666,9.133333333333333,0.0,1485.3333333333335,0.0,81.30563736092677,49.47708785106723,0.0,41.835843218199614,0.6377042156569663,0.0,7.796722958326073,0.0,
2023-07-20_17-05-51,2023-07-20_17-06-07,5,3,-0.008316964285711492,0.0,4.000279017857142,-0.622457589285716,0.001251220703125,0.0001218261718776148,45.000248138427736,-0.002594970703114541,49094.6,4644.866666666667,0.0,24669.866666666665,6.866666666666667,0.0,1508.0,0.0,125.7946033112012,163.57997024900894,0.0,125.19609507577437,0.29059326290271154,0.0,14.15901754281621,0.0,
2023-07-20_17-06-07,2023-07-20_17-06-23,5,3,-0.008316964285711492,0.0,4.000279017857142,-0.20560491071427123,0.001251220703125,0.0001218261718776148,45.000248138427736,-0.002594970703114541,48649.2,4228.933333333333,0.0,24459.93333333333,4.2666666666666675,0.0,1499.6,0.0,39.88185329472843,19.3064180462814,0.0,31.98444066174084,0.35590260840104376,0.0,7.973149384723155,0.0,
