start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2024-07-17_08-31-08,2024-07-17_08-31-23,5,3,-0.0033553571428797113,-0.002511160714277594,3.997767857142857,5.994061303571431,-5.992372142857164,0.0012866210937545475,-0.00022021484375045475,44.99987396240235,-0.0019624953270067635,50498.73333333333,8809.466666666667,0.0,22764.4,323.6666666666667,0.0,1434.7333333333333,0.0,45.53184477801029,25.57464021686778,0.0,26.85131902408789,5.404730438339278,0.0,9.602314535800426,0.0,
2024-07-17_08-31-24,2024-07-17_08-31-39,5,3,-0.0033553571428797113,-0.002511160714277594,3.997767857142857,5.994061303571431,-5.367093124999997,0.0012866210937545475,-0.00022021484375045475,44.99987396240235,-0.0019624953270067635,50490.8,8423.666666666668,0.0,22973.0,302.46666666666664,0.0,1458.4666666666667,0.0,70.02583650180631,11.710868646024688,0.0,59.45493157753098,4.377467558100483,0.0,9.554870776496966,0.0,
2024-07-17_08-31-39,2024-07-17_08-31-54,5,3,-0.0033553571428797113,-0.002511160714277594,3.997767857142857,5.994061303571431,-4.744325267857164,0.0012866210937545475,-0.00022021484375045475,44.99987396240235,-0.0019624953270067635,50450.066666666666,8100.133333333333,0.0,23057.533333333333,271.5333333333333,0.0,1455.4,0.0,55.32222780120971,18.895796122712248,0.0,37.24999627143918,3.647830405414522,0.0,6.5024781600727,0.0,
2024-07-17_08-31-55,2024-07-17_08-32-10,5,3,-0.0033553571428797113,-0.002511160714277594,3.997767857142857,5.994061303571431,-4.111512767857164,0.0012866210937545475,-0.00022021484375045475,44.99987396240235,-0.0019624953270067635,50443.53333333333,7866.2,0.0,23145.93333333333,256.0666666666667,0.0,1467.7333333333333,0.0,50.50573124793688,16.498013348413934,0.0,59.51520814044097,4.103386135593112,0.0,5.505956370654935,0.0,
2024-07-17_08-32-11,2024-07-17_08-32-26,5,3,-0.0033553571428797113,-0.002511160714277594,3.997767857142857,5.994061303571431,-3.4686556249999967,0.0012866210937545475,-0.00022021484375045475,44.99987396240235,-0.0019624953270067635,50463.0,7562.6,0.0,23331.93333333333,224.93333333333334,0.0,1481.8,0.0,81.76911940878952,33.695927877943305,0.0,54.7245019265698,5.890104696296436,0.0,9.23555929847,0.0,
2024-07-17_08-32-27,2024-07-17_08-32-43,5,3,-0.0033553571428797113,-0.002511160714277594,3.997767857142857,5.994061303571431,-2.8433766071428863,0.0012866210937545475,-0.00022021484375045475,44.99987396240235,-0.0019624953270067635,50437.066666666666,7354.466666666667,0.0,23488.4,224.06666666666666,0.0,1504.3333333333335,0.0,43.01697339423041,7.6351526216282295,0.0,55.50049048832317,6.968500556073737,0.0,8.694187074642972,0.0,
2024-07-17_08-32-43,2024-07-17_08-32-58,5,3,-0.0033553571428797113,-0.002511160714277594,3.997767857142857,5.994061303571431,-2.208052946428552,0.0012866210937545475,-0.00022021484375045475,44.99987396240235,-0.0019624953270067635,50416.933333333334,7106.933333333334,0.0,23570.933333333334,199.26666666666665,0.0,1495.9333333333332,0.0,63.479340471264884,16.46963535992488,0.0,42.21945312557013,3.7821216855680952,0.0,3.906404996924921,0.0,
2024-07-17_08-32-59,2024-07-17_08-33-14,5,3,-0.0033553571428797113,-0.002511160714277594,3.997767857142857,5.994061303571431,-1.5827739285714415,0.0012866210937545475,-0.00022021484375045475,44.99987396240235,-0.0019624953270067635,50499.13333333334,6853.0666666666675,0.0,23687.13333333334,180.6,0.0,1503.0666666666664,0.0,64.21540140634393,36.51961421239578,0.0,52.779899372562205,1.8541245313564514,0.0,8.491433591829152,0.0,
2024-07-17_08-33-15,2024-07-17_08-33-30,5,3,-0.0033553571428797113,-0.002511160714277594,3.997767857142857,5.994061303571431,-0.9524725892857191,0.0012866210937545475,-0.00022021484375045475,44.99987396240235,-0.0019624953270067635,50465.46666666667,6661.933333333334,0.0,23831.733333333334,159.06666666666666,0.0,1512.6,0.0,55.3424289713094,30.504717303685634,0.0,33.23859871361064,6.081301030389981,0.0,12.0616011467061,0.0,
2024-07-17_08-33-31,2024-07-17_08-33-46,5,3,-0.0033553571428797113,-0.002511160714277594,3.997767857142857,5.994061303571431,-0.3171489285714415,0.0012866210937545475,-0.00022021484375045475,44.99987396240235,-0.0019624953270067635,50448.333333333336,6476.200000000001,0.0,23930.6,152.33333333333331,0.0,1537.9333333333334,0.0,38.360135557633626,23.003043276923126,0.0,58.91626826833703,3.093002855909875,0.0,8.657302633550977,0.0,
2024-07-17_08-33-46,2024-07-17_08-34-02,5,3,-0.0033553571428797113,-0.002511160714277594,3.997767857142857,5.994061303571431,0.3181747321428574,0.0012866210937545475,-0.00022021484375045475,44.99987396240235,-0.0019624953270067635,50501.933333333334,6282.0666666666675,0.0,23912.0,138.59999999999997,0.0,1541.4666666666667,0.0,50.46532362810038,28.53932958801477,0.0,54.2194102185224,2.976575213227443,0.0,10.051312794301513,0.0,
2024-07-17_08-34-02,2024-07-17_08-34-17,5,3,-0.0033553571428797113,-0.002511160714277594,3.997767857142857,5.994061303571431,0.9434537499999998,0.0012866210937545475,-0.00022021484375045475,44.99987396240235,-0.0019624953270067635,50525.2,6150.466666666666,0.0,23973.13333333333,124.26666666666668,0.0,1533.9333333333334,0.0,106.98741358994799,15.603276009294495,0.0,25.684971827467145,3.357247549870446,0.0,12.742492342988118,0.0,
2024-07-17_08-34-18,2024-07-17_08-34-34,5,3,-0.0033553571428797113,-0.002511160714277594,3.997767857142857,5.994061303571431,1.5787774107142862,0.0012866210937545475,-0.00022021484375045475,44.99987396240235,-0.0019624953270067635,50400.26666666666,6018.8,0.0,24117.533333333333,108.73333333333332,0.0,1535.9333333333332,0.0,58.78013647861346,16.314478913597682,0.0,19.81486535126816,1.783878421367953,0.0,11.808377440519848,0.0,
2024-07-17_08-34-34,2024-07-17_08-34-50,5,3,-0.0033553571428797113,-0.002511160714277594,3.997767857142857,5.994061303571431,2.214101071428571,0.0012866210937545475,-0.00022021484375045475,44.99987396240235,-0.0019624953270067635,50450.13333333333,5917.133333333333,0.0,24147.733333333334,105.33333333333334,0.0,1571.0666666666668,0.0,25.74416870326664,12.971164601187962,0.0,39.77469882559344,2.5407785333546,0.0,9.600578686262136,0.0,
2024-07-17_08-34-50,2024-07-17_08-35-06,5,3,-0.0033553571428797113,-0.002511160714277594,3.997767857142857,5.994061303571431,2.8418912499999998,0.0012866210937545475,-0.00022021484375045475,44.99987396240235,-0.0019624953270067635,50376.46666666666,5870.266666666666,0.0,24140.999999999996,94.46666666666667,0.0,1553.2,0.0,53.52388874761071,22.07220474312026,0.0,37.788446206038536,1.7275544693133253,0.0,8.014292787819077,0.0,
2024-07-17_08-35-06,2024-07-17_08-35-21,5,3,-0.0033553571428797113,-0.002511160714277594,3.997767857142857,5.994061303571431,3.467170267857143,0.0012866210937545475,-0.00022021484375045475,44.99987396240235,-0.0019624953270067635,50447.66666666667,5787.2,0.0,24211.26666666667,90.86666666666666,0.0,1568.4666666666667,0.0,66.25497884855241,10.769607441520117,0.0,28.835626113080085,1.9793377119071356,0.0,11.029556251776912,0.0,
2024-07-17_08-35-22,2024-07-17_08-35-38,5,3,-0.0033553571428797113,-0.002511160714277594,3.997767857142857,5.994061303571431,4.10751625,0.0012866210937545475,-0.00022021484375045475,44.99987396240235,-0.0019624953270067635,50512.46666666667,5754.466666666667,0.0,24216.666666666668,84.06666666666668,0.0,1588.6666666666665,0.0,56.80107588965466,27.80059951391939,0.0,31.11823331174941,2.811484384527939,0.0,6.370940973583806,0.0,
