start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-06-04_18-02-44,2025-06-04_18-02-59,5,3,-0.02658928571429442,0.0,4.008928571428573,-0.0028839285714070684,-0.0033995535714552716,-3.998706542968762,0.0018519897461004575,45.00219741821289,-0.0010595703125204636,52081.40000000001,7789.733333333333,0.0,546.2666666666667,155.53333333333336,0.0,0.06666666666666667,0.0,48.225442800801,13.26959766617739,0.0,5.226428566005234,3.594131018449072,0.0,0.06666666666666667,0.0,
2025-06-04_18-03-00,2025-06-04_18-03-16,5,3,-0.02658928571429442,0.0,4.008928571428573,-0.0028839285714070684,-0.0033995535714552716,-3.427234375000012,0.0018519897461004575,45.00219741821289,-0.0010595703125204636,52056.26666666667,7402.533333333333,0.0,556.0666666666667,137.2,0.0,0.2,0.0,20.90518277046805,15.075587329631109,0.0,3.03021818063027,2.535525367431549,0.0,0.1333333333333333,0.0,
2025-06-04_18-03-16,2025-06-04_18-03-32,5,3,-0.02658928571429442,0.0,4.008928571428573,-0.0028839285714070684,-0.0033995535714552716,-2.855792724609387,0.0018519897461004575,45.00219741821289,-0.0010595703125204636,52161.666666666664,7059.066666666666,0.0,563.8,115.33333333333334,0.0,0.26666666666666666,0.0,64.58121501902295,26.409257636080827,0.0,4.976165413470705,2.7100635498903785,0.0,0.06666666666666667,0.0,
2025-06-04_18-03-32,2025-06-04_18-03-48,5,3,-0.02658928571429442,0.0,4.008928571428573,-0.0028839285714070684,-0.0033995535714552716,-2.284320556640637,0.0018519897461004575,45.00219741821289,-0.0010595703125204636,52120.666666666664,6657.533333333333,0.0,550.3333333333333,95.86666666666666,0.0,0.2,0.0,40.52996148256025,19.09147570106724,0.0,3.303197104490003,2.5746628689770015,0.0,0.13333333333333333,0.0,
2025-06-04_18-03-48,2025-06-04_18-04-03,5,3,-0.02658928571429442,0.0,4.008928571428573,-0.0028839285714070684,-0.0033995535714552716,-1.7128483886718868,0.0018519897461004575,45.00219741821289,-0.0010595703125204636,52062.99999999999,6416.933333333333,0.0,553.0,74.26666666666667,0.0,0.26666666666666666,0.0,104.20012795897486,17.268597060689196,0.0,8.80971685760168,1.4197026292697912,0.0,0.1632993161855452,0.0,
2025-06-04_18-04-04,2025-06-04_18-04-19,5,3,-0.02658928571429442,0.0,4.008928571428573,-0.0028839285714070684,-0.0033995535714552716,-1.1414067382812618,0.0018519897461004575,45.00219741821289,-0.0010595703125204636,52101.53333333333,6095.933333333333,0.0,547.0,59.266666666666666,0.0,0.13333333333333333,0.0,23.257161382154088,33.06498651645468,0.0,5.765799549450577,0.7845734863959879,0.0,0.0816496580927726,0.0,
2025-06-04_18-04-20,2025-06-04_18-04-35,5,3,-0.02658928571429442,0.0,4.008928571428573,-0.0028839285714070684,-0.0033995535714552716,-0.5699345703125118,0.0018519897461004575,45.00219741821289,-0.0010595703125204636,52106.99999999999,5834.266666666666,0.0,551.3999999999999,46.33333333333333,0.0,0.2,0.0,81.4637615412175,25.230360899343324,0.0,4.336409164786509,1.299572579307862,0.0,0.13333333333333333,0.0,
2025-06-04_18-04-36,2025-06-04_18-04-51,5,3,-0.02658928571429442,0.0,4.008928571428573,-0.0028839285714070684,-0.0033995535714552716,0.0015375976562381766,0.0018519897461004575,45.00219741821289,-0.0010595703125204636,52239.86666666667,5677.933333333333,0.0,561.5333333333334,39.0,0.0,0.3333333333333333,0.0,80.71793136871432,11.582266137888974,0.0,4.225057527550504,1.2064640713902572,0.0,0.18257418583505536,0.0,
2025-06-04_18-04-52,2025-06-04_18-05-07,5,3,-0.02658928571429442,0.0,4.008928571428573,-0.0028839285714070684,-0.0033995535714552716,0.5729792480468632,0.0018519897461004575,45.00219741821289,-0.0010595703125204636,52084.86666666666,5493.6,0.0,560.8,27.4,0.0,0.5333333333333333,0.0,54.86656541100409,21.74304486496773,0.0,4.117172708438536,2.269116323349001,0.0,0.2260776661041756,0.0,
2025-06-04_18-05-08,2025-06-04_18-05-23,5,3,-0.02658928571429442,0.0,4.008928571428573,-0.0028839285714070684,-0.0033995535714552716,1.1444514160156132,0.0018519897461004575,45.00219741821289,-0.0010595703125204636,52074.46666666667,5416.733333333334,0.0,548.3333333333334,22.6,0.0,0.3333333333333333,0.0,31.332375871896282,21.3386451720295,0.0,7.475143997126596,1.995550606279435,0.0,0.10540925533894598,0.0,
