start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-06-25_16-03-13,2025-06-25_16-03-28,5,3,-0.021566964285739232,-0.005022321428555188,4.011439732142858,-4.001245535714304,9.598214286654638e-05,0.0009140624999872671,-0.0001840820312395408,45.000114593505856,0.0004968261718545364,44841.13333333334,6170.466666666665,0.0,701.2,60.66666666666667,0.0,0.2,0.0,84.18139145123858,5.852444883218536,0.0,6.585843403341244,2.4675674031095665,0.0,0.0816496580927726,0.0,
2025-06-25_16-03-28,2025-06-25_16-03-44,5,3,-0.021566964285739232,-0.005022321428555188,4.011439732142858,-3.433723214285692,9.598214286654638e-05,0.0009140624999872671,-0.0001840820312395408,45.000114593505856,0.0004968261718545364,44771.26666666666,5907.333333333333,0.0,689.6,47.93333333333333,0.0,0.26666666666666666,0.0,20.544098909419485,24.67747510945509,0.0,4.785858799050022,1.0402991022884822,0.0,0.06666666666666665,0.0,
2025-06-25_16-03-44,2025-06-25_16-03-59,5,3,-0.021566964285739232,-0.005022321428555188,4.011439732142858,-2.8611785714285816,9.598214286654638e-05,0.0009140624999872671,-0.0001840820312395408,45.000114593505856,0.0004968261718545364,44871.8,5733.4,0.0,699.8666666666667,32.66666666666667,0.0,0.2,0.0,45.78301480292083,18.58715207400601,0.0,3.802922852520439,1.8012341448141727,0.0,0.13333333333333333,0.0,
2025-06-25_16-04-00,2025-06-25_16-04-15,5,3,-0.021566964285739232,-0.005022321428555188,4.011439732142858,-2.2811004464285816,9.598214286654638e-05,0.0009140624999872671,-0.0001840820312395408,45.000114593505856,0.0004968261718545364,44793.4,5489.466666666666,0.0,695.3333333333334,22.53333333333333,0.0,0.2,0.0,60.27662159669482,19.71029060048476,0.0,9.840392946083677,0.7348469228349535,0.0,0.13333333333333333,0.0,
2025-06-25_16-04-16,2025-06-25_16-04-31,5,3,-0.021566964285739232,-0.005022321428555188,4.011439732142858,-1.716089285714304,9.598214286654638e-05,0.0009140624999872671,-0.0001840820312395408,45.000114593505856,0.0004968261718545364,44899.2,5404.0,0.0,705.9999999999999,13.4,0.0,0.2,0.0,75.08984248514912,6.657493689236335,0.0,7.104771479630976,0.9333333333333333,0.0,0.0816496580927726,0.0,
2025-06-25_16-04-32,2025-06-25_16-04-47,5,3,-0.021566964285739232,-0.005022321428555188,4.011439732142858,-1.1435446428571368,9.598214286654638e-05,0.0009140624999872671,-0.0001840820312395408,45.000114593505856,0.0004968261718545364,44770.0,5292.4,0.0,686.0,9.400000000000002,0.0,0.13333333333333333,0.0,40.58872311916826,16.089472058184846,0.0,5.644072603675064,0.6446359868604572,0.0,0.0816496580927726,0.0,
2025-06-25_16-04-47,2025-06-25_16-05-03,5,3,-0.021566964285739232,-0.005022321428555188,4.011439732142858,-0.5785334821428592,9.598214286654638e-05,0.0009140624999872671,-0.0001840820312395408,45.000114593505856,0.0004968261718545364,44867.66666666667,5240.8,0.0,699.2666666666667,5.200000000000001,0.0,0.2,0.0,31.178874614427627,8.168775237995622,0.0,5.15579501359607,0.4294699575575042,0.0,0.0816496580927726,0.0,
2025-06-25_16-05-03,2025-06-25_16-05-18,5,3,-0.021566964285739232,-0.005022321428555188,4.011439732142858,-0.0009665178571367505,9.598214286654638e-05,0.0009140624999872671,-0.0001840820312395408,45.000114593505856,0.0004968261718545364,44951.13333333333,5238.266666666666,0.0,698.8666666666667,5.199999999999999,0.0,0.3333333333333333,0.0,48.132063695165854,14.38803515270788,0.0,6.633752080585058,0.6960204339273699,0.0,0.10540925533894598,0.0,
2025-06-25_16-05-19,2025-06-25_16-05-34,5,3,-0.021566964285739232,-0.005022321428555188,4.011439732142858,0.564044642857143,9.598214286654638e-05,0.0009140624999872671,-0.0001840820312395408,45.000114593505856,0.0004968261718545364,44875.066666666666,5253.666666666667,0.0,698.5333333333333,5.2,0.0,0.13333333333333333,0.0,46.15088779692595,23.52870587176442,0.0,7.199228353711869,0.4422166387140533,0.0,0.0816496580927726,0.0,
2025-06-25_16-05-35,2025-06-25_16-05-50,5,3,-0.021566964285739232,-0.005022321428555188,4.011439732142858,1.1391004464285714,9.598214286654638e-05,0.0009140624999872671,-0.0001840820312395408,45.000114593505856,0.0004968261718545364,44876.866666666676,5301.0,0.0,690.6666666666666,9.333333333333334,0.0,0.26666666666666666,0.0,56.091155967565555,32.268836015229574,0.0,7.776031550004587,0.5163977794943223,0.0,0.06666666666666667,0.0,
