,QP,DR,DL,AR,AL,RR,RL,LR,LL
0,27.5,115.7+/-2.3,1374+/-11,1342+/-7,114.0+/-1.0,1114+/-7,393+/-6,400+/-7,1042+/-8
1,26.38888888888889,209.7+/-2.5,1296+/-10,1257+/-12,209.4+/-3.1,1269+/-12,255+/-7,278+/-5,1223+/-12
2,25.27777777777778,338+/-5,1169.5+/-1.7,1157+/-13,331+/-7,1371+/-13,139.5+/-1.4,170+/-4,1329+/-9
3,24.166666666666668,490+/-5,1033+/-5,1032+/-9,458+/-6,1455+/-6,71.4+/-1.3,101.6+/-1.7,1418+/-14
4,23.055555555555557,633+/-4,870+/-10,880+/-9,612+/-4,1477+/-12,46.5+/-1.2,73.1+/-2.4,1447+/-5
5,21.944444444444443,785+/-6,749+/-10,730+/-7,774+/-9,1463+/-14,49.7+/-1.6,71.1+/-1.9,1492+/-10
6,20.833333333333332,926+/-10,596+/-8,598+/-6,921+/-5,1437+/-6,86.6+/-2.5,96.4+/-2.9,1467+/-7
7,19.72222222222222,1072+/-7,473+/-6,477+/-7,1071+/-11,1379+/-11,145.9+/-2.3,149.1+/-2.1,1405+/-13
8,18.61111111111111,1193+/-15,350+/-4,355.3+/-3.5,1178+/-4,1315+/-7,225.5+/-1.0,229.0+/-3.1,1328+/-4
9,17.5,1280+/-5,258.2+/-2.8,267+/-5,1300+/-11,1239+/-6,315.1+/-3.4,307+/-5,1264+/-6
