start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2025-05-20_15-47-07,2025-05-20_15-47-22,5,3,-60.03640625000003,-21.282087053571445,1.0005580357142847,67.49748883928571,44.99246651785714,0.0012214355468813665,0.0015039062499937472,0.0008581542968499889,-0.0019624953270067635,35064.8,29591.73333333333,0.0,520.4666666666666,1208.6666666666665,0.0,0.26666666666666666,0.0,29.380568030209545,38.57869302549725,0.0,2.5333333333333465,11.823235127869573,0.0,0.06666666666666667,0.0,
2025-05-20_15-47-23,2025-05-20_15-47-38,5,3,-61.086071428571415,-21.282087053571445,1.0005580357142847,67.49748883928571,44.99246651785714,0.0012214355468813665,0.0015039062499937472,0.0008581542968499889,-0.0019624953270067635,33589.6,29424.4,0.0,520.8,1173.2,0.0,0.26666666666666666,0.0,38.39927661355668,41.385638947721155,0.0,7.8454516193213015,7.752132323145402,0.0,0.19436506316151003,0.0,
2025-05-20_15-47-38,2025-05-20_15-47-53,5,3,-62.15582589285714,-21.282087053571445,1.0005580357142847,67.49748883928571,44.99246651785714,0.0012214355468813665,0.0015039062499937472,0.0008581542968499889,-0.0019624953270067635,31968.6,29297.666666666664,0.0,503.2,1091.0,0.0,0.13333333333333333,0.0,62.15450283143015,51.65967694655295,0.0,4.1933810278156765,11.294049564064947,0.0,0.0816496580927726,0.0,
2025-05-20_15-47-54,2025-05-20_15-48-09,5,3,-63.22558035714286,-21.282087053571445,1.0005580357142847,67.49748883928571,44.99246651785714,0.0012214355468813665,0.0015039062499937472,0.0008581542968499889,-0.0019624953270067635,30618.13333333334,29230.0,0.0,497.0,1041.8,0.0,0.06666666666666667,0.0,46.928503539367874,64.91841033173846,0.0,7.642716212912199,7.85889446564988,0.0,0.06666666666666667,0.0,
2025-05-20_15-48-09,2025-05-20_15-48-25,5,3,-64.30537946428569,-21.282087053571445,1.0005580357142847,67.49748883928571,44.99246651785714,0.0012214355468813665,0.0015039062499937472,0.0008581542968499889,-0.0019624953270067635,29030.2,29001.8,0.0,505.8666666666667,986.6,0.0,0.0,0.0,35.36705937576524,40.003833149670214,0.0,5.878019318708571,4.173194885882477,0.0,0.0,0.0,
2025-05-20_15-48-25,2025-05-20_15-48-41,5,3,-65.36760044642858,-21.282087053571445,1.0005580357142847,67.49748883928571,44.99246651785714,0.0012214355468813665,0.0015039062499937472,0.0008581542968499889,-0.0019624953270067635,27430.86666666666,28822.0,0.0,518.0,928.8666666666668,0.0,0.06666666666666667,0.0,60.14137049024082,65.33775495241841,0.0,5.534738777334773,7.489696626403203,0.0,0.06666666666666667,0.0,
2025-05-20_15-48-41,2025-05-20_15-48-56,5,3,-66.43735491071425,-21.282087053571445,1.0005580357142847,67.49748883928571,44.99246651785714,0.0012214355468813665,0.0015039062499937472,0.0008581542968499889,-0.0019624953270067635,25900.0,28621.26666666667,0.0,508.6666666666667,870.6,0.0,0.13333333333333333,0.0,36.3715395452117,52.247636841828154,0.0,8.776230524674148,8.890944206825786,0.0,0.13333333333333333,0.0,
2025-05-20_15-48-56,2025-05-20_15-49-12,5,3,-67.51966517857142,-21.282087053571445,1.0005580357142847,67.49748883928571,44.99246651785714,0.0012214355468813665,0.0015039062499937472,0.0008581542968499889,-0.0019624953270067635,24298.8,28457.26666666667,0.0,507.6666666666667,812.3333333333333,0.0,0.13333333333333333,0.0,43.3673712471592,29.19996194822521,0.0,2.110818693198342,13.085615512207806,0.0,0.0816496580927726,0.0,
2025-05-20_15-49-12,2025-05-20_15-49-27,5,3,-68.58941964285714,-21.282087053571445,1.0005580357142847,67.49748883928571,44.99246651785714,0.0012214355468813665,0.0015039062499937472,0.0008581542968499889,-0.0019624953270067635,22828.533333333333,28349.06666666667,0.0,521.6,746.4666666666666,0.0,0.0,0.0,35.740204563239544,29.676103368048842,0.0,5.84275429722813,2.291530298972967,0.0,0.0,0.0,
2025-05-20_15-49-28,2025-05-20_15-49-43,5,3,-69.66419642857142,-21.282087053571445,1.0005580357142847,67.49748883928571,44.99246651785714,0.0012214355468813665,0.0015039062499937472,0.0008581542968499889,-0.0019624953270067635,21287.2,28263.0,0.0,508.9333333333334,694.4,0.0,0.0,0.0,33.85994027690485,76.05947964878818,0.0,4.214261501141106,5.786382481501043,0.0,0.0,0.0,
