start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2024-04-29_16-22-34,2024-04-29_16-22-39,5,1,-164.99163660714285,-20.616629464285722,3.995256696428571,0.008555803571429266,0.0008469238281350044,0.0016718750000004334,0.001376953124974989,-0.0019624953270067635,10768.4,12494.8,0.0,22010.6,512.0,0.0,5.8,0.0,69.33152241224766,38.93507416199435,0.0,32.705657003032364,5.727128425310541,0.0,0.7999999999999999,0.0,
2024-04-29_16-22-39,2024-04-29_16-22-45,5,1,-163.97210535714285,-20.616629464285722,3.995256696428571,0.008555803571429266,0.0008469238281350044,0.0016718750000004334,0.001376953124974989,-0.0019624953270067635,12125.8,14013.2,0.0,21281.8,586.8,0.0,8.6,0.0,64.28094585489544,53.20093984132235,0.0,61.24491815652952,6.829348431585548,0.0,1.5999999999999999,0.0,
2024-04-29_16-22-45,2024-04-29_16-22-51,5,1,-162.9249513392857,-20.616629464285722,3.995256696428571,0.008555803571429266,0.0008469238281350044,0.0016718750000004334,0.001376953124974989,-0.0019624953270067635,13446.8,15413.0,0.0,20364.4,677.2,0.0,6.6,0.0,62.419067599572486,66.4417037710503,0.0,97.56515771524177,10.427847332982967,0.0,1.2884098726725124,0.0,
2024-04-29_16-22-51,2024-04-29_16-22-56,5,1,-161.8702638392857,-20.616629464285722,3.995256696428571,0.008555803571429266,0.0008469238281350044,0.0016718750000004334,0.001376953124974989,-0.0019624953270067635,14834.0,16926.2,0.0,19694.0,768.6,0.0,8.8,0.0,29.23696290656743,67.3219132229618,0.0,82.27940203963566,9.489994731294637,0.0,1.2409673645990855,0.0,
2024-04-29_16-22-57,2024-04-29_16-23-02,5,1,-160.81055401785713,-20.616629464285722,3.995256696428571,0.008555803571429266,0.0008469238281350044,0.0016718750000004334,0.001376953124974989,-0.0019624953270067635,16138.4,18350.0,0.0,19091.0,848.4,0.0,7.6,0.0,57.42525576782396,24.11223755689214,0.0,34.11011580162108,13.029197979921864,0.0,1.208304597359457,0.0,
2024-04-29_16-23-02,2024-04-29_16-23-08,5,1,-159.76591116071427,-20.616629464285722,3.995256696428571,0.008555803571429266,0.0008469238281350044,0.0016718750000004334,0.001376953124974989,-0.0019624953270067635,17650.0,19993.2,0.0,18179.8,972.4,0.0,12.8,0.0,68.14763385474215,60.015331374574615,0.0,52.51228427710986,8.761278445523804,0.0,1.3564659966250534,0.0,
2024-04-29_16-23-08,2024-04-29_16-23-14,5,1,-158.71122366071427,-20.616629464285722,3.995256696428571,0.008555803571429266,0.0008469238281350044,0.0016718750000004334,0.001376953124974989,-0.0019624953270067635,19243.6,21752.6,0.0,17306.2,1069.0,0.0,11.4,0.0,54.473479786039,81.87466030463882,0.0,14.711899945282386,11.84483009586883,0.0,0.9273618495495702,0.0,
2024-04-29_16-23-14,2024-04-29_16-23-19,5,1,-157.65904732142855,-20.616629464285722,3.995256696428571,0.008555803571429266,0.0008469238281350044,0.0016718750000004334,0.001376953124974989,-0.0019624953270067635,20814.0,23271.2,0.0,16448.4,1135.2,0.0,10.2,0.0,38.05128118736608,51.00235288690121,0.0,80.62791080016895,13.48109787814034,0.0,1.5937377450509227,0.0,
2024-04-29_16-23-20,2024-04-29_16-23-25,5,1,-156.60184866071427,-20.616629464285722,3.995256696428571,0.008555803571429266,0.0008469238281350044,0.0016718750000004334,0.001376953124974989,-0.0019624953270067635,22306.6,24946.2,0.0,15573.8,1276.2,0.0,13.8,0.0,68.45115046513097,65.79620049820505,0.0,55.96016440290361,17.920379460268133,0.0,2.2671568097509267,0.0,
2024-04-29_16-23-25,2024-04-29_16-23-31,5,1,-155.54716116071427,-20.616629464285722,3.995256696428571,0.008555803571429266,0.0008469238281350044,0.0016718750000004334,0.001376953124974989,-0.0019624953270067635,23808.4,26604.4,0.0,14815.2,1348.8,0.0,15.2,0.0,103.17490004841294,98.19246406929607,0.0,59.69455586567337,12.240914998479484,0.0,2.2891046284519194,0.0,
