start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2024-05-24_14-22-49,2024-05-24_14-22-54,5,1,-100.02790892857143,-22.703404017857167,2.943080357142857,0.007045678571429903,45.001957000732425,-0.00019732666015670475,0.0008581542968499889,-0.0030043249130358163,8943.0,50315.0,0.0,4412.4,13.8,0.0,197.8,0.0,61.844158980456676,47.102016941952705,0.0,33.92580139068198,1.0677078252031311,0.0,4.789572005931219,0.0,
2024-05-24_14-22-55,2024-05-24_14-23-00,5,1,-101.08510758928571,-22.703404017857167,2.943080357142857,0.007045678571429903,45.001957000732425,-0.00019732666015670475,0.0008581542968499889,-0.0030043249130358163,10125.2,49025.4,0.0,4930.6,12.6,0.0,238.8,0.0,58.8085027865869,71.42870571415949,0.0,28.429913823295347,0.9797958971132711,0.0,7.670723564306042,0.0,
2024-05-24_14-23-01,2024-05-24_14-23-06,5,1,-102.10463883928571,-22.703404017857167,2.943080357142857,0.007045678571429903,45.001957000732425,-0.00019732666015670475,0.0008581542968499889,-0.0030043249130358163,11146.0,47671.0,0.0,5466.8,11.2,0.0,255.8,0.0,22.63183598385248,129.44033374493438,0.0,35.67408022640527,1.4966629547095764,0.0,6.4296189622714035,0.0,
2024-05-24_14-23-06,2024-05-24_14-23-12,5,1,-103.1844379464286,-22.703404017857167,2.943080357142857,0.007045678571429903,45.001957000732425,-0.00019732666015670475,0.0008581542968499889,-0.0030043249130358163,12573.8,46098.0,0.0,6173.0,13.4,0.0,321.6,0.0,79.24102472835646,102.10729650715467,0.0,18.119050747762696,1.8601075237738274,0.0,7.64591394144611,0.0,
2024-05-24_14-23-12,2024-05-24_14-23-18,5,1,-104.21150267857143,-22.703404017857167,2.943080357142857,0.007045678571429903,45.001957000732425,-0.00019732666015670475,0.0008581542968499889,-0.0030043249130358163,13784.6,44333.0,0.0,6741.8,12.2,0.0,353.6,0.0,54.99599985453487,68.65274939869488,0.0,43.757742172100244,2.0591260281974,0.0,13.13620949893842,0.0,
2024-05-24_14-23-18,2024-05-24_14-23-23,5,1,-105.27121249999999,-22.703404017857167,2.943080357142857,0.007045678571429903,45.001957000732425,-0.00019732666015670475,0.0008581542968499889,-0.0030043249130358163,15176.4,42705.4,0.0,7502.0,16.2,0.0,396.0,0.0,62.51767750004793,82.2110698142288,0.0,25.635912310662945,1.9339079605813716,0.0,3.361547262794322,0.0,
2024-05-24_14-23-24,2024-05-24_14-23-29,5,1,-106.30329955357143,-22.703404017857167,2.943080357142857,0.007045678571429903,45.001957000732425,-0.00019732666015670475,0.0008581542968499889,-0.0030043249130358163,16531.4,41032.4,0.0,8240.6,16.8,0.0,451.0,0.0,70.94053848118153,107.29473426035408,0.0,53.612125494145445,1.5937377450509227,0.0,7.063993204979744,0.0,
2024-05-24_14-23-30,2024-05-24_14-23-35,5,1,-107.37054285714288,-22.703404017857167,2.943080357142857,0.007045678571429903,45.001957000732425,-0.00019732666015670475,0.0008581542968499889,-0.0030043249130358163,18150.6,39049.0,0.0,8826.8,16.6,0.0,488.8,0.0,32.01343467983403,55.05179379457131,0.0,53.1877805515515,1.0295630140987,0.0,8.777243302996675,0.0,
2024-05-24_14-23-35,2024-05-24_14-23-41,5,1,-108.40262991071427,-22.703404017857167,2.943080357142857,0.007045678571429903,45.001957000732425,-0.00019732666015670475,0.0008581542968499889,-0.0030043249130358163,19553.8,37126.2,0.0,9612.6,15.4,0.0,561.4,0.0,61.03965923889155,41.32118100925964,0.0,24.336392501765747,2.1587033144922905,0.0,9.79081201943945,0.0,
2024-05-24_14-23-41,2024-05-24_14-23-46,5,1,-109.47489553571427,-22.703404017857167,2.943080357142857,0.007045678571429903,45.001957000732425,-0.00019732666015670475,0.0008581542968499889,-0.0030043249130358163,21185.0,35380.8,0.0,10234.8,20.6,0.0,603.2,0.0,62.44037155558893,62.37339176283425,0.0,48.75797370687178,2.521904042583698,0.0,6.094259594077036,0.0,
2024-05-24_14-23-47,2024-05-24_14-23-52,5,1,-110.53209419642857,-22.703404017857167,2.943080357142857,0.007045678571429903,45.001957000732425,-0.00019732666015670475,0.0008581542968499889,-0.0030043249130358163,22754.2,33380.8,0.0,11060.2,16.4,0.0,661.0,0.0,67.78598675242546,101.49798027547149,0.0,55.45214152762723,1.0295630140987,0.0,8.73498712076898,0.0,
2024-05-24_14-23-53,2024-05-24_14-23-58,5,1,-111.57422589285716,-22.703404017857167,2.943080357142857,0.007045678571429903,45.001957000732425,-0.00019732666015670475,0.0008581542968499889,-0.0030043249130358163,24152.6,31545.6,0.0,11847.2,18.2,0.0,709.0,0.0,80.46216502182874,112.70740880705223,0.0,51.68887694659267,1.5620499351813308,0.0,8.443932733033819,0.0,
2024-05-24_14-23-59,2024-05-24_14-24-04,5,1,-112.64146919642857,-22.703404017857167,2.943080357142857,0.007045678571429903,45.001957000732425,-0.00019732666015670475,0.0008581542968499889,-0.0030043249130358163,25691.0,29537.4,0.0,12650.6,20.8,0.0,757.2,0.0,63.560207677445476,130.257283865433,0.0,75.72225564521966,1.7146428199482247,0.0,15.768322675541619,0.0,
2024-05-24_14-24-05,2024-05-24_14-24-10,5,1,-113.68108973214288,-22.703404017857167,2.943080357142857,0.007045678571429903,45.001957000732425,-0.00019732666015670475,0.0008581542968499889,-0.0030043249130358163,27435.4,27400.2,0.0,13313.6,19.0,0.0,812.6,0.0,48.18153173156702,51.16189988653666,0.0,19.340630806672255,2.701851217221259,0.0,14.40347180370066,0.0,
2024-05-24_14-24-11,2024-05-24_14-24-16,5,1,-114.72071026785716,-22.703404017857167,2.943080357142857,0.007045678571429903,45.001957000732425,-0.00019732666015670475,0.0008581542968499889,-0.0030043249130358163,28737.4,25594.4,0.0,14082.4,17.0,0.0,846.0,0.0,74.86561293411015,68.84591491148912,0.0,94.65231111811269,1.9235384061671343,0.0,7.042726744663604,0.0,
