start,stop,num_samp,samp_period,C_UV_HWP,C_QP,C_PCC,B_C_HWP,B_C_QWP,B_HWP,B_QWP,A_HWP,A_QWP,A,B,Ap,Bp,C4,C5,C6,C7,A_SEM,B_SEM,Ap_SEM,Bp_SEM,C4_SEM,C5_SEM,C6_SEM,C7_SEM,note
2024-06-20_11-55-26,2024-06-20_11-55-32,5,1,-111.03181517857143,-14.150390625,-0.3063616071428328,0.004534517857141651,8.161098839285714,45.001957000732425,-0.00019732666015670475,0.0008581542968499889,-0.0024834399223436776,23651.4,30952.0,0.0,11689.6,39.4,0.0,702.6,0.0,80.95467867887562,88.6227961644181,0.0,70.03113593252647,3.529872518944558,0.0,9.526804291051644,0.0,
2024-06-20_11-55-32,2024-06-20_11-55-38,5,1,-111.21261874999999,-14.150390625,-0.3063616071428328,0.004534517857141651,8.161098839285714,45.001957000732425,-0.00019732666015670475,0.0008581542968499889,-0.0024834399223436776,23894.2,30682.4,0.0,11914.6,42.2,0.0,726.6,0.0,66.24077294235025,62.123747472283085,0.0,65.02814775156985,3.9673668849754735,0.0,15.487414245121746,0.0,
2024-06-20_11-55-38,2024-06-20_11-55-43,5,1,-111.43862321428571,-14.150390625,-0.3063616071428328,0.004534517857141651,8.161098839285714,45.001957000732425,-0.00019732666015670475,0.0008581542968499889,-0.0024834399223436776,24169.2,30287.0,0.0,12051.8,40.2,0.0,718.0,0.0,60.41721608945582,59.41043679354663,0.0,36.83802383407666,1.5297058540778354,0.0,14.404860290887932,0.0,
2024-06-20_11-55-44,2024-06-20_11-55-50,5,1,-111.65458303571427,-14.150390625,-0.3063616071428328,0.004534517857141651,8.161098839285714,45.001957000732425,-0.00019732666015670475,0.0008581542968499889,-0.0024834399223436776,24464.2,29703.8,0.0,12186.4,40.6,0.0,733.2,0.0,66.94131758488176,25.952649190400585,0.0,30.485406344675805,4.069397989875161,0.0,14.388884598883957,0.0,
2024-06-20_11-55-50,2024-06-20_11-55-56,5,1,-111.88058749999999,-14.150390625,-0.3063616071428328,0.004534517857141651,8.161098839285714,45.001957000732425,-0.00019732666015670475,0.0008581542968499889,-0.0024834399223436776,24850.0,29486.4,0.0,12315.4,45.6,0.0,746.0,0.0,100.37330322351656,85.18368388371097,0.0,57.36253132489883,3.325657829663178,0.0,9.460443964212251,0.0,
2024-06-20_11-55-56,2024-06-20_11-56-02,5,1,-112.10408080357143,-14.150390625,-0.3063616071428328,0.004534517857141651,8.161098839285714,45.001957000732425,-0.00019732666015670475,0.0008581542968499889,-0.0024834399223436776,25169.2,29088.4,0.0,12597.8,47.4,0.0,773.8,0.0,52.44749755708083,94.00297867621003,0.0,77.60566989595542,2.541653005427767,0.0,7.220803279414278,0.0,
2024-06-20_11-56-02,2024-06-20_11-56-08,5,1,-112.32255178571427,-14.150390625,-0.3063616071428328,0.004534517857141651,8.161098839285714,45.001957000732425,-0.00019732666015670475,0.0008581542968499889,-0.0024834399223436776,25509.8,28548.8,0.0,12590.4,39.4,0.0,749.6,0.0,87.91723380543772,33.17137320039676,0.0,46.74783417442994,1.5999999999999999,0.0,16.79761887887685,0.0,
2024-06-20_11-56-08,2024-06-20_11-56-14,5,1,-112.53600044642857,-14.150390625,-0.3063616071428328,0.004534517857141651,8.161098839285714,45.001957000732425,-0.00019732666015670475,0.0008581542968499889,-0.0024834399223436776,25939.4,28348.2,0.0,12788.4,42.0,0.0,757.2,0.0,85.95789667040486,142.23972722133573,0.0,70.1673713345455,4.393176527297759,0.0,7.052659073002182,0.0,
2024-06-20_11-56-15,2024-06-20_11-56-20,5,1,-112.76200491071427,-14.150390625,-0.3063616071428328,0.004534517857141651,8.161098839285714,45.001957000732425,-0.00019732666015670475,0.0008581542968499889,-0.0024834399223436776,26157.8,27715.2,0.0,12962.2,37.8,0.0,785.4,0.0,57.73854864819516,95.16427901266314,0.0,52.43605629717017,1.4628738838327793,0.0,10.481412118603105,0.0,
2024-06-20_11-56-21,2024-06-20_11-56-26,5,1,-112.98549821428571,-14.150390625,-0.3063616071428328,0.004534517857141651,8.161098839285714,45.001957000732425,-0.00019732666015670475,0.0008581542968499889,-0.0024834399223436776,26523.2,27446.0,0.0,13137.4,38.4,0.0,800.6,0.0,56.39538988250724,91.41991030404701,0.0,59.5269686780706,1.568438714135812,0.0,3.9319206502674993,0.0,
